APVA Process Graph Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Node Table
Node | Count_6E | Count_CL | Count_NQ | ReplicationCount | ReplicationPercent | Classification
CompressionProcessing_Age1 | 2928 | 177 | 89 | 3 | 100.00% | FullyReplicated
CompressionProcessing_Age11-20 | 5 | 0 | 0 | 1 | 33.33% | InstrumentSpecific
CompressionProcessing_Age2 | 1659 | 92 | 51 | 3 | 100.00% | FullyReplicated
CompressionProcessing_Age3 | 840 | 41 | 30 | 3 | 100.00% | FullyReplicated
CompressionProcessing_Age4 | 528 | 22 | 18 | 3 | 100.00% | FullyReplicated
CompressionProcessing_Age5 | 282 | 12 | 8 | 3 | 100.00% | FullyReplicated
CompressionProcessing_Age6-10 | 247 | 6 | 9 | 3 | 100.00% | FullyReplicated
ConstructiveEmergence_Age1 | 83 | 12 | 14 | 3 | 100.00% | FullyReplicated
DecayToNeutral_Age1 | 1486 | 103 | 86 | 3 | 100.00% | FullyReplicated
DestructiveRotation_Age1 | 836 | 71 | 63 | 3 | 100.00% | FullyReplicated
DestructiveRotation_Age2 | 100 | 12 | 11 | 3 | 100.00% | FullyReplicated
DestructiveRotation_Age3 | 11 | 1 | 5 | 3 | 100.00% | FullyReplicated
DestructiveRotation_Age4 | 1 | 0 | 0 | 1 | 33.33% | InstrumentSpecific
ExhaustionPersistence_Age1 | 1116 | 97 | 51 | 3 | 100.00% | FullyReplicated
ExhaustionPersistence_Age2 | 304 | 31 | 19 | 3 | 100.00% | FullyReplicated
ExhaustionPersistence_Age3 | 234 | 21 | 14 | 3 | 100.00% | FullyReplicated
ExhaustionPersistence_Age4 | 143 | 16 | 11 | 3 | 100.00% | FullyReplicated
ExhaustionPersistence_Age5 | 58 | 8 | 6 | 3 | 100.00% | FullyReplicated
ExhaustionPersistence_Age6-10 | 29 | 3 | 6 | 3 | 100.00% | FullyReplicated
MixedStructure_Age1 | 3265 | 279 | 183 | 3 | 100.00% | FullyReplicated
MixedStructure_Age2 | 355 | 28 | 27 | 3 | 100.00% | FullyReplicated
MixedStructure_Age3 | 42 | 5 | 4 | 3 | 100.00% | FullyReplicated
MixedStructure_Age4 | 8 | 2 | 2 | 3 | 100.00% | FullyReplicated
MixedStructure_Age5 | 1 | 0 | 0 | 1 | 33.33% | InstrumentSpecific
NeutralProcessing_Age1 | 5672 | 446 | 297 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age11-20 | 891 | 30 | 37 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age2 | 3205 | 253 | 175 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age21+ | 82 | 0 | 0 | 1 | 33.33% | InstrumentSpecific
NeutralProcessing_Age3 | 1754 | 140 | 112 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age4 | 1312 | 106 | 83 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age5 | 1192 | 95 | 80 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age6-10 | 2884 | 208 | 192 | 3 | 100.00% | FullyReplicated
ReassertionProcessing_Age1 | 1759 | 174 | 147 | 3 | 100.00% | FullyReplicated
ReassertionProcessing_Age2 | 237 | 32 | 31 | 3 | 100.00% | FullyReplicated
ReassertionProcessing_Age3 | 15 | 1 | 1 | 3 | 100.00% | FullyReplicated
RecoveryResolution_Age1 | 1079 | 94 | 46 | 3 | 100.00% | FullyReplicated
RecoveryResolution_Age2 | 339 | 38 | 13 | 3 | 100.00% | FullyReplicated
RecoveryResolution_Age3 | 251 | 27 | 9 | 3 | 100.00% | FullyReplicated
RecoveryResolution_Age4 | 16 | 1 | 0 | 2 | 66.67% | PartiallyReplicated
RecoveryResolution_Age5 | 6 | 0 | 0 | 1 | 33.33% | InstrumentSpecific
RecoveryResolution_Age6-10 | 5 | 0 | 0 | 1 | 33.33% | InstrumentSpecific

Aggregate Edge Table
SourceNode | DestinationNode | Prob_6E | Prob_CL | Prob_NQ | ReplicationCount | MeanProbability | Classification
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 56.66% | 51.98% | 57.30% | 3 | 55.31% | FullyReplicated
CompressionProcessing_Age1 | DecayToNeutral_Age1 | 0.10% | N/A | 1.12% | 2 | 0.61% | PartiallyReplicated
CompressionProcessing_Age1 | DestructiveRotation_Age1 | 0.72% | N/A | 1.12% | 2 | 0.92% | PartiallyReplicated
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 6.18% | 7.34% | 4.49% | 3 | 6.01% | FullyReplicated
CompressionProcessing_Age1 | MixedStructure_Age1 | 0.96% | 1.69% | 1.12% | 3 | 1.26% | FullyReplicated
CompressionProcessing_Age1 | NeutralProcessing_Age1 | 30.43% | 31.64% | 29.21% | 3 | 30.43% | FullyReplicated
CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 0.65% | N/A | N/A | 1 | 0.65% | InstrumentSpecific
CompressionProcessing_Age1 | RecoveryResolution_Age1 | 4.30% | 7.34% | 5.62% | 3 | 5.76% | FullyReplicated
CompressionProcessing_Age11-20 | CompressionProcessing_Age11-20 | 40.00% | N/A | N/A | 1 | 40.00% | InstrumentSpecific
CompressionProcessing_Age11-20 | ExhaustionPersistence_Age1 | 40.00% | N/A | N/A | 1 | 40.00% | InstrumentSpecific
CompressionProcessing_Age11-20 | RecoveryResolution_Age1 | 20.00% | N/A | N/A | 1 | 20.00% | InstrumentSpecific
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 50.63% | 44.57% | 58.82% | 3 | 51.34% | FullyReplicated
CompressionProcessing_Age2 | ConstructiveEmergence_Age1 | 0.06% | N/A | N/A | 1 | 0.06% | InstrumentSpecific
CompressionProcessing_Age2 | DecayToNeutral_Age1 | 2.47% | 2.17% | 1.96% | 3 | 2.20% | FullyReplicated
CompressionProcessing_Age2 | DestructiveRotation_Age1 | 0.84% | 1.09% | N/A | 2 | 0.97% | PartiallyReplicated
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | 6.93% | 10.87% | 3.92% | 3 | 7.24% | FullyReplicated
CompressionProcessing_Age2 | MixedStructure_Age1 | 1.21% | 1.09% | 1.96% | 3 | 1.42% | FullyReplicated
CompressionProcessing_Age2 | NeutralProcessing_Age1 | 33.09% | 35.87% | 29.41% | 3 | 32.79% | FullyReplicated
CompressionProcessing_Age2 | ReassertionProcessing_Age1 | 0.12% | N/A | 1.96% | 2 | 1.04% | PartiallyReplicated
CompressionProcessing_Age2 | RecoveryResolution_Age1 | 4.64% | 4.35% | 1.96% | 3 | 3.65% | FullyReplicated
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 62.86% | 53.66% | 60.00% | 3 | 58.84% | FullyReplicated
CompressionProcessing_Age3 | DecayToNeutral_Age1 | 1.31% | N/A | 10.00% | 2 | 5.65% | PartiallyReplicated
CompressionProcessing_Age3 | DestructiveRotation_Age1 | 0.36% | N/A | N/A | 1 | 0.36% | InstrumentSpecific
CompressionProcessing_Age3 | ExhaustionPersistence_Age1 | 7.74% | 14.63% | 6.67% | 3 | 9.68% | FullyReplicated
CompressionProcessing_Age3 | MixedStructure_Age1 | 2.02% | 2.44% | N/A | 2 | 2.23% | PartiallyReplicated
CompressionProcessing_Age3 | NeutralProcessing_Age1 | 21.07% | 24.39% | 16.67% | 3 | 20.71% | FullyReplicated
CompressionProcessing_Age3 | ReassertionProcessing_Age1 | 0.60% | 2.44% | N/A | 2 | 1.52% | PartiallyReplicated
CompressionProcessing_Age3 | RecoveryResolution_Age1 | 4.05% | 2.44% | 6.67% | 3 | 4.38% | FullyReplicated
CompressionProcessing_Age4 | CompressionProcessing_Age5 | 53.41% | 54.55% | 44.44% | 3 | 50.80% | FullyReplicated
CompressionProcessing_Age4 | DecayToNeutral_Age1 | 3.60% | 9.09% | 11.11% | 3 | 7.93% | FullyReplicated
CompressionProcessing_Age4 | DestructiveRotation_Age1 | 0.57% | N/A | 11.11% | 2 | 5.84% | PartiallyReplicated
CompressionProcessing_Age4 | ExhaustionPersistence_Age1 | 6.63% | 9.09% | 5.56% | 3 | 7.09% | FullyReplicated
CompressionProcessing_Age4 | MixedStructure_Age1 | 4.17% | N/A | 11.11% | 2 | 7.64% | PartiallyReplicated
CompressionProcessing_Age4 | NeutralProcessing_Age1 | 26.89% | 22.73% | 11.11% | 3 | 20.24% | FullyReplicated
CompressionProcessing_Age4 | ReassertionProcessing_Age1 | 0.38% | 4.55% | N/A | 2 | 2.46% | PartiallyReplicated
CompressionProcessing_Age4 | RecoveryResolution_Age1 | 4.36% | N/A | 5.56% | 2 | 4.96% | PartiallyReplicated
CompressionProcessing_Age5 | CompressionProcessing_Age6-10 | 45.04% | 41.67% | 37.50% | 3 | 41.40% | FullyReplicated
