APVA State Compression Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Node Behavior Table
Node | Count | DominantNextNode | DominantBranchProbability | BranchEntropy | MemoryStrength | ReplicationCount
NeutralProcessing_Age1 | 6414 | NeutralProcessing_Age2 | 56.64% | 1.2648 | 0.2174 | 3
MixedStructure_Age1 | 3726 | NeutralProcessing_Age1 | 37.55% | 1.7596 | 0.1798 | 3
NeutralProcessing_Age2 | 3633 | NeutralProcessing_Age3 | 55.22% | 1.2303 | 0.2672 | 3
NeutralProcessing_Age6-10 | 3283 | NeutralProcessing_Age6-10 | 66.13% | 1.1786 | 0.2213 | 3
CompressionProcessing_Age1 | 3194 | CompressionProcessing_Age2 | 56.42% | 1.1164 | 0.2088 | 3
ReassertionProcessing_Age1 | 2080 | NeutralProcessing_Age1 | 40.58% | 1.3785 | 0.1801 | 3
NeutralProcessing_Age3 | 2006 | NeutralProcessing_Age4 | 74.83% | 0.8421 | 0.3518 | 3
CompressionProcessing_Age2 | 1802 | CompressionProcessing_Age3 | 50.55% | 1.2375 | 0.2046 | 3
DecayToNeutral_Age1 | 1675 | NeutralProcessing_Age1 | 55.58% | 1.1418 | 0.2123 | 3
NeutralProcessing_Age4 | 1501 | NeutralProcessing_Age5 | 91.07% | 0.4478 | 0.3656 | 3
NeutralProcessing_Age5 | 1367 | NeutralProcessing_Age6-10 | 81.42% | 0.7548 | 0.3142 | 3
ExhaustionPersistence_Age1 | 1264 | ExhaustionPersistence_Age2 | 28.01% | 1.6768 | 0.1790 | 3
RecoveryResolution_Age1 | 1219 | CompressionProcessing_Age1 | 55.70% | 0.9484 | 0.2470 | 3
DestructiveRotation_Age1 | 970 | DecayToNeutral_Age1 | 29.48% | 1.8058 | 0.1730 | 3
NeutralProcessing_Age11-20 | 958 | NeutralProcessing_Age11-20 | 74.53% | 0.9558 | 0.2809 | 3
CompressionProcessing_Age3 | 911 | CompressionProcessing_Age4 | 62.35% | 1.1487 | 0.2158 | 3
CompressionProcessing_Age4 | 568 | CompressionProcessing_Age5 | 53.17% | 1.3344 | 0.2024 | 3
MixedStructure_Age2 | 410 | NeutralProcessing_Age1 | 30.98% | 1.6945 | 0.1850 | 3
RecoveryResolution_Age2 | 390 | RecoveryResolution_Age3 | 73.59% | 0.5773 | 0.2839 | 3
ExhaustionPersistence_Age2 | 354 | ExhaustionPersistence_Age3 | 75.99% | 0.5968 | 0.2466 | 3
CompressionProcessing_Age5 | 302 | CompressionProcessing_Age6-10 | 44.70% | 1.5600 | 0.1955 | 3
ReassertionProcessing_Age2 | 300 | DestructiveRotation_Age1 | 48.67% | 1.0143 | 0.1959 | 3
RecoveryResolution_Age3 | 287 | CompressionProcessing_Age1 | 68.64% | 0.9500 | 0.2172 | 3
ExhaustionPersistence_Age3 | 269 | ExhaustionPersistence_Age4 | 63.20% | 0.8673 | 0.1931 | 3
CompressionProcessing_Age6-10 | 262 | CompressionProcessing_Age6-10 | 48.47% | 1.4805 | 0.1891 | 3
ExhaustionPersistence_Age4 | 170 | ExhaustionPersistence_Age5 | 42.35% | 1.5489 | 0.1915 | 3
DestructiveRotation_Age2 | 123 | DecayToNeutral_Age1 | 41.46% | 1.7173 | 0.2326 | 3
ConstructiveEmergence_Age1 | 109 | MixedStructure_Age1 | 48.62% | 1.1479 | 0.1983 | 3
NeutralProcessing_Age21+ | 82 | NeutralProcessing_Age21+ | 78.05% | 0.7959 | 0.3218 | 1
ExhaustionPersistence_Age5 | 72 | ExhaustionPersistence_Age6-10 | 31.94% | 1.6549 | 0.1659 | 3
MixedStructure_Age3 | 51 | DecayToNeutral_Age1 | 35.29% | 1.6710 | 0.2135 | 3
ExhaustionPersistence_Age6-10 | 38 | ExhaustionPersistence_Age6-10 | 39.47% | 1.4974 | 0.1784 | 3
DestructiveRotation_Age3 | 17 | DecayToNeutral_Age1 | 64.71% | 1.1185 | 0.2124 | 3
ReassertionProcessing_Age3 | 17 | DestructiveRotation_Age1 | 94.12% | 0.2237 | 0.2092 | 3
RecoveryResolution_Age4 | 17 | CompressionProcessing_Age1 | 64.71% | 0.6492 | 0.2484 | 2
MixedStructure_Age4 | 12 | NeutralProcessing_Age1 | 41.67% | 1.4241 | 0.1991 | 3
RecoveryResolution_Age5 | 6 | RecoveryResolution_Age6-10 | 83.33% | 0.4506 | 0.2407 | 1
CompressionProcessing_Age11-20 | 5 | CompressionProcessing_Age11-20 | 40.00% | 1.0549 | 0.2556 | 1
RecoveryResolution_Age6-10 | 5 | CompressionProcessing_Age1 | 60.00% | 0.6730 | 0.2444 | 1
DestructiveRotation_Age4 | 1 | DecayToNeutral_Age1 | 100.00% | -0.0000 | 0.0556 | 1
MixedStructure_Age5 | 1 | DecayToNeutral_Age1 | 100.00% | -0.0000 | 0.3333 | 1

Aggregate Similarity Table
NodeA | NodeB | TotalDistance | SimilarityClass
MixedStructure_Age1 | MixedStructure_Age2 | 0.0784 | StrongMergeCandidate
DestructiveRotation_Age1 | MixedStructure_Age2 | 0.0974 | StrongMergeCandidate
RecoveryResolution_Age4 | RecoveryResolution_Age6-10 | 0.0982 | StrongMergeCandidate
ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 0.1062 | ModerateMergeCandidate
DestructiveRotation_Age1 | MixedStructure_Age1 | 0.1177 | ModerateMergeCandidate
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age5 | 0.1186 | ModerateMergeCandidate
DestructiveRotation_Age2 | MixedStructure_Age3 | 0.1301 | ModerateMergeCandidate
DestructiveRotation_Age1 | ExhaustionPersistence_Age5 | 0.1317 | ModerateMergeCandidate
DecayToNeutral_Age1 | ReassertionProcessing_Age1 | 0.1366 | ModerateMergeCandidate
CompressionProcessing_Age5 | CompressionProcessing_Age6-10 | 0.1366 | ModerateMergeCandidate
MixedStructure_Age1 | MixedStructure_Age4 | 0.1389 | ModerateMergeCandidate
ConstructiveEmergence_Age1 | ReassertionProcessing_Age1 | 0.1392 | ModerateMergeCandidate
ConstructiveEmergence_Age1 | ReassertionProcessing_Age2 | 0.1436 | ModerateMergeCandidate
DecayToNeutral_Age1 | ReassertionProcessing_Age2 | 0.1439 | ModerateMergeCandidate
RecoveryResolution_Age1 | RecoveryResolution_Age3 | 0.1450 | ModerateMergeCandidate
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 0.1474 | ModerateMergeCandidate
MixedStructure_Age2 | MixedStructure_Age4 | 0.1492 | ModerateMergeCandidate
ExhaustionPersistence_Age1 | MixedStructure_Age2 | 0.1497 | ModerateMergeCandidate
MixedStructure_Age4 | ReassertionProcessing_Age1 | 0.1539 | ModerateMergeCandidate
ExhaustionPersistence_Age5 | MixedStructure_Age2 | 0.1560 | ModerateMergeCandidate
CompressionProcessing_Age1 | CompressionProcessing_Age4 | 0.1605 | ModerateMergeCandidate
ExhaustionPersistence_Age1 | MixedStructure_Age1 | 0.1611 | ModerateMergeCandidate
RecoveryResolution_Age3 | RecoveryResolution_Age6-10 | 0.1641 | ModerateMergeCandidate
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 0.1652 | ModerateMergeCandidate
CompressionProcessing_Age4 | CompressionProcessing_Age5 | 0.1662 | ModerateMergeCandidate
ExhaustionPersistence_Age5 | MixedStructure_Age1 | 0.1686 | ModerateMergeCandidate
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 0.1686 | ModerateMergeCandidate
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | 0.1691 | ModerateMergeCandidate
RecoveryResolution_Age1 | RecoveryResolution_Age6-10 | 0.1721 | ModerateMergeCandidate
RecoveryResolution_Age3 | RecoveryResolution_Age4 | 0.1733 | ModerateMergeCandidate
CompressionProcessing_Age1 | CompressionProcessing_Age3 | 0.1777 | ModerateMergeCandidate
CompressionProcessing_Age5 | ExhaustionPersistence_Age4 | 0.1787 | ModerateMergeCandidate
CompressionProcessing_Age1 | DecayToNeutral_Age1 | 0.1829 | ModerateMergeCandidate
ExhaustionPersistence_Age4 | MixedStructure_Age4 | 0.1847 | ModerateMergeCandidate
ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | 0.1879 | ModerateMergeCandidate
CompressionProcessing_Age1 | ExhaustionPersistence_Age3 | 0.1920 | ModerateMergeCandidate
DecayToNeutral_Age1 | NeutralProcessing_Age2 | 0.1933 | ModerateMergeCandidate
CompressionProcessing_Age2 | MixedStructure_Age4 | 0.1934 | ModerateMergeCandidate
ExhaustionPersistence_Age4 | ReassertionProcessing_Age1 | 0.1954 | ModerateMergeCandidate
ConstructiveEmergence_Age1 | ExhaustionPersistence_Age4 | 0.1979 | ModerateMergeCandidate
DestructiveRotation_Age3 | RecoveryResolution_Age3 | 0.2004 | NoMergeCandidate
CompressionProcessing_Age4 | ConstructiveEmergence_Age1 | 0.2007 | NoMergeCandidate
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 0.2011 | NoMergeCandidate
CompressionProcessing_Age1 | ConstructiveEmergence_Age1 | 0.2013 | NoMergeCandidate
ExhaustionPersistence_Age4 | ExhaustionPersistence_Age6-10 | 0.2055 | NoMergeCandidate
ConstructiveEmergence_Age1 | MixedStructure_Age4 | 0.2059 | NoMergeCandidate
CompressionProcessing_Age3 | DestructiveRotation_Age3 | 0.2082 | NoMergeCandidate
CompressionProcessing_Age5 | ConstructiveEmergence_Age1 | 0.2087 | NoMergeCandidate
CompressionProcessing_Age3 | RecoveryResolution_Age3 | 0.2098 | NoMergeCandidate
CompressionProcessing_Age5 | MixedStructure_Age4 | 0.2109 | NoMergeCandidate
CompressionProcessing_Age1 | ReassertionProcessing_Age2 | 0.2113 | NoMergeCandidate
RecoveryResolution_Age1 | RecoveryResolution_Age4 | 0.2116 | NoMergeCandidate
