APVA State Transition Model Study v0.1 - Aggregate
========================================================================================================
Instruments: 6E, CL, NQ

Aggregate Transition Matrix Table
State | AgeBucket | NextState | Count_6E | Prob_6E | Count_CL | Prob_CL | Count_NQ | Prob_NQ | ValidInstrumentCount | MeanProbability
CompressionProcessing | 1 | RecoveryResolution | 126 | 4.30% | 13 | 7.34% | 5 | 5.62% | 3 | 5.76%
CompressionProcessing | 1 | ExhaustionPersistence | 181 | 6.18% | 13 | 7.34% | 4 | 4.49% | 3 | 6.01%
CompressionProcessing | 1 | CompressionProcessing | 1659 | 56.66% | 92 | 51.98% | 51 | 57.30% | 3 | 55.31%
CompressionProcessing | 1 | NeutralProcessing | 891 | 30.43% | 56 | 31.64% | 26 | 29.21% | 3 | 30.43%
CompressionProcessing | 1 | ReassertionProcessing | 19 | 0.65% | 0 | 0.00% | 0 | 0.00% | 3 | 0.22%
CompressionProcessing | 1 | DecayToNeutral | 3 | 0.10% | 0 | 0.00% | 1 | 1.12% | 3 | 0.41%
CompressionProcessing | 1 | DestructiveRotation | 21 | 0.72% | 0 | 0.00% | 1 | 1.12% | 3 | 0.61%
CompressionProcessing | 1 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
CompressionProcessing | 1 | MixedStructure | 28 | 0.96% | 3 | 1.69% | 1 | 1.12% | 3 | 1.26%
CompressionProcessing | 11-20 | RecoveryResolution | 1 | 20.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
CompressionProcessing | 11-20 | ExhaustionPersistence | 2 | 40.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
CompressionProcessing | 11-20 | CompressionProcessing | 2 | 40.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
CompressionProcessing | 11-20 | NeutralProcessing | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
CompressionProcessing | 11-20 | ReassertionProcessing | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
CompressionProcessing | 11-20 | DecayToNeutral | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
CompressionProcessing | 11-20 | DestructiveRotation | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
CompressionProcessing | 11-20 | ConstructiveEmergence | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
CompressionProcessing | 11-20 | MixedStructure | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
CompressionProcessing | 2 | RecoveryResolution | 77 | 4.64% | 4 | 4.35% | 1 | 1.96% | 3 | 3.65%
CompressionProcessing | 2 | ExhaustionPersistence | 115 | 6.93% | 10 | 10.87% | 2 | 3.92% | 3 | 7.24%
CompressionProcessing | 2 | CompressionProcessing | 840 | 50.63% | 41 | 44.57% | 30 | 58.82% | 3 | 51.34%
CompressionProcessing | 2 | NeutralProcessing | 549 | 33.09% | 33 | 35.87% | 15 | 29.41% | 3 | 32.79%
CompressionProcessing | 2 | ReassertionProcessing | 2 | 0.12% | 0 | 0.00% | 1 | 1.96% | 3 | 0.69%
CompressionProcessing | 2 | DecayToNeutral | 41 | 2.47% | 2 | 2.17% | 1 | 1.96% | 3 | 2.20%
CompressionProcessing | 2 | DestructiveRotation | 14 | 0.84% | 1 | 1.09% | 0 | 0.00% | 3 | 0.64%
CompressionProcessing | 2 | ConstructiveEmergence | 1 | 0.06% | 0 | 0.00% | 0 | 0.00% | 3 | 0.02%
CompressionProcessing | 2 | MixedStructure | 20 | 1.21% | 1 | 1.09% | 1 | 1.96% | 3 | 1.42%
CompressionProcessing | 3 | RecoveryResolution | 34 | 4.05% | 1 | 2.44% | 2 | 6.67% | 3 | 4.38%
