APVA Structural State Machine Study v0.1 - Aggregate
========================================================

Instruments: 6E, NQ, CL
Structural states are compressed from family-path signatures.

Aggregate Structural State Table
================================
             State               6E_N            6E_Freq            6E_Cont            6E_Fail               NQ_N            NQ_Freq            NQ_Cont            NQ_Fail               CL_N            CL_Freq            CL_Cont            CL_Fail             ValidN           MeanFreq           MeanCont           MeanFail
RecoveryResolution               4873             13.82%             46.29%             49.59%                198             10.26%             54.59%             44.90%                396             14.75%             48.56%             50.65%                  3             12.94%             49.81%             48.38%
ExhaustionPersistence               3652             10.36%             46.07%             48.88%                189              9.79%             46.81%             52.13%                301             11.21%             49.00%             50.33%                  3             10.45%             47.29%             50.45%
CompressionProcessing               6435             18.25%             46.21%             48.92%                179              9.27%             49.44%             50.56%                326             12.15%             47.65%             51.41%                  3             13.22%             47.77%             50.30%
 NeutralProcessing              11331             32.14%             46.43%             47.96%                745             38.60%             49.32%             50.68%                876             32.64%             49.00%             50.18%                  3             34.46%             48.25%             49.61%
ReassertionProcessing               6942             19.69%             46.42%             48.21%                484             25.08%             47.93%             51.24%                628             23.40%             49.68%             49.68%                  3             22.72%             48.01%             49.71%
    DecayToNeutral               1239              3.51%             45.41%             50.61%                 77              3.99%             46.05%             53.95%                 96              3.58%             50.55%             49.45%                  3              3.69%             47.34%             51.34%
DestructiveRotation                682              1.93%             46.72%             49.10%                 34              1.76%             44.12%             55.88%                 51              1.90%             50.98%             49.02%                  3              1.87%             47.27%             51.34%
ConstructiveEmergence                 16              0.05%             56.25%             43.75%                  2              0.10%             50.00%             50.00%                  1              0.04%              0.00%            100.00%                  3              0.06%             35.42%             64.58%
    MixedStructure                 90              0.26%             39.76%             54.22%                 22              1.14%             50.00%             50.00%                  9              0.34%             66.67%             33.33%                  3              0.58%             52.14%             45.85%

Aggregate Transition Table
==========================

Lag 1
Source                       Target                           6E_N    6E_Prob    6E_Lift     NQ_N    NQ_Prob    NQ_Lift     CL_N    CL_Prob    CL_Lift  ValidN   MeanProb   MeanLift
ConstructiveEmergence        MixedStructure                      6     37.50%    146.921        0      0.00%        N/A        0      0.00%        N/A       1     37.50%    146.921
MixedStructure               MixedStructure                     21     23.33%     91.417        7     31.82%     27.928        2     22.22%     66.296       3     25.79%     61.880
DestructiveRotation          ConstructiveEmergence               3      0.44%      9.694        0      0.00%        N/A        1      1.96%     52.647       2      1.20%     31.171
ConstructiveEmergence        DecayToNeutral                     10     62.50%     17.787        2    100.00%     25.078        1    100.00%     27.969       3     87.50%     23.611
DestructiveRotation          DecayToNeutral                    357     52.42%     14.897       18     52.94%     13.277       29     56.86%     15.904       3     54.08%     14.693
DecayToNeutral               ConstructiveEmergence               8      0.65%     14.230        0      0.00%        N/A        0      0.00%        N/A       1      0.65%     14.230
DecayToNeutral               DestructiveRotation               210     16.95%      8.763       12     15.58%      8.851       18     18.75%      9.871       3     17.09%      9.162
MixedStructure               DecayToNeutral                     24     26.67%      7.589        6     27.27%      6.839        2     22.22%      6.215       3     25.39%      6.881
ExhaustionPersistence        ExhaustionPersistence            2588     70.87%      6.842      141     74.60%      7.622      205     68.11%      6.075       3     71.19%      6.847
DecayToNeutral               DecayToNeutral                    226     18.24%      5.191       22     28.57%      7.165       18     18.75%      5.244       3     21.85%      5.867
RecoveryResolution           RecoveryResolution               3340     68.54%      4.960      139     70.20%      6.846      292     73.74%      5.000       3     70.83%      5.602
CompressionProcessing        CompressionProcessing            4448     69.12%      3.788      110     61.45%      6.629      214     65.85%      5.407       3     65.47%      5.274
DecayToNeutral               MixedStructure                     13      1.05%      4.111        1      1.30%      1.140        2      2.08%      6.215       3      1.48%      3.822
DestructiveRotation          DestructiveRotation                41      6.02%      3.108        2      5.88%      3.341        3      5.88%      3.097       3      5.93%      3.182
ReassertionProcessing        ReassertionProcessing            4701     67.72%      3.440      332     68.60%      2.737      439     69.90%      2.989       3     68.74%      3.055
NeutralProcessing            NeutralProcessing                8948     78.97%      2.457      601     80.78%      2.091      682     77.85%      2.386       3     79.20%      2.312
DestructiveRotation          ExhaustionPersistence             151     22.17%      2.138        8     23.53%      2.404       10     19.61%      1.749       3     21.77%      2.097
RecoveryResolution           CompressionProcessing            1301     26.70%      1.463       50     25.25%      2.724       78     19.70%      1.622       3     23.88%      1.936
NeutralProcessing            ConstructiveEmergence               4      0.04%      0.778        2      0.27%      2.592        0      0.00%        N/A       2      0.15%      1.685
ReassertionProcessing        DecayToNeutral                    369      5.32%      1.513       23      4.75%      1.192       34      5.41%      1.514       3      5.16%      1.406
ReassertionProcessing        MixedStructure                     24      0.35%      1.354       10      2.07%      1.813        2      0.32%      0.950       3      0.91%      1.373
DecayToNeutral               NeutralProcessing                 427     34.46%      1.072       30     38.96%      1.010       42     43.75%      1.341       3     39.06%      1.141
DestructiveRotation          RecoveryResolution                112     16.45%      1.188        4     11.76%      1.147        7     13.73%      0.931       3     13.98%      1.089
ReassertionProcessing        DestructiveRotation               144      2.07%      1.072        9      1.86%      1.056       13      2.07%      1.090       3      2.00%      1.073
ExhaustionPersistence        RecoveryResolution                478     13.09%      0.947       19     10.05%      0.980       47     15.61%      1.059       3     12.92%      0.995
DecayToNeutral               ReassertionProcessing             264     21.31%      1.082       10     12.99%      0.518       15     15.62%      0.668       3     16.64%      0.756
MixedStructure               ExhaustionPersistence               7      7.78%      0.751        1      4.55%      0.464        1     11.11%      0.991       3      7.81%      0.736
NeutralProcessing            DestructiveRotation               176      1.55%      0.803        8      1.08%      0.610       12      1.37%      0.721       3      1.33%      0.711
ExhaustionPersistence        DecayToNeutral                    105      2.88%      0.818        3      1.59%      0.398        7      2.33%      0.650       3      2.26%      0.622
MixedStructure               NeutralProcessing                  20     22.22%      0.692        4     18.18%      0.471        2     22.22%      0.681       3     20.88%      0.615
MixedStructure               CompressionProcessing               5      5.56%      0.304        0      0.00%        N/A        1     11.11%      0.915       2      8.33%      0.610
NeutralProcessing            ReassertionProcessing            1333     11.76%      0.598      102     13.71%      0.546      129     14.73%      0.630       3     13.40%      0.591
MixedStructure               RecoveryResolution                  8      8.89%      0.643        1      4.55%      0.443        0      0.00%        N/A       2      6.72%      0.543
RecoveryResolution           MixedStructure                      7      0.14%      0.563        1      0.51%      0.443        0      0.00%        N/A       2      0.32%      0.503
CompressionProcessing        DestructiveRotation                81      1.26%      0.651        1      0.56%      0.317        3      0.92%      0.484       3      0.91%      0.484
ExhaustionPersistence        DestructiveRotation                30      0.82%      0.425        2      1.06%      0.601        2      0.66%      0.350       3      0.85%      0.459
MixedStructure               ReassertionProcessing               5      5.56%      0.282        3     13.64%      0.544        1     11.11%      0.475       3     10.10%      0.434
CompressionProcessing        ExhaustionPersistence             281      4.37%      0.422        6      3.35%      0.342       19      5.85%      0.520       3      4.52%      0.428
ReassertionProcessing        NeutralProcessing                 960     13.83%      0.430       72     14.88%      0.386       82     13.06%      0.400       3     13.92%      0.405
