APVA Transition Context Matrix Study v0.1 - Aggregate
Research only. No trades, entries/exits, optimization, fitting, or machine learning.
Instruments: 6E, CL, NQ

Aggregate Baseline Table
CurrentState | AgeBucket | Horizon | NextState | Count_6E | Prob_6E | Lift_6E | Count_CL | Prob_CL | Lift_CL | Count_NQ | Prob_NQ | Lift_NQ | ValidInstrumentCount | MeanProbability | MeanLift
CompressionProcessing | 1 | t+1 | CompressionProcessing | 1659 | 56.66% | 3.0787 | 92 | 51.98% | 3.9844 | 51 | 57.30% | 5.3921 | 3 | 55.31% | 4.1517
CompressionProcessing | 1 | t+1 | DecayToNeutral | 3 | 0.10% | 0.0243 | 0 | N/A | N/A | 1 | 1.12% | 0.2520 | 2 | 0.61% | 0.1382
CompressionProcessing | 1 | t+1 | DestructiveRotation | 21 | 0.72% | 0.2668 | 0 | N/A | N/A | 1 | 1.12% | 0.2744 | 2 | 0.92% | 0.2706
CompressionProcessing | 1 | t+1 | ExhaustionPersistence | 181 | 6.18% | 1.1569 | 13 | 7.34% | 1.1196 | 4 | 4.49% | 0.8102 | 3 | 6.01% | 1.0289
CompressionProcessing | 1 | t+1 | MixedStructure | 28 | 0.96% | 0.0919 | 3 | 1.69% | 0.1453 | 1 | 1.12% | 0.1008 | 3 | 1.26% | 0.1127
CompressionProcessing | 1 | t+1 | NeutralProcessing | 891 | 30.43% | 0.6314 | 56 | 31.64% | 0.6642 | 26 | 29.21% | 0.5774 | 3 | 30.43% | 0.6243
CompressionProcessing | 1 | t+1 | ReassertionProcessing | 19 | 0.65% | 0.1138 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 0.65% | 0.1138
CompressionProcessing | 1 | t+1 | RecoveryResolution | 126 | 4.30% | 0.8946 | 13 | 7.34% | 1.2316 | 5 | 5.62% | 1.5937 | 3 | 5.76% | 1.2400
CompressionProcessing | 1 | t+2 | CompressionProcessing | 1222 | 41.73% | 2.2677 | 66 | 37.50% | 2.8736 | 40 | 44.94% | 4.2269 | 3 | 41.39% | 3.1227
CompressionProcessing | 1 | t+2 | ConstructiveEmergence | 3 | 0.10% | 0.4352 | 1 | 0.57% | 1.2699 | 0 | N/A | N/A | 2 | 0.34% | 0.8526
CompressionProcessing | 1 | t+2 | DecayToNeutral | 53 | 1.81% | 0.4295 | 3 | 1.70% | 0.4438 | 2 | 2.25% | 0.5038 | 3 | 1.92% | 0.4590
CompressionProcessing | 1 | t+2 | DestructiveRotation | 55 | 1.88% | 0.6986 | 3 | 1.70% | 0.5442 | 1 | 1.12% | 0.2742 | 3 | 1.57% | 0.5057
CompressionProcessing | 1 | t+2 | ExhaustionPersistence | 182 | 6.22% | 1.1633 | 13 | 7.39% | 1.1256 | 2 | 2.25% | 0.4049 | 3 | 5.28% | 0.8979
CompressionProcessing | 1 | t+2 | MixedStructure | 112 | 3.83% | 0.3676 | 7 | 3.98% | 0.3419 | 2 | 2.25% | 0.2025 | 3 | 3.35% | 0.3040
CompressionProcessing | 1 | t+2 | NeutralProcessing | 1137 | 38.83% | 0.8058 | 66 | 37.50% | 0.7870 | 35 | 39.33% | 0.7768 | 3 | 38.55% | 0.7899
CompressionProcessing | 1 | t+2 | ReassertionProcessing | 46 | 1.57% | 0.2754 | 9 | 5.11% | 0.6625 | 5 | 5.62% | 0.6051 | 3 | 4.10% | 0.5144
CompressionProcessing | 1 | t+2 | RecoveryResolution | 118 | 4.03% | 0.8378 | 8 | 4.55% | 0.7619 | 2 | 2.25% | 0.6371 | 3 | 3.61% | 0.7456
