Timestamp,Instrument,Open,High,Low,Close,Volume,StructuralState,AgeBucket,StateAgeNode,LoopPhase,PreviousLoopPhase,DestinationFamily,FailureWarningScore,RangePressure,BodyPressure,VolumePressure,EfficiencyPressure,CloseExtremePressure,PolarityInstability,RangeRelativeToPrevious,BodyRelativeToPrevious,VolumeRelativeToRollingMean,VolumeRelativeToPrevious,VolumeRelativeToSessionMean,EfficiencyRatio,CloseLocation,VolumePolarity,NeutralPersistenceBars,PriorNeutralPersistenceBars,DirectFormationToDestinationFlag,LateNeutralReachableFlag,NeutralExitReason,RawCandidateStructuralState,CandidateStructuralState,CandidateStateAge,ConfirmedStructuralState,CandidateConfirmedFlag,CandidateFamily,ConfirmedFamily,CompressionProcessingFamilyCandidateCount,ReassertionProcessingFamilyCandidateCount,MixedStructureFamilyCandidateCount,ExhaustionPersistenceFamilyCandidateCount,RecoveryResolutionFamilyCandidateCount,CompressionProcessingFamilyConfirmedCount,ReassertionProcessingFamilyConfirmedCount,MixedStructureFamilyConfirmedCount,ExhaustionPersistenceFamilyConfirmedCount,RecoveryResolutionFamilyConfirmedCount,SuppressedCompressionCount,SuppressedReassertionCount,DestinationCompressionCount,DestinationReassertionCount,DestinationMixedCount,DestinationExhaustionCount,DestinationRecoveryCount,ExcursionPercentWarning,NeutralProcessingPercentWarning,LateNeutralPercentWarning,DestinationCompressionZeroWarning,DestinationReassertionZeroWarning
2026-05-04 06:35:00,NQ JUN26,27854.5,27874.5,27810,27827.25,14846,NeutralProcessing,1,NeutralProcessing_Age1,NeutralFormation,Unknown,N/A,0,false,false,false,false,false,false,,,,,1,0.42248062,0.26744186,Red,1,0,false,false,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,true,true
2026-05-04 06:40:00,NQ JUN26,27827.75,27854.75,27808.25,27836.5,7671,NeutralProcessing,2,NeutralProcessing_Age2,NeutralMaturation,NeutralFormation,N/A,1,false,false,false,false,false,true,0.72093023,0.32110092,,0.51670484,0.68135187,0.18817204,0.60752688,Black,2,0,false,false,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,true,true
2026-05-04 06:45:00,NQ JUN26,27836.5,27888,27824.5,27855.5,6629,NeutralProcessing,3,NeutralProcessing_Age3,NeutralMaturation,NeutralMaturation,N/A,3,true,true,false,true,false,false,1.3655914,2.17142857,,0.86416373,0.68232347,0.2992126,0.48818898,Black,3,0,false,false,CandidatePending,ReassertionProcessing,ReassertionProcessing,1,NeutralProcessing,false,ReassertionProcessing,N/A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,true,true,true
2026-05-04 06:50:00,NQ JUN26,27855.25,27895.75,27846.25,27868.5,7438,NeutralProcessing,4,NeutralProcessing_Age4,NeutralMaturation,NeutralMaturation,N/A,1,false,false,true,false,false,false,0.77952756,0.69736842,,1.12203952,0.81325169,0.26767677,0.44949495,Black,4,0,false,false,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,false,false,true,true,true
2026-05-04 06:55:00,NQ JUN26,27868,27889,27849,27870.5,6066,NeutralProcessing,5,NeutralProcessing_Age5,LateNeutral,NeutralMaturation,N/A,0,false,false,false,false,false,false,0.80808081,0.18867925,,0.81554181,0.71113716,0.0625,0.5375,Black,5,0,false,true,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,false,false,false,true,true
2026-05-04 07:00:00,NQ JUN26,27870,27898.75,27840.5,27896,5641,NeutralProcessing,6-10,NeutralProcessing_Age6-10,LateNeutral,LateNeutral,N/A,4,true,true,false,true,true,false,1.45625,10.4,0.66131301,0.92993736,0.70087594,0.44635193,0.9527897,Black,6,0,false,true,CandidatePending,ReassertionProcessing,ReassertionProcessing,1,NeutralProcessing,false,ReassertionProcessing,N/A,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,false,false,false,true,true
2026-05-04 07:05:00,NQ JUN26,27895.25,27900,27867.25,27871,6165,NeutralProcessing,6-10,NeutralProcessing_Age6-10,LateNeutral,LateNeutral,N/A,4,false,false,true,true,true,true,0.56223176,0.93269231,0.76598124,1.09289133,0.79247466,0.74045802,0.11450382,Red,7,0,false,true,CandidatePending,CompressionProcessing,CompressionProcessing,1,NeutralProcessing,false,CompressionProcessing,N/A,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,false,false,false,true,true
2026-05-04 07:10:00,NQ JUN26,27869.75,27891.5,27844,27855.5,7045,NeutralProcessing,6-10,NeutralProcessing_Age6-10,LateNeutral,LateNeutral,N/A,2,true,false,true,false,false,false,1.45038168,0.58762887,0.90559351,1.14274128,0.91640786,0.3,0.24210526,Red,8,0,false,true,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,false,false,false,true,true
2026-05-04 07:15:00,NQ JUN26,27856.5,27913.25,27851,27892.75,7030,NeutralProcessing,6-10,NeutralProcessing_Age6-10,LateNeutral,LateNeutral,N/A,4,true,true,false,true,false,true,1.31052632,2.54385965,0.91445668,0.99787083,0.92323182,0.58232932,0.67068273,Black,9,0,false,true,CandidatePending,MixedStructure,MixedStructure,1,NeutralProcessing,false,MixedStructure,N/A,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,false,false,false,true,true
2026-05-04 07:20:00,NQ JUN26,27892.75,27907.5,27879.25,27906.5,4918,NeutralProcessing,6-10,NeutralProcessing_Age6-10,LateNeutral,LateNeutral,N/A,1,false,false,false,false,true,false,0.45381526,0.37931034,0.64586829,0.69957326,0.66958025,0.48672566,0.96460177,Black,10,0,false,true,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,false,false,false,true,true
