FromLoopPhase,ToLoopPhase,Count,Probability
DestinationSelection,Excursion,142,84.52%
DestinationSelection,NeutralFormation,26,15.48%
Excursion,Excursion,1069,87.77%
Excursion,NeutralFormation,135,11.08%
Excursion,ReturnToNeutral,14,1.15%
LateNeutral,DestinationSelection,41,31.78%
LateNeutral,LateNeutral,88,68.22%
NeutralFormation,DestinationSelection,43,25.44%
NeutralFormation,NeutralMaturation,126,74.56%
NeutralMaturation,DestinationSelection,84,30.43%
NeutralMaturation,LateNeutral,42,15.22%
NeutralMaturation,NeutralMaturation,150,54.35%
ReturnToNeutral,Excursion,7,11.67%
ReturnToNeutral,NeutralFormation,7,11.67%
ReturnToNeutral,ReturnToNeutral,46,76.67%
