EventClass,Count,AvgDR5,AvgDR10,WinRate5,WinRate10,AvgMFE5,AvgMAE5,MfeMaeRatio5,SampleClass,InteractionType,NormalizedAvgDR5,NormalizedWinRate5,NormalizedMfeMaeRatio5,QualityScore,Rank
NeutralFormation + MixedStructure,14,5.6786,12.0893,0.5714,0.5714,31.0357,-21.2143,1.4630,Interpretable,PreviousLoopPhase x DestinationFamily,0.8659,0.5918,0.9678,0.7767,1
Black + ExhaustionPersistence,71,8.6655,20.5951,0.5352,0.5915,26.2113,-18.5246,1.4149,Interpretable,VolumePolarity x DestinationFamily,1.0000,0.4668,0.9165,0.7700,2
NeutralPersistence 1-2 + ReassertionProcessing,10,2.7500,49.0500,0.6000,0.7000,34.8250,-23.3250,1.4930,Interpretable,NeutralPersistenceGroup x DestinationFamily,0.7344,0.6905,1.0000,0.7700,3
NeutralFormation + RecoveryResolution,28,6.5982,18.5714,0.5357,0.5714,34.6696,-26.0625,1.3303,Interpretable,PreviousLoopPhase x DestinationFamily,0.9072,0.4685,0.8259,0.7155,4
LateNeutral + MixedStructure,29,0.3362,-2.3362,0.6897,0.6207,28.8190,-34.2759,0.8408,Interpretable,PreviousLoopPhase x DestinationFamily,0.6261,1.0000,0.3024,0.7109,5
Black + RecoveryResolution,65,4.9538,4.1731,0.5385,0.6154,27.9731,-21.1000,1.3257,Interpretable,VolumePolarity x DestinationFamily,0.8334,0.4780,0.8211,0.6888,6
Red + MixedStructure,36,1.3750,-22.9722,0.5833,0.5556,32.5694,-29.1319,1.1180,Interpretable,VolumePolarity x DestinationFamily,0.6727,0.6329,0.5989,0.6420,7
LateNeutral + ExhaustionPersistence,39,1.8462,2.9423,0.5385,0.4359,26.9231,-25.0321,1.0755,Interpretable,PreviousLoopPhase x DestinationFamily,0.6938,0.4780,0.5535,0.5794,8
LateNeutral + RecoveryResolution,27,0.4444,-3.9630,0.5185,0.5556,25.9630,-27.6759,0.9381,Interpretable,PreviousLoopPhase x DestinationFamily,0.6309,0.4092,0.4065,0.4973,9
NeutralPersistence 1-2 + RecoveryResolution,110,0.4614,1.9318,0.4818,0.5636,29.2182,-25.8636,1.1297,Interpretable,NeutralPersistenceGroup x DestinationFamily,0.6317,0.2825,0.6114,0.4879,10
NeutralPersistence 1-2 + MixedStructure,89,-6.0309,-8.6180,0.5618,0.5393,24.4551,-31.9972,0.7643,Interpretable,NeutralPersistenceGroup x DestinationFamily,0.3402,0.5586,0.2205,0.4036,11
NeutralMaturation + RecoveryResolution,55,-2.6545,-3.6455,0.4364,0.5636,28.0409,-24.8727,1.1274,Interpretable,PreviousLoopPhase x DestinationFamily,0.4918,0.1255,0.6089,0.3687,12
NeutralPersistence 1-2 + ExhaustionPersistence,151,-2.0795,8.1490,0.4768,0.5099,25.7053,-31.9023,0.8058,Interpretable,NeutralPersistenceGroup x DestinationFamily,0.5176,0.2652,0.2649,0.3661,13
NeutralFormation + ExhaustionPersistence,43,-4.0698,4.0174,0.4884,0.5814,29.0698,-39.9360,0.7279,Interpretable,PreviousLoopPhase x DestinationFamily,0.4283,0.3051,0.1816,0.3297,14
NeutralMaturation + ExhaustionPersistence,69,-3.0580,13.6667,0.4348,0.5072,22.9203,-30.7790,0.7447,Interpretable,PreviousLoopPhase x DestinationFamily,0.4737,0.1201,0.1996,0.2774,15
Black + MixedStructure,53,-11.0613,1.1321,0.5472,0.5283,18.9434,-33.9434,0.5581,Interpretable,VolumePolarity x DestinationFamily,0.1144,0.5081,0.0000,0.2490,16
Red + RecoveryResolution,45,-6.0278,-1.3056,0.4000,0.4889,31.0167,-32.7444,0.9472,Interpretable,VolumePolarity x DestinationFamily,0.3403,0.0000,0.4162,0.2194,17
NeutralMaturation + MixedStructure,46,-13.6087,-18.8804,0.4783,0.4783,19.7011,-33.8424,0.5821,Interpretable,PreviousLoopPhase x DestinationFamily,0.0000,0.2702,0.0257,0.1132,18
Red + ExhaustionPersistence,80,-11.6156,-2.8969,0.4250,0.4375,25.2563,-43.7750,0.5770,Interpretable,VolumePolarity x DestinationFamily,0.0895,0.0863,0.0202,0.0744,19
