EventClass,Count,AvgDR5,AvgDR10,WinRate5,WinRate10,AvgMFE5,AvgMAE5,MfeMaeRatio5,SampleClass,InteractionType,NormalizedAvgDR5,NormalizedWinRate5,NormalizedMfeMaeRatio5,QualityScore,Rank
PriorNeutralPersistence 7-10 + MixedStructure,11,11.7273,22.5682,0.8182,0.8182,55.1591,-31.2500,1.7651,Interpretable,PriorNeutralPersistenceGroup x DestinationFamily,1.0000,1.0000,1.0000,1.0000,1
Black + ExhaustionPersistence,71,8.6655,20.5951,0.5352,0.5915,26.2113,-18.5246,1.4149,Interpretable,VolumePolarity x DestinationFamily,0.8827,0.3233,0.7194,0.6263,2
NeutralFormation + MixedStructure,14,5.6786,12.0893,0.5714,0.5714,31.0357,-21.2143,1.4630,Interpretable,PreviousLoopPhase x DestinationFamily,0.7682,0.4099,0.7579,0.6229,3
NeutralFormation + RecoveryResolution,28,6.5982,18.5714,0.5357,0.5714,34.6696,-26.0625,1.3303,Interpretable,PreviousLoopPhase x DestinationFamily,0.8035,0.3245,0.6516,0.5815,4
Black + RecoveryResolution,65,4.9538,4.1731,0.5385,0.6154,27.9731,-21.1000,1.3257,Interpretable,VolumePolarity x DestinationFamily,0.7405,0.3311,0.6480,0.5582,5
LateNeutral + MixedStructure,29,0.3362,-2.3362,0.6897,0.6207,28.8190,-34.2759,0.8408,Interpretable,PreviousLoopPhase x DestinationFamily,0.5635,0.6927,0.2594,0.5544,6
Red + MixedStructure,36,1.3750,-22.9722,0.5833,0.5556,32.5694,-29.1319,1.1180,Interpretable,VolumePolarity x DestinationFamily,0.6033,0.4384,0.4815,0.5130,7
PriorNeutralPersistence 5-6 + MixedStructure,15,0.7333,-15.6833,0.6000,0.4667,22.8000,-25.8167,0.8832,Interpretable,PriorNeutralPersistenceGroup x DestinationFamily,0.5788,0.4783,0.2934,0.4815,8
LateNeutral + ExhaustionPersistence,39,1.8462,2.9423,0.5385,0.4359,26.9231,-25.0321,1.0755,Interpretable,PreviousLoopPhase x DestinationFamily,0.6214,0.3311,0.4475,0.4705,9
PriorNeutralPersistence 5-6 + RecoveryResolution,16,4.8594,2.5156,0.5000,0.6250,24.0625,-25.5625,0.9413,Interpretable,PriorNeutralPersistenceGroup x DestinationFamily,0.7368,0.2391,0.3400,0.4584,10
PriorNeutralPersistence 1-2 + RecoveryResolution,55,1.3955,7.0636,0.4727,0.5636,34.7091,-27.9727,1.2408,Interpretable,PriorNeutralPersistenceGroup x DestinationFamily,0.6041,0.1739,0.5799,0.4272,11
PriorNeutralPersistence 3-4 + MixedStructure,27,-2.6759,-24.0463,0.5556,0.4444,27.4259,-25.6574,1.0689,Interpretable,PriorNeutralPersistenceGroup x DestinationFamily,0.4481,0.3720,0.4422,0.4165,12
LateNeutral + RecoveryResolution,27,0.4444,-3.9630,0.5185,0.5556,25.9630,-27.6759,0.9381,Interpretable,PreviousLoopPhase x DestinationFamily,0.5677,0.2834,0.3374,0.4079,13
PriorNeutralPersistence 5-6 + ExhaustionPersistence,19,-1.8553,-3.3026,0.4737,0.3684,23.5658,-18.3158,1.2866,Interpretable,PriorNeutralPersistenceGroup x DestinationFamily,0.4796,0.1762,0.6166,0.3856,14
PriorNeutralPersistence 3-4 + RecoveryResolution,28,-1.3571,-2.4643,0.4643,0.5714,21.5714,-19.9732,1.0800,Interpretable,PriorNeutralPersistenceGroup x DestinationFamily,0.4987,0.1537,0.4511,0.3512,15
