PreviousLoopPhase,DestinationFamily,Count,AvgDR5,AvgDR10,WinRate5,WinRate10,SampleClass
LateNeutral,CompressionProcessing,3,-2.8333,-39.4167,0.3333,0.0000,LowSample
LateNeutral,ExhaustionPersistence,39,1.8462,2.9423,0.5385,0.4359,Interpretable
LateNeutral,MixedStructure,29,0.3362,-2.3362,0.6897,0.6207,Interpretable
LateNeutral,ReassertionProcessing,4,23.2500,62.2500,0.7500,0.7500,LowSample
LateNeutral,RecoveryResolution,27,0.4444,-3.9630,0.5185,0.5556,Interpretable
NeutralFormation,ExhaustionPersistence,43,-4.0698,4.0174,0.4884,0.5814,Interpretable
NeutralFormation,MixedStructure,14,5.6786,12.0893,0.5714,0.5714,Interpretable
NeutralFormation,RecoveryResolution,28,6.5982,18.5714,0.5357,0.5714,Interpretable
NeutralMaturation,CompressionProcessing,3,-12.0000,113.9167,0.3333,0.6667,LowSample
NeutralMaturation,ExhaustionPersistence,69,-3.0580,13.6667,0.4348,0.5072,Interpretable
NeutralMaturation,MixedStructure,46,-13.6087,-18.8804,0.4783,0.4783,Interpretable
NeutralMaturation,ReassertionProcessing,6,-10.9167,40.2500,0.5000,0.6667,LowSample
NeutralMaturation,RecoveryResolution,55,-2.6545,-3.6455,0.4364,0.5636,Interpretable
