EventClass,Count,AvgDR5,AvgDR10,WinRate5,WinRate10,AvgMFE5,AvgMAE5,MfeMaeRatio5,SampleClass,InteractionType
LateNeutral + CompressionProcessing,3,-2.8333,-39.4167,0.3333,0.0000,47.0833,-17.0000,2.7696,LowSample,PreviousLoopPhase x DestinationFamily
LateNeutral + ExhaustionPersistence,39,1.8462,2.9423,0.5385,0.4359,26.9231,-25.0321,1.0755,Interpretable,PreviousLoopPhase x DestinationFamily
LateNeutral + MixedStructure,29,0.3362,-2.3362,0.6897,0.6207,28.8190,-34.2759,0.8408,Interpretable,PreviousLoopPhase x DestinationFamily
LateNeutral + ReassertionProcessing,4,23.2500,62.2500,0.7500,0.7500,39.1250,-11.0000,3.5568,LowSample,PreviousLoopPhase x DestinationFamily
LateNeutral + RecoveryResolution,27,0.4444,-3.9630,0.5185,0.5556,25.9630,-27.6759,0.9381,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralFormation + ExhaustionPersistence,43,-4.0698,4.0174,0.4884,0.5814,29.0698,-39.9360,0.7279,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralFormation + MixedStructure,14,5.6786,12.0893,0.5714,0.5714,31.0357,-21.2143,1.4630,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralFormation + RecoveryResolution,28,6.5982,18.5714,0.5357,0.5714,34.6696,-26.0625,1.3303,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralMaturation + CompressionProcessing,3,-12.0000,113.9167,0.3333,0.6667,47.3333,-37.7500,1.2539,LowSample,PreviousLoopPhase x DestinationFamily
NeutralMaturation + ExhaustionPersistence,69,-3.0580,13.6667,0.4348,0.5072,22.9203,-30.7790,0.7447,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralMaturation + MixedStructure,46,-13.6087,-18.8804,0.4783,0.4783,19.7011,-33.8424,0.5821,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralMaturation + ReassertionProcessing,6,-10.9167,40.2500,0.5000,0.6667,31.9583,-31.5417,1.0132,LowSample,PreviousLoopPhase x DestinationFamily
NeutralMaturation + RecoveryResolution,55,-2.6545,-3.6455,0.4364,0.5636,28.0409,-24.8727,1.1274,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralPersistence 1-2 + CompressionProcessing,6,-7.4167,37.2500,0.3333,0.3333,47.2083,-27.3750,1.7245,LowSample,NeutralPersistenceGroup x DestinationFamily
NeutralPersistence 1-2 + ExhaustionPersistence,151,-2.0795,8.1490,0.4768,0.5099,25.7053,-31.9023,0.8058,Interpretable,NeutralPersistenceGroup x DestinationFamily
NeutralPersistence 1-2 + MixedStructure,89,-6.0309,-8.6180,0.5618,0.5393,24.4551,-31.9972,0.7643,Interpretable,NeutralPersistenceGroup x DestinationFamily
NeutralPersistence 1-2 + ReassertionProcessing,10,2.7500,49.0500,0.6000,0.7000,34.8250,-23.3250,1.4930,Interpretable,NeutralPersistenceGroup x DestinationFamily
NeutralPersistence 1-2 + RecoveryResolution,110,0.4614,1.9318,0.4818,0.5636,29.2182,-25.8636,1.1297,Interpretable,NeutralPersistenceGroup x DestinationFamily
Black + CompressionProcessing,1,-1.0000,-1.5000,0.0000,0.0000,26.7500,-1.0000,26.7500,LowSample,VolumePolarity x DestinationFamily
Black + ExhaustionPersistence,71,8.6655,20.5951,0.5352,0.5915,26.2113,-18.5246,1.4149,Interpretable,VolumePolarity x DestinationFamily
Black + MixedStructure,53,-11.0613,1.1321,0.5472,0.5283,18.9434,-33.9434,0.5581,Interpretable,VolumePolarity x DestinationFamily
Black + ReassertionProcessing,8,-1.2188,55.4062,0.5000,0.7500,30.9375,-32.0938,0.9640,LowSample,VolumePolarity x DestinationFamily
Black + RecoveryResolution,65,4.9538,4.1731,0.5385,0.6154,27.9731,-21.1000,1.3257,Interpretable,VolumePolarity x DestinationFamily
Red + CompressionProcessing,5,-8.7000,45.0000,0.4000,0.4000,51.3000,-32.6500,1.5712,LowSample,VolumePolarity x DestinationFamily
Red + ExhaustionPersistence,80,-11.6156,-2.8969,0.4250,0.4375,25.2563,-43.7750,0.5770,Interpretable,VolumePolarity x DestinationFamily
Red + MixedStructure,36,1.3750,-22.9722,0.5833,0.5556,32.5694,-29.1319,1.1180,Interpretable,VolumePolarity x DestinationFamily
Red + ReassertionProcessing,2,18.6250,23.6250,1.0000,0.5000,50.3750,11.7500,4.2872,LowSample,VolumePolarity x DestinationFamily
Red + RecoveryResolution,45,-6.0278,-1.3056,0.4000,0.4889,31.0167,-32.7444,0.9472,Interpretable,VolumePolarity x DestinationFamily
