EventClass,Count,AvgDR5,AvgDR10,WinRate5,WinRate10,AvgMFE5,AvgMAE5,MfeMaeRatio5,SampleClass,InteractionType
LateNeutral + CompressionProcessing,3,-2.8333,-39.4167,0.3333,0.0000,47.0833,-17.0000,2.7696,LowSample,PreviousLoopPhase x DestinationFamily
LateNeutral + ExhaustionPersistence,39,1.8462,2.9423,0.5385,0.4359,26.9231,-25.0321,1.0755,Interpretable,PreviousLoopPhase x DestinationFamily
LateNeutral + MixedStructure,29,0.3362,-2.3362,0.6897,0.6207,28.8190,-34.2759,0.8408,Interpretable,PreviousLoopPhase x DestinationFamily
LateNeutral + ReassertionProcessing,4,23.2500,62.2500,0.7500,0.7500,39.1250,-11.0000,3.5568,LowSample,PreviousLoopPhase x DestinationFamily
LateNeutral + RecoveryResolution,27,0.4444,-3.9630,0.5185,0.5556,25.9630,-27.6759,0.9381,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralFormation + ExhaustionPersistence,43,-4.0698,4.0174,0.4884,0.5814,29.0698,-39.9360,0.7279,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralFormation + MixedStructure,14,5.6786,12.0893,0.5714,0.5714,31.0357,-21.2143,1.4630,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralFormation + RecoveryResolution,28,6.5982,18.5714,0.5357,0.5714,34.6696,-26.0625,1.3303,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralMaturation + CompressionProcessing,3,-12.0000,113.9167,0.3333,0.6667,47.3333,-37.7500,1.2539,LowSample,PreviousLoopPhase x DestinationFamily
NeutralMaturation + ExhaustionPersistence,69,-3.0580,13.6667,0.4348,0.5072,22.9203,-30.7790,0.7447,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralMaturation + MixedStructure,46,-13.6087,-18.8804,0.4783,0.4783,19.7011,-33.8424,0.5821,Interpretable,PreviousLoopPhase x DestinationFamily
NeutralMaturation + ReassertionProcessing,6,-10.9167,40.2500,0.5000,0.6667,31.9583,-31.5417,1.0132,LowSample,PreviousLoopPhase x DestinationFamily
NeutralMaturation + RecoveryResolution,55,-2.6545,-3.6455,0.4364,0.5636,28.0409,-24.8727,1.1274,Interpretable,PreviousLoopPhase x DestinationFamily
PriorNeutralPersistence 1-2 + CompressionProcessing,3,-12.0000,113.9167,0.3333,0.6667,47.3333,-37.7500,1.2539,LowSample,PriorNeutralPersistenceGroup x DestinationFamily
