Timestamp,Instrument,BarsUntilDestinationSelection
2026-05-04 06:55:00,NQ JUN26,13
2026-05-04 07:00:00,NQ JUN26,12
2026-05-04 07:05:00,NQ JUN26,11
2026-05-04 07:10:00,NQ JUN26,10
2026-05-04 07:15:00,NQ JUN26,9
2026-05-04 07:20:00,NQ JUN26,8
2026-05-04 07:25:00,NQ JUN26,7
2026-05-04 07:30:00,NQ JUN26,6
2026-05-04 07:35:00,NQ JUN26,5
2026-05-04 07:40:00,NQ JUN26,4
2026-05-04 07:45:00,NQ JUN26,3
2026-05-04 07:50:00,NQ JUN26,2
2026-05-04 07:55:00,NQ JUN26,1
2026-05-04 11:20:00,NQ JUN26,3
2026-05-04 11:25:00,NQ JUN26,2
2026-05-04 11:30:00,NQ JUN26,1
2026-05-04 13:25:00,NQ JUN26,8
2026-05-04 13:30:00,NQ JUN26,7
2026-05-04 13:35:00,NQ JUN26,6
2026-05-04 13:40:00,NQ JUN26,5
2026-05-04 13:45:00,NQ JUN26,4
2026-05-04 13:50:00,NQ JUN26,3
2026-05-04 13:55:00,NQ JUN26,2
2026-05-04 14:00:00,NQ JUN26,1
2026-05-05 09:15:00,NQ JUN26,13
2026-05-05 09:20:00,NQ JUN26,12
2026-05-05 09:25:00,NQ JUN26,11
2026-05-05 09:30:00,NQ JUN26,10
2026-05-05 09:35:00,NQ JUN26,9
2026-05-05 09:40:00,NQ JUN26,8
2026-05-05 09:45:00,NQ JUN26,7
2026-05-05 09:50:00,NQ JUN26,6
2026-05-05 09:55:00,NQ JUN26,5
2026-05-05 10:00:00,NQ JUN26,4
2026-05-05 10:05:00,NQ JUN26,3
2026-05-05 10:10:00,NQ JUN26,2
2026-05-05 10:15:00,NQ JUN26,1
2026-05-05 10:45:00,NQ JUN26,4
2026-05-05 10:50:00,NQ JUN26,3
2026-05-05 10:55:00,NQ JUN26,2
2026-05-05 11:00:00,NQ JUN26,1
2026-05-05 13:25:00,NQ JUN26,4
2026-05-05 13:30:00,NQ JUN26,3
2026-05-05 13:35:00,NQ JUN26,2
2026-05-05 13:40:00,NQ JUN26,1
2026-05-06 06:40:00,NQ JUN26,3
2026-05-06 06:45:00,NQ JUN26,2
2026-05-06 06:50:00,NQ JUN26,1
2026-05-06 08:00:00,NQ JUN26,4
2026-05-06 08:05:00,NQ JUN26,3
2026-05-06 08:10:00,NQ JUN26,2
2026-05-06 08:15:00,NQ JUN26,1
2026-05-06 08:45:00,NQ JUN26,4
2026-05-06 08:50:00,NQ JUN26,3
2026-05-06 08:55:00,NQ JUN26,2
2026-05-06 09:00:00,NQ JUN26,1
2026-05-06 10:30:00,NQ JUN26,8
2026-05-06 10:35:00,NQ JUN26,7
2026-05-06 10:40:00,NQ JUN26,6
2026-05-06 10:45:00,NQ JUN26,5
2026-05-06 10:50:00,NQ JUN26,4
2026-05-06 10:55:00,NQ JUN26,3
2026-05-06 11:00:00,NQ JUN26,2
2026-05-06 11:05:00,NQ JUN26,1
2026-05-06 12:15:00,NQ JUN26,3
