Anchor,Candidate,Condition,VolumePolarity,Count,AvgDR5,AvgDR10,WinRate5,WinRate10,AvgMFE5,AvgMAE5,MfeMaeRatio5
Tminus1,CandidateA,LoopPhase in LateNeutral/NeutralMaturation AND FailureWarningScore >= 3,All,145,22.5241,31.7293,0.7241,0.6897,57.8052,0.9672,59.7629
Tminus1,CandidateA,LoopPhase in LateNeutral/NeutralMaturation AND FailureWarningScore >= 3,Black,76,23.0197,35.4671,0.7632,0.7500,48.4145,1.5493,31.2484
Tminus1,CandidateA,LoopPhase in LateNeutral/NeutralMaturation AND FailureWarningScore >= 3,Red,69,21.9783,27.6123,0.6812,0.6232,68.1486,0.3261,208.9889
Tminus1,CandidateB,FailureWarningScore >= 4 AND RangePressure AND VolumePressure,All,32,25.7812,28.0781,0.7812,0.6562,54.9922,7.7266,7.1173
Tminus1,CandidateB,FailureWarningScore >= 4 AND RangePressure AND VolumePressure,Black,21,31.6190,28.6548,0.8095,0.6190,54.7381,11.2381,4.8708
Tminus1,CandidateB,FailureWarningScore >= 4 AND RangePressure AND VolumePressure,Red,11,14.6364,26.9773,0.7273,0.7273,55.4773,1.0227,54.2444
Tminus1,CandidateC,FailureWarningScore >= 4 AND BodyPressure AND EfficiencyPressure,All,68,28.0662,40.7904,0.7353,0.7500,62.2390,6.0441,10.2974
Tminus1,CandidateC,FailureWarningScore >= 4 AND BodyPressure AND EfficiencyPressure,Black,39,15.1859,37.2051,0.7179,0.7949,45.6410,-2.2564,20.2273
Tminus1,CandidateC,FailureWarningScore >= 4 AND BodyPressure AND EfficiencyPressure,Red,29,45.3879,45.6121,0.7586,0.6897,84.5603,17.2069,4.9143
Tminus1,CandidateD,PriorNeutralPersistenceBars >= 5 OR NeutralPersistenceBars >= 5,All,102,24.9853,25.7721,0.7647,0.6765,54.3603,-1.8480,29.4151
Tminus1,CandidateD,PriorNeutralPersistenceBars >= 5 OR NeutralPersistenceBars >= 5,Black,51,38.2745,46.0539,0.8627,0.7647,54.9755,9.7206,5.6556
Tminus1,CandidateD,PriorNeutralPersistenceBars >= 5 OR NeutralPersistenceBars >= 5,Red,51,11.6961,5.4902,0.6667,0.5882,53.7451,-13.4167,4.0058
Tminus1,CandidateE,LateNeutral AND FailureWarningScore >= 3 AND anchor polarity matches T0,All,16,21.6875,43.8281,0.7500,0.8750,50.2344,-2.5156,19.9689
Tminus1,CandidateE,LateNeutral AND FailureWarningScore >= 3 AND anchor polarity matches T0,Black,9,39.0833,60.4167,0.7778,0.8889,51.8056,13.3056,3.8935
Tminus1,CandidateE,LateNeutral AND FailureWarningScore >= 3 AND anchor polarity matches T0,Red,7,-0.6786,22.5000,0.7143,0.8571,48.2143,-22.8571,2.1094
Tminus1,CandidateF,NeutralMaturation AND FailureWarningScore >= 4 AND RangePressure,All,39,32.8397,33.7756,0.7436,0.6154,68.3013,13.8462,4.9329
Tminus1,CandidateF,NeutralMaturation AND FailureWarningScore >= 4 AND RangePressure,Black,21,16.4881,1.3214,0.7619,0.5238,45.4643,-0.1905,238.6875
Tminus1,CandidateF,NeutralMaturation AND FailureWarningScore >= 4 AND RangePressure,Red,18,51.9167,71.6389,0.7222,0.7222,94.9444,30.2222,3.1415
Tminus2,CandidateA,LoopPhase in LateNeutral/NeutralMaturation AND FailureWarningScore >= 3,All,92,17.1875,19.6875,0.7500,0.6739,46.4484,-21.5190,2.1585
Tminus2,CandidateA,LoopPhase in LateNeutral/NeutralMaturation AND FailureWarningScore >= 3,Black,46,24.3152,31.2609,0.8043,0.7826,40.7717,-14.0109,2.9100
Tminus2,CandidateA,LoopPhase in LateNeutral/NeutralMaturation AND FailureWarningScore >= 3,Red,46,10.0598,8.1141,0.6957,0.5652,52.1250,-29.0272,1.7957
