Anchor,Feature,Value,WinnerFrequency,LoserFrequency,Difference,WinnerCount,LoserCount
Tminus1,CloseExtremePressure,True,0.2583,0.4000,-0.1417,70,38
Tminus1,CloseExtremePressure,False,0.7417,0.6000,0.1417,201,57
Tminus1,EfficiencyPressure,False,0.6605,0.5789,0.0816,179,55
Tminus1,EfficiencyPressure,True,0.3395,0.4211,-0.0816,92,40
Tminus1,VolumePressure,True,0.4760,0.4105,0.0655,129,39
Tminus1,VolumePressure,False,0.5240,0.5895,-0.0655,142,56
Tminus1,LoopPhase,NeutralMaturation,0.4723,0.5368,-0.0645,128,51
Tminus1,NeutralPersistenceGroup,7-10,0.1218,0.0632,0.0586,33,6
Tminus1,PolarityInstability,False,0.5240,0.5789,-0.0550,142,55
Tminus1,PolarityInstability,True,0.4760,0.4211,0.0550,129,40
Tminus1,RangePressure,False,0.6421,0.6947,-0.0527,174,66
Tminus1,RangePressure,True,0.3579,0.3053,0.0527,97,29
Tminus1,VolumePolarityMatchWithT0,True,0.3432,0.3789,-0.0358,93,36
Tminus1,VolumePolarityMatchWithT0,False,0.6568,0.6211,0.0358,178,59
Tminus1,LoopPhase,LateNeutral,0.2878,0.2526,0.0352,78,24
Tminus1,FailureWarningScore,4,0.1882,0.2211,-0.0329,51,21
Tminus1,LoopPhase,NeutralFormation,0.2399,0.2105,0.0293,65,20
Tminus1,BodyPressure,False,0.6900,0.6632,0.0269,187,63
Tminus1,BodyPressure,True,0.3100,0.3368,-0.0269,84,32
Tminus1,FailureWarningScore,0,0.0996,0.0737,0.0259,27,7
Tminus1,FailureWarningScore,2,0.2878,0.2632,0.0247,78,25
Tminus1,NeutralPersistenceGroup,5-6,0.1365,0.1579,-0.0214,37,15
Tminus1,NeutralPersistenceGroup,3-4,0.2546,0.2737,-0.0191,69,26
Tminus1,FailureWarningScore,1,0.2251,0.2421,-0.0170,61,23
Tminus1,NeutralPersistenceGroup,1-2,0.4576,0.4737,-0.0161,124,45
Tminus1,FailureWarningScore,3,0.1661,0.1789,-0.0129,45,17
Tminus1,FailureWarningScore,5,0.0332,0.0211,0.0122,9,2
Tminus1,NeutralPersistenceGroup,11+,0.0295,0.0316,-0.0021,8,3
Tminus1,PriorNeutralPersistenceGroup,1-2,1.0000,1.0000,0.0000,271,95
Tminus1,StructuralState,NeutralProcessing,1.0000,1.0000,0.0000,271,95
Tminus2,FailureWarningScore,1,0.1698,0.3069,-0.1371,45,31
Tminus2,EfficiencyPressure,False,0.4491,0.5545,-0.1054,119,56
Tminus2,EfficiencyPressure,True,0.5509,0.4455,0.1054,146,45
Tminus2,BodyPressure,False,0.5283,0.6337,-0.1054,140,64
Tminus2,BodyPressure,True,0.4717,0.3663,0.1054,125,37
Tminus2,LoopPhase,NeutralFormation,0.2038,0.2970,-0.0933,54,30
Tminus2,PolarityInstability,False,0.6075,0.5149,0.0927,161,52
Tminus2,PolarityInstability,True,0.3925,0.4851,-0.0927,104,49
Tminus2,FailureWarningScore,4,0.1811,0.0990,0.0821,48,10
Tminus2,FailureWarningScore,5,0.1094,0.1881,-0.0787,29,19
Tminus2,NeutralPersistenceGroup,1-2,0.5585,0.6337,-0.0752,148,64
Tminus2,NeutralPersistenceGroup,3-4,0.2453,0.1881,0.0572,65,19
Tminus2,FailureWarningScore,0,0.0792,0.0297,0.0495,21,3
Tminus2,RangePressure,False,0.6189,0.5743,0.0446,164,58
Tminus2,RangePressure,True,0.3811,0.4257,-0.0446,101,43
Tminus2,FailureWarningScore,3,0.1623,0.1188,0.0435,43,12
Tminus2,LoopPhase,NeutralMaturation,0.3585,0.3168,0.0417,95,32
Tminus2,StructuralState,ExhaustionPersistence,0.1094,0.0693,0.0401,29,7
Tminus2,CloseExtremePressure,False,0.6151,0.6535,-0.0384,163,66
Tminus2,CloseExtremePressure,True,0.3849,0.3465,0.0384,102,35
Tminus2,LoopPhase,Excursion,0.1132,0.0792,0.0340,30,8
Tminus2,StructuralState,NeutralProcessing,0.7585,0.7921,-0.0336,201,80
Tminus2,NeutralPersistenceGroup,7-10,0.0604,0.0297,0.0307,16,3
Tminus2,VolumePressure,False,0.4604,0.4356,0.0247,122,44
Tminus2,VolumePressure,True,0.5396,0.5644,-0.0247,143,57
Tminus2,FailureWarningScore,2,0.2491,0.2277,0.0213,66,23
Tminus2,FailureWarningScore,6,0.0491,0.0297,0.0194,13,3
Tminus2,LoopPhase,LateNeutral,0.1962,0.1782,0.0180,52,18
Tminus2,VolumePolarityMatchWithT0,False,0.4792,0.4950,-0.0158,127,50
Tminus2,VolumePolarityMatchWithT0,True,0.5208,0.5050,0.0158,138,51
Tminus2,PriorNeutralPersistenceGroup,7-10,0.0453,0.0297,0.0156,12,3
Tminus2,NeutralPersistenceGroup,5-6,0.1132,0.1287,-0.0155,30,13
Tminus2,PriorNeutralPersistenceGroup,3-4,0.0415,0.0495,-0.0080,11,5
Tminus2,PriorNeutralPersistenceGroup,5-6,0.0151,0.0198,-0.0047,4,2
Tminus2,StructuralState,MixedStructure,0.1057,0.1089,-0.0033,28,11
Tminus2,NeutralPersistenceGroup,11+,0.0226,0.0198,0.0028,6,2
Tminus2,LoopPhase,ReturnToNeutral,0.0075,0.0099,-0.0024,2,1
Tminus2,PriorNeutralPersistenceGroup,11+,0.0075,0.0099,-0.0024,2,1
Tminus2,StructuralState,DecayToNeutral,0.0075,0.0099,-0.0024,2,1
Tminus2,LoopPhase,DestinationSelection,0.1208,0.1188,0.0019,32,12
