Group,Count,AvgDR1,AvgDR2,AvgDR3,AvgDR5,AvgDR10,WinRate1,WinRate3,WinRate5,WinRate10,AvgMFE5,AvgMAE5,MfeMaeRatio5,VolumePolarity,DestinationFamily,SampleClass
Black + CompressionProcessing,1,26.7500,17.7500,0.7500,-1.0000,-1.5000,1.0000,1.0000,0.0000,0.0000,26.7500,-1.0000,26.7500,Black,CompressionProcessing,LowSample
Black + ReassertionProcessing,8,1.0625,4.6250,2.4375,-1.2188,55.4062,0.3750,0.6250,0.5000,0.7500,30.9375,-32.0938,0.9640,Black,ReassertionProcessing,LowSample
Black + RecoveryResolution,65,1.7654,3.3577,3.9077,4.9538,4.1731,0.5846,0.6000,0.5385,0.6154,27.9731,-21.1000,1.3257,Black,RecoveryResolution,Interpretable
Black + MixedStructure,53,-1.3396,-12.6651,-6.5472,-11.0613,1.1321,0.4151,0.4151,0.5472,0.5283,18.9434,-33.9434,0.5581,Black,MixedStructure,Interpretable
Black + ExhaustionPersistence,71,-0.0141,2.8944,3.3099,8.6655,20.5951,0.5493,0.5211,0.5352,0.5915,26.2113,-18.5246,1.4149,Black,ExhaustionPersistence,Interpretable
Red + CompressionProcessing,5,29.2000,1.6500,13.1000,-8.7000,45.0000,0.8000,0.4000,0.4000,0.4000,51.3000,-32.6500,1.5712,Red,CompressionProcessing,LowSample
Red + ReassertionProcessing,2,31.3750,50.3750,37.3750,18.6250,23.6250,1.0000,1.0000,1.0000,0.5000,50.3750,11.7500,4.2872,Red,ReassertionProcessing,LowSample
Red + RecoveryResolution,45,-0.0222,3.9444,1.0556,-6.0278,-1.3056,0.5556,0.5111,0.4000,0.4889,31.0167,-32.7444,0.9472,Red,RecoveryResolution,Interpretable
Red + MixedStructure,36,5.6458,3.9861,-4.4306,1.3750,-22.9722,0.6667,0.5278,0.5833,0.5556,32.5694,-29.1319,1.1180,Red,MixedStructure,Interpretable
Red + ExhaustionPersistence,80,-4.1875,-9.7281,-11.2875,-11.6156,-2.8969,0.5000,0.4250,0.4250,0.4375,25.2563,-43.7750,0.5770,Red,ExhaustionPersistence,Interpretable
