Group,Count,AvgDR1,AvgDR2,AvgDR3,AvgDR5,AvgDR10,WinRate1,WinRate3,WinRate5,WinRate10,AvgMFE5,AvgMAE5,MfeMaeRatio5,VolumePolarity,PriorNeutralPersistenceGroup,SampleClass
Black + 1-2,99,-0.5960,-2.6010,-1.6212,-3.7273,9.7854,0.4747,0.4646,0.4646,0.5657,23.8788,-29.8232,0.8007,Black,1-2,Interpretable
Black + 3-4,48,1.0469,-1.1406,1.0469,2.9167,5.0208,0.4792,0.6042,0.5417,0.6042,23.1615,-19.1146,1.2117,Black,3-4,Interpretable
Black + 5-6,24,5.7604,1.0833,5.5312,14.3542,23.2188,0.6667,0.5417,0.6250,0.6250,33.6979,-17.5729,1.9176,Black,5-6,Interpretable
Black + 7-10,23,-0.7935,2.9783,6.1196,4.3804,18.8587,0.6522,0.6087,0.6522,0.5652,23.5978,-17.7935,1.3262,Black,7-10,Interpretable
Black + 11+,4,-8.3125,6.2500,-0.2500,31.0000,8.6250,0.5000,0.5000,1.0000,0.7500,32.5625,-10.6250,3.0647,Black,11+,LowSample
Red + 1-2,70,3.8036,2.1000,5.0036,-4.1964,13.4893,0.6000,0.4571,0.4571,0.5571,33.1429,-32.4107,1.0226,Red,1-2,Interpretable
Red + 3-4,47,-5.1223,-8.5266,-15.3085,-10.0532,-17.7606,0.5106,0.4894,0.4255,0.4043,26.0266,-41.6223,0.6253,Red,3-4,Interpretable
Red + 5-6,28,2.7321,-3.6071,-10.6964,-12.1875,-28.7054,0.5357,0.4286,0.3929,0.3571,14.2500,-29.5357,0.4825,Red,5-6,Interpretable
Red + 7-10,16,12.5469,16.5469,-1.6250,5.2969,-9.3594,0.6875,0.6250,0.6250,0.5000,54.0469,-40.7656,1.3258,Red,7-10,Interpretable
Red + 11+,7,-32.3929,-36.8929,-25.7143,-19.2143,-0.1786,0.4286,0.4286,0.5714,0.5714,19.8571,-65.6786,0.3023,Red,11+,LowSample
