Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MeanSponsorConfidence,MaxSponsorConfidence,MeanDominanceScore,MeanDegradationScore,MeanBalanceScore,EventCount,MeanCompressionScore,MeanExpansionPressure,MeanStructuralCompression,MeanEntropicCompression,MeanIncubationQuality,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct
ES,RTH,400,Unresolved->Directional,8,13.75,0.369,0.8,0.193,0.587,0.394,54,0.347,0.394,0.449,0.472,0.378,3.13,25.0,75.0
ES,RTH,400,Degrading->Directional,3,1.67,0.517,0.6,0.53,0.635,0.41,5,0.414,0.574,0.523,0.503,0.594,1.67,66.67,33.33
ES,RTH,400,Unresolved->Unknown,1,4.0,0.2,0.2,0.256,0.0,0.0,0,0.193,0.447,0.446,0.13,0.763,3.0,0.0,0.0
ES,RTH,400,Unknown->Unresolved,2,3.0,0.25,0.25,0.122,0.066,0.074,4,0.352,0.297,0.458,0.214,0.541,20.5,0.0,0.0
ES,RTH,400,Directional->Degrading,10,2.7,0.632,0.7,0.567,0.449,0.27,11,0.295,0.612,0.466,0.333,0.741,2.2,70.0,0.0
ES,RTH,400,Degrading->Unresolved,17,2.06,0.548,0.717,0.388,0.765,0.458,34,0.376,0.479,0.457,0.573,0.367,5.53,29.41,0.0
ES,RTH,400,Balance->Degrading,4,2.0,0.408,0.7,0.322,0.933,0.636,8,0.437,0.494,0.543,0.707,0.33,1.5,50.0,0.0
ES,RTH,400,Degrading->Balance,5,1.6,0.602,0.7,0.41,0.718,0.506,8,0.46,0.461,0.525,0.576,0.41,1.0,100.0,0.0
ES,RTH,400,Unresolved->Balance,19,4.26,0.379,0.7,0.115,0.894,0.624,69,0.404,0.308,0.473,0.697,0.124,1.63,63.16,0.0
ES,RTH,400,Balance->Unresolved,20,1.4,0.456,0.7,0.11,0.86,0.641,25,0.41,0.284,0.472,0.693,0.092,7.26,21.05,0.0
ES,RTH,400,Unresolved->Degrading,11,7.27,0.369,0.8,0.228,0.81,0.532,52,0.374,0.408,0.465,0.612,0.267,1.82,63.64,0.0
ES,RTH,400,Directional->Unresolved,1,3.0,0.35,0.55,0.395,0.327,0.249,0,0.33,0.451,0.454,0.315,0.59,2.0,0.0,0.0
