file,status,reason,rows,columns,selected_rows,return_col,instrument_col,horizon_col,archetype_col,pressure_col,direction_col,time_col
data\Validation\6E\xApvaV01StateLog_6E.csv,skipped,"missing return_col, horizon_col, pressure_col",5817,"Instrument,SessionContext,BarIndex,Time,Open,High,Low,Close,MacroState,ActiveDirection,SponsorState,SponsorConfidence,SequencePhase,SequenceAuthority,MaturityLevel,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,Events,SFCStatus,ExpectedNextBehavior,InvalidationCondition",,,,,,,,
data\Validation\ES\apva_correlation_matrix.csv,skipped,"missing return_col, instrument_col, horizon_col, archetype_col",8,"Unnamed: 0,MeanPriorRunLength,MeanIncubationQuality,MeanStructuralCompression,MeanEntropicCompression,MeanExpansionPressure,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct",,,,,,,,
data\Validation\ES\apva_merged_latest.csv,skipped,"missing return_col, archetype_col",12,"Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MeanSponsorConfidence,MaxSponsorConfidence,MeanDominanceScore,MeanDegradationScore,MeanBalanceScore,EventCount,MeanCompressionScore,MeanExpansionPressure,MeanStructuralCompression,MeanEntropicCompression,MeanIncubationQuality,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct",,,,,,,,
data\Validation\ES\apva_reduced_feature_correlation_matrix.csv,skipped,"missing return_col, instrument_col, horizon_col, archetype_col",7,"Unnamed: 0,MeanPriorRunLength,MeanEntropicCompression,MeanExpansionPressure,MeanIncubationQuality,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct",,,,,,,,
data\Validation\ES\apva_top_directional_continuation.csv,skipped,"missing return_col, archetype_col",12,"Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MeanSponsorConfidence,MaxSponsorConfidence,MeanDominanceScore,MeanDegradationScore,MeanBalanceScore,EventCount,MeanCompressionScore,MeanExpansionPressure,MeanStructuralCompression,MeanEntropicCompression,MeanIncubationQuality,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct",,,,,,,,
data\Validation\ES\apva_top_incubation_quality.csv,skipped,"missing return_col, archetype_col",12,"Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MeanSponsorConfidence,MaxSponsorConfidence,MeanDominanceScore,MeanDegradationScore,MeanBalanceScore,EventCount,MeanCompressionScore,MeanExpansionPressure,MeanStructuralCompression,MeanEntropicCompression,MeanIncubationQuality,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct",,,,,,,,
data\Validation\ES\apva_worst_immediate_failure.csv,skipped,"missing return_col, archetype_col",12,"Instrument,SessionContext,TotalBars,Transition,Entries,MeanPriorRunLength,MeanSponsorConfidence,MaxSponsorConfidence,MeanDominanceScore,MeanDegradationScore,MeanBalanceScore,EventCount,MeanCompressionScore,MeanExpansionPressure,MeanStructuralCompression,MeanEntropicCompression,MeanIncubationQuality,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct",,,,,,,,
data\Validation\ES\xApvaV01BirthQuality.csv,skipped,"missing return_col, archetype_col, pressure_col",79,"Instrument,SessionContext,TotalBars,EntryPath,Occurrences,PersistGE2,PersistGE3,PersistGE5,PersistGE8",,,,,,,,
data\Validation\ES\xApvaV01DurationBucketProbabilities.csv,skipped,"missing return_col, pressure_col",156,"Instrument,SessionContext,TotalBars,Bucket,FromState,Transition,ProbabilityPct",,,,,,,,
data\Validation\ES\xApvaV01DurationBucketTransitions.csv,skipped,"missing return_col, archetype_col, pressure_col",156,"Instrument,SessionContext,TotalBars,Bucket,Transition,Count",,,,,,,,
