Metric,Generated,CompareTo,Matches,Detail
RowCount,6534,55806,False,
ColumnOrder,"Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection","Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection",True,
KeySet,6534,55806,False,overlap=0
MeanSignedNormalizedReturn,0.03974946520271058,-0.017831182785600207,False,
MedianSignedNormalizedReturn,0.07298271676510018,0.0,False,
DominantPressureCount:CompressionPressure,4076,35690,False,
DominantPressureCount:DirectionalReleasePressure,245,2148,False,
DominantPressureCount:RotationalPressure,2213,17968,False,
CandidateCount:Base_ES_NQ,407,1672,False,
CandidateCount:RRCCC,9,256,False,
CandidateCount:CCRRR,5,129,False,
CandidateCount:PriorSlope_DominantPressureValue_Q3,82,397,False,
