Metric,Generated,CompareTo,Matches,Detail
RowCount,55806,55806,True,
ColumnOrder,"Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection","Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection",True,
KeySet,55806,55806,True,overlap=55806
MeanSignedNormalizedReturn,-0.017831182785600204,-0.017831182785600207,True,
MedianSignedNormalizedReturn,0.0,0.0,True,
DominantPressureCount:CompressionPressure,35701,35690,False,
DominantPressureCount:DirectionalReleasePressure,2190,2148,False,
DominantPressureCount:RotationalPressure,17915,17968,False,
CandidateCount:Base_ES_NQ,1653,1672,False,
CandidateCount:RRCCC,255,256,False,
CandidateCount:CCRRR,126,129,False,
CandidateCount:PriorSlope_DominantPressureValue_Q3,398,397,False,
SharedKeyCellDifferences,542712,0,False,shared_keys=55806
