Metric,Value
global_count,2039.0
global_mean_signed_return,0.42790583619421285
global_median_signed_return,0.0
global_positive_row_fraction,0.48749386954389407
global_t_stat,1.417939816898459
condition_min,0.0
condition_max,1.0
best_quantile,Q1
best_quantile_count,510.0
best_quantile_mean_signed_return,2.0965686274509805
best_quantile_positive_row_fraction,0.47843137254901963
best_quantile_t_stat,2.540662764099074
best_week_stability_quantile,Q1
best_week_stability_week_count,3.0
best_week_stability_positive_week_fraction,1.0
best_week_stability_median_week_mean,1.994140625
best_week_stability_mean_week_mean,1.731251342353952
