Metric,Value
reference_path,tables/apva_forward_signed_return_dataset_v1.csv
input_patterns,"tables/*.csv,outputs/**/*.csv"
file_count_checked,292
ready_independent_dataset_count,0
ready_independent_datasets,none
schema_incompatible_file_count,257
non_independent_or_partial_overlap_count,6
derived_output_excluded_count,171
files_with_non_base_candidate_ES_and_NQ_counts,"tables/apva_file_level_walk_forward_dataset_v1.csv,tables/apva_forward_signed_return_dataset_v1.csv,tables/apva_nonoverlap_forward_signed_return_dataset_v1.csv,tables/apva_walk_forward_signed_return_dataset_v1.csv"
candidate_mode,frozen rules only; no candidate search or tuning
prior_slope_q3_frozen_interval,"[0.004718046888521732, 0.05505235072964343]"
predictor_fields_excluded_as_leaky,"SignedReturn,RawReturn,NormalizedReturn,SignedNormalizedReturn,FutureClose,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit"
