Metric,Value
reference_path,tables/apva_forward_signed_return_dataset_v1.csv
input_patterns,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv
file_count_checked,1
ready_independent_dataset_count,1
ready_independent_datasets,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv
schema_incompatible_file_count,0
non_independent_or_partial_overlap_count,0
derived_output_excluded_count,0
files_with_non_base_candidate_ES_and_NQ_counts,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv
candidate_mode,frozen rules only; no candidate search or tuning
prior_slope_q3_frozen_interval,"[0.004718046888521732, 0.05505235072964343]"
predictor_fields_excluded_as_leaky,"SignedReturn,RawReturn,NormalizedReturn,SignedNormalizedReturn,FutureClose,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit"
