Offset,Count,MeanSignedMoveFromEntry,MedianSignedMoveFromEntry,TStatSignedMove,PositiveMoveFraction,Q25SignedMove,Q75SignedMove,Q90SignedMove,MeanRollingEntropy,MeanRollingDirectionalPresence,MeanRollingVelocity,MeanDominantPressureValue
0,47,0.0,0.0,,0.0,0.0,0.0,0.0,1.0880228239076317,0.0,0.42080378250591005,0.6507337980920617
1,47,1.2180851063829787,-0.25,0.9435091136289279,0.40425531914893614,-2.75,2.375,6.0,1.133435091923132,0.0,0.41843971631205684,0.6612102578968196
2,47,0.8351063829787234,-0.5,0.5680741204502509,0.40425531914893614,-3.0,3.375,5.1,1.2895336307420193,0.0,0.4373522458628842,0.6301191511466019
3,47,1.196808510638298,0.25,0.8915454424610433,0.5319148936170213,-2.625,4.125,6.85,1.3459995436180885,0.0,0.4184397163120567,0.6209081631843615
4,47,1.3085106382978724,0.0,0.7635220876176043,0.48936170212765956,-4.125,7.625,11.549999999999995,1.3680903506851025,0.0,0.4113475177304963,0.6192391654549775
5,47,4.159574468085107,0.75,1.050840386993258,0.5106382978723404,-5.125,5.25,11.799999999999999,1.37188511635673,0.002127659574468085,0.4113475177304963,0.6168292695797717
6,47,3.8191489361702127,-0.25,0.9747707907524727,0.48936170212765956,-7.375,7.875,12.699999999999998,1.377620454527636,0.00851063829787234,0.39007092198581567,0.6380202582561212
7,47,2.8882978723404253,-2.0,0.7510692675448382,0.40425531914893614,-7.25,7.5,16.549999999999997,1.3310991023002683,0.01702127659574468,0.3498817966903073,0.6505025391045193
8,47,3.5425531914893615,-0.25,0.8679093972118063,0.46808510638297873,-7.125,8.25,19.9,1.1709669393596065,0.02978723404255319,0.28605200945626474,0.6705713351322696
9,47,2.8351063829787235,0.0,0.7415589743528299,0.48936170212765956,-9.25,10.625,20.549999999999997,1.146640008642035,0.0425531914893617,0.31442080378250586,0.6853104040881687
10,47,3.5,0.25,0.9030923746373395,0.5106382978723404,-9.0,10.875,18.85,1.055222136259713,0.057446808510638304,0.29314420803782504,0.6954871110365902
11,47,3.2180851063829787,-0.5,0.7992097018497962,0.48936170212765956,-10.5,13.0,18.75,0.9129376090049285,0.0702127659574468,0.23877068557919623,0.7378894503166336
12,47,2.8031914893617023,1.5,0.6835475344312909,0.5319148936170213,-11.375,11.625,20.25,0.9244303266799616,0.0851063829787234,0.23404255319148937,0.7246880646187107
13,47,2.5319148936170213,0.25,0.611297290782056,0.5106382978723404,-10.625,10.625,19.599999999999998,0.9396209522612835,0.09999999999999999,0.22695035460992902,0.7213873205533707
14,47,2.872340425531915,0.25,0.7000652393333434,0.5106382978723404,-10.5,10.625,21.149999999999995,0.9511511160235229,0.11063829787234043,0.21985815602836878,0.7403472542703577
15,47,3.127659574468085,1.25,0.7585767742478329,0.5319148936170213,-9.5,9.375,24.6,0.9635660902456868,0.11914893617021277,0.22222222222222224,0.7314114873123584
16,47,2.074468085106383,0.75,0.5057694200956228,0.5319148936170213,-11.25,8.75,24.799999999999994,0.9471984801383557,0.12340425531914893,0.2127659574468085,0.7482136086750164
17,47,0.776595744680851,-0.75,0.18619597731665144,0.48936170212765956,-12.625,6.625,22.699999999999996,0.9320566258488009,0.12340425531914895,0.2127659574468085,0.7428123765913759
18,47,0.10638297872340426,-1.5,0.0255397849960511,0.40425531914893614,-12.5,7.75,23.549999999999997,0.9190173897175189,0.1170212765957447,0.20567375886524825,0.7670768284010894
19,47,0.1702127659574468,-3.75,0.04074594629226288,0.46808510638297873,-12.75,7.25,23.599999999999994,0.9129778674577396,0.10851063829787236,0.2033096926713948,0.7538476186687868
20,47,-0.06914893617021277,-3.0,-0.015919059149054872,0.44680851063829785,-15.625,10.625,22.299999999999997,0.8834921428834647,0.1021276595744681,0.2033096926713948,0.7347279815334488
