EntryId,File,EntryBarIndex,ObservedMaxOffset,FinalSignedMove,MaxSignedMove,MinSignedMove,ExpansionGE8,ExpansionGE16,ExpansionGE32,AdverseLEMinus6,AdverseLEMinus12
0,xApvaV01StateLog_ES.csv,50,20,-8.75,8.25,-12.75,True,False,False,True,True
1,xApvaV01StateLog_ES.csv,175,20,142.0,168.0,0.0,True,True,True,False,False
2,xApvaV01StateLog_ES.csv,237,20,-10.5,19.0,-10.5,True,True,False,True,False
3,xApvaV01StateLog_ES.csv,249,20,14.0,21.75,-2.75,True,True,False,False,False
4,xApvaV01StateLog_ES.csv,342,20,3.75,5.25,-9.25,False,False,False,True,False
5,xApvaV01StateLog_ES.csv,378,20,-25.0,8.25,-25.0,True,False,False,True,True
6,xApvaV01StateLog_ES.csv,629,20,24.25,27.5,0.0,True,True,False,False,False
7,xApvaV01StateLog_ES.csv,775,20,-14.25,4.25,-14.25,False,False,False,True,True
8,xApvaV01StateLog_ES.csv,851,20,18.0,24.5,-1.75,True,True,False,False,False
9,xApvaV01StateLog_ES.csv,878,20,-11.75,-0.0,-12.25,False,False,False,True,True
10,xApvaV01StateLog_ES.csv,883,20,-15.0,3.75,-15.25,False,False,False,True,True
11,xApvaV01StateLog_ES.csv,926,20,7.25,7.75,-4.0,False,False,False,False,False
12,xApvaV01StateLog_ES.csv,1027,20,14.25,25.25,-0.75,True,True,False,False,False
13,xApvaV01StateLog_ES.csv,1070,20,37.5,37.75,-4.0,True,True,True,False,False
14,xApvaV01StateLog_ES.csv,1109,20,-4.25,7.0,-5.25,False,False,False,False,False
15,xApvaV01StateLog_ES.csv,1143,20,5.5,12.75,-4.0,True,False,False,False,False
16,xApvaV01StateLog_ES.csv,1179,20,-9.25,-0.0,-20.0,False,False,False,True,True
17,xApvaV01StateLog_ES.csv,1192,20,-29.0,0.25,-29.0,False,False,False,True,True
18,xApvaV01StateLog_ES.csv,1231,20,-13.0,0.0,-18.25,False,False,False,True,True
19,xApvaV01StateLog_ES.csv,1236,20,-9.0,-0.0,-15.0,False,False,False,True,True
20,xApvaV01StateLog_ES.csv,1344,20,0.75,11.5,-3.0,True,False,False,False,False
21,xApvaV01StateLog_ES.csv,1436,20,-56.5,0.0,-56.5,False,False,False,True,True
22,xApvaV01StateLog_ES.csv,1439,20,50.5,55.0,-0.0,True,True,True,False,False
23,xApvaV01StateLog_ES.csv,1487,20,18.75,18.75,0.0,True,True,False,False,False
24,xApvaV01StateLog_ES.csv,1634,20,-27.5,-0.0,-31.25,False,False,False,True,True
25,xApvaV01StateLog_ES.csv,1793,20,-18.5,2.5,-18.5,False,False,False,True,True
26,xApvaV01StateLog_ES.csv,1810,20,-41.5,5.75,-41.5,False,False,False,True,True
27,xApvaV01StateLog_ES.csv,1853,20,-4.0,6.0,-13.0,False,False,False,True,True
28,xApvaV01StateLog_ES.csv,1899,20,-8.75,-0.0,-14.0,False,False,False,True,True
29,xApvaV01StateLog_ES.csv,2007,20,-1.25,6.5,-3.75,False,False,False,False,False
30,xApvaV01StateLog_ES.csv,2011,20,2.25,2.75,-7.5,False,False,False,True,False
31,xApvaV01StateLog_ES.csv,2015,20,7.75,7.75,-8.75,False,False,False,True,False
32,xApvaV01StateLog_ES.csv,2021,20,-22.75,-0.0,-23.0,False,False,False,True,True
33,xApvaV01StateLog_ES.csv,2248,20,21.0,22.75,-1.0,True,True,False,False,False
34,xApvaV01StateLog_ES.csv,2251,20,-20.0,-0.0,-23.0,False,False,False,True,True
35,xApvaV01StateLog_ES.csv,2281,20,-3.0,11.25,-5.75,True,False,False,False,False
36,xApvaV01StateLog_ES.csv,2334,20,-45.25,0.0,-51.25,False,False,False,True,True
37,xApvaV01StateLog_ES.csv,2358,20,10.25,13.75,-5.25,True,False,False,False,False
38,xApvaV01StateLog_ES.csv,2401,20,13.5,22.75,-0.75,True,True,False,False,False
39,xApvaV01StateLog_ES.csv,2619,20,-17.0,1.0,-24.75,False,False,False,True,True
40,xApvaV01StateLog_ES.csv,2691,20,-17.5,3.5,-31.25,False,False,False,True,True
41,xApvaV01StateLog_ES.csv,2862,20,-16.25,14.25,-16.25,True,False,False,True,True
42,xApvaV01StateLog_ES.csv,2898,20,11.0,19.5,-1.25,True,True,False,False,False
43,xApvaV01StateLog_ES.csv,2904,20,3.0,12.5,-8.25,True,False,False,True,False
44,xApvaV01StateLog_ES.csv,2987,20,-2.25,10.0,-12.75,True,False,False,True,True
45,xApvaV01StateLog_ES.csv,3059,20,38.0,45.75,0.0,True,True,True,False,False
46,xApvaV01StateLog_ES.csv,3098,20,5.25,17.75,-2.0,True,True,False,False,False
