Metric,Value
entry_count,47.0
best_offset,5.0
best_offset_mean_signed_move,4.159574468085107
best_offset_median_signed_move,0.75
best_offset_tstat,1.050840386993258
best_offset_positive_fraction,0.5106382978723404
final_offset,20.0
final_mean_signed_move,-0.06914893617021277
final_median_signed_move,-3.0
fraction_expansion_ge_8,0.48936170212765956
fraction_expansion_ge_16,0.2978723404255319
fraction_expansion_ge_32,0.0851063829787234
fraction_adverse_le_minus_6,0.574468085106383
fraction_adverse_le_minus_12,0.46808510638297873
mean_max_signed_move,14.73404255319149
median_max_signed_move,7.75
