Offset,StateColumn,StateValue,Count,Fraction
0,DominantPressure,CompressionPressure,47,1.0
0,MacroState,Unresolved,45,0.9574468085106383
0,MacroState,Degrading,2,0.0425531914893617
0,ResolvedArchetype,Stable Compression Basin,45,0.9574468085106383
0,ResolvedArchetype,Sponsor Exhaustion Collapse,2,0.0425531914893617
1,DominantPressure,CompressionPressure,38,0.8085106382978723
1,DominantPressure,RotationalPressure,9,0.19148936170212766
1,MacroState,Unresolved,38,0.8085106382978723
1,MacroState,Balance,8,0.1702127659574468
1,MacroState,Degrading,1,0.02127659574468085
1,ResolvedArchetype,Stable Compression Basin,28,0.5957446808510638
1,ResolvedArchetype,Pure Unresolved Compression Equilibrium,10,0.2127659574468085
1,ResolvedArchetype,Unstable Rotational Balance,8,0.1702127659574468
1,ResolvedArchetype,Sponsor Exhaustion Collapse,1,0.02127659574468085
2,DominantPressure,CompressionPressure,36,0.7659574468085106
2,DominantPressure,RotationalPressure,11,0.23404255319148937
2,MacroState,Unresolved,37,0.7872340425531915
2,MacroState,Balance,9,0.19148936170212766
2,MacroState,Degrading,1,0.02127659574468085
2,ResolvedArchetype,Pure Unresolved Compression Equilibrium,33,0.7021276595744681
2,ResolvedArchetype,Unstable Rotational Balance,9,0.19148936170212766
2,ResolvedArchetype,Stable Compression Basin,4,0.0851063829787234
2,ResolvedArchetype,Sponsor Exhaustion Collapse,1,0.02127659574468085
3,DominantPressure,CompressionPressure,37,0.7872340425531915
3,DominantPressure,RotationalPressure,10,0.2127659574468085
3,MacroState,Unresolved,37,0.7872340425531915
3,MacroState,Balance,6,0.1276595744680851
3,MacroState,Degrading,4,0.0851063829787234
3,ResolvedArchetype,Pure Unresolved Compression Equilibrium,28,0.5957446808510638
3,ResolvedArchetype,Stable Compression Basin,9,0.19148936170212766
3,ResolvedArchetype,Unstable Rotational Balance,6,0.1276595744680851
3,ResolvedArchetype,Sponsor Exhaustion Collapse,4,0.0851063829787234
4,DominantPressure,CompressionPressure,38,0.8085106382978723
4,DominantPressure,RotationalPressure,9,0.19148936170212766
4,MacroState,Unresolved,39,0.8297872340425532
4,MacroState,Balance,5,0.10638297872340426
4,MacroState,Degrading,3,0.06382978723404255
4,ResolvedArchetype,Pure Unresolved Compression Equilibrium,24,0.5106382978723404
4,ResolvedArchetype,Stable Compression Basin,14,0.2978723404255319
4,ResolvedArchetype,Unstable Rotational Balance,6,0.1276595744680851
4,ResolvedArchetype,Sponsor Exhaustion Collapse,3,0.06382978723404255
5,DominantPressure,CompressionPressure,37,0.7872340425531915
5,DominantPressure,RotationalPressure,10,0.2127659574468085
5,MacroState,Unresolved,38,0.8085106382978723
5,MacroState,Balance,5,0.10638297872340426
5,MacroState,Degrading,3,0.06382978723404255
5,MacroState,Directional,1,0.02127659574468085
5,ResolvedArchetype,Pure Unresolved Compression Equilibrium,25,0.5319148936170213
5,ResolvedArchetype,Stable Compression Basin,13,0.2765957446808511
5,ResolvedArchetype,Unstable Rotational Balance,5,0.10638297872340426
5,ResolvedArchetype,Sponsor Exhaustion Collapse,3,0.06382978723404255
5,ResolvedArchetype,Directional Continuation / Sponsor Release,1,0.02127659574468085
6,DominantPressure,CompressionPressure,36,0.7659574468085106
6,DominantPressure,RotationalPressure,11,0.23404255319148937
6,MacroState,Unresolved,39,0.8297872340425532
6,MacroState,Balance,4,0.0851063829787234
6,MacroState,Degrading,2,0.0425531914893617
6,MacroState,Directional,2,0.0425531914893617
6,ResolvedArchetype,Pure Unresolved Compression Equilibrium,26,0.5531914893617021
6,ResolvedArchetype,Stable Compression Basin,13,0.2765957446808511
6,ResolvedArchetype,Unstable Rotational Balance,4,0.0851063829787234
6,ResolvedArchetype,Sponsor Exhaustion Collapse,2,0.0425531914893617
6,ResolvedArchetype,Directional Continuation / Sponsor Release,2,0.0425531914893617
7,DominantPressure,CompressionPressure,36,0.7659574468085106
7,DominantPressure,RotationalPressure,11,0.23404255319148937
7,MacroState,Unresolved,38,0.8085106382978723
7,MacroState,Degrading,4,0.0851063829787234
7,MacroState,Balance,3,0.06382978723404255
7,MacroState,Directional,2,0.0425531914893617
7,ResolvedArchetype,Pure Unresolved Compression Equilibrium,28,0.5957446808510638
7,ResolvedArchetype,Stable Compression Basin,10,0.2127659574468085
7,ResolvedArchetype,Sponsor Exhaustion Collapse,4,0.0851063829787234
7,ResolvedArchetype,Unstable Rotational Balance,3,0.06382978723404255
7,ResolvedArchetype,Directional Continuation / Sponsor Release,2,0.0425531914893617
8,DominantPressure,CompressionPressure,33,0.7021276595744681
8,DominantPressure,RotationalPressure,13,0.2765957446808511
8,DominantPressure,DirectionalReleasePressure,1,0.02127659574468085
8,MacroState,Unresolved,34,0.723404255319149
8,MacroState,Degrading,8,0.1702127659574468
8,MacroState,Balance,3,0.06382978723404255
8,MacroState,Directional,2,0.0425531914893617
8,ResolvedArchetype,Pure Unresolved Compression Equilibrium,28,0.5957446808510638
8,ResolvedArchetype,Sponsor Exhaustion Collapse,7,0.14893617021276595
8,ResolvedArchetype,Stable Compression Basin,5,0.10638297872340426
8,ResolvedArchetype,Unstable Rotational Balance,4,0.0851063829787234
8,ResolvedArchetype,Directional Continuation / Sponsor Release,3,0.06382978723404255
9,DominantPressure,CompressionPressure,34,0.723404255319149
9,DominantPressure,RotationalPressure,11,0.23404255319148937
9,DominantPressure,DirectionalReleasePressure,2,0.0425531914893617
9,MacroState,Unresolved,36,0.7659574468085106
9,MacroState,Degrading,6,0.1276595744680851
9,MacroState,Directional,3,0.06382978723404255
9,MacroState,Balance,2,0.0425531914893617
9,ResolvedArchetype,Pure Unresolved Compression Equilibrium,30,0.6382978723404256
9,ResolvedArchetype,Stable Compression Basin,6,0.1276595744680851
9,ResolvedArchetype,Sponsor Exhaustion Collapse,5,0.10638297872340426
9,ResolvedArchetype,Directional Continuation / Sponsor Release,3,0.06382978723404255
9,ResolvedArchetype,Unstable Rotational Balance,3,0.06382978723404255
10,DominantPressure,CompressionPressure,31,0.6595744680851063
10,DominantPressure,RotationalPressure,13,0.2765957446808511
10,DominantPressure,DirectionalReleasePressure,3,0.06382978723404255
10,MacroState,Unresolved,36,0.7659574468085106
10,MacroState,Degrading,6,0.1276595744680851
10,MacroState,Directional,4,0.0851063829787234
10,MacroState,Balance,1,0.02127659574468085
10,ResolvedArchetype,Pure Unresolved Compression Equilibrium,28,0.5957446808510638
10,ResolvedArchetype,Stable Compression Basin,7,0.14893617021276595
10,ResolvedArchetype,Sponsor Exhaustion Collapse,6,0.1276595744680851
10,ResolvedArchetype,Directional Continuation / Sponsor Release,4,0.0851063829787234
10,ResolvedArchetype,Unstable Rotational Balance,2,0.0425531914893617
11,DominantPressure,CompressionPressure,32,0.6808510638297872
11,DominantPressure,RotationalPressure,12,0.2553191489361702
11,DominantPressure,DirectionalReleasePressure,3,0.06382978723404255
11,MacroState,Unresolved,36,0.7659574468085106
11,MacroState,Degrading,7,0.14893617021276595
11,MacroState,Balance,3,0.06382978723404255
11,MacroState,Directional,1,0.02127659574468085
11,ResolvedArchetype,Pure Unresolved Compression Equilibrium,28,0.5957446808510638
11,ResolvedArchetype,Stable Compression Basin,7,0.14893617021276595
11,ResolvedArchetype,Sponsor Exhaustion Collapse,7,0.14893617021276595
11,ResolvedArchetype,Unstable Rotational Balance,3,0.06382978723404255
11,ResolvedArchetype,Directional Continuation / Sponsor Release,2,0.0425531914893617
12,DominantPressure,CompressionPressure,36,0.7659574468085106
12,DominantPressure,RotationalPressure,8,0.1702127659574468
12,DominantPressure,DirectionalReleasePressure,3,0.06382978723404255
12,MacroState,Unresolved,39,0.8297872340425532
12,MacroState,Degrading,4,0.0851063829787234
12,MacroState,Balance,3,0.06382978723404255
12,MacroState,Directional,1,0.02127659574468085
12,ResolvedArchetype,Pure Unresolved Compression Equilibrium,28,0.5957446808510638
12,ResolvedArchetype,Stable Compression Basin,8,0.1702127659574468
12,ResolvedArchetype,Unstable Rotational Balance,4,0.0851063829787234
12,ResolvedArchetype,Sponsor Exhaustion Collapse,4,0.0851063829787234
12,ResolvedArchetype,Directional Continuation / Sponsor Release,3,0.06382978723404255
13,DominantPressure,CompressionPressure,38,0.8085106382978723
13,DominantPressure,RotationalPressure,7,0.14893617021276595
13,DominantPressure,DirectionalReleasePressure,2,0.0425531914893617
13,MacroState,Unresolved,36,0.7659574468085106
13,MacroState,Balance,4,0.0851063829787234
13,MacroState,Degrading,4,0.0851063829787234
13,MacroState,Directional,3,0.06382978723404255
13,ResolvedArchetype,Pure Unresolved Compression Equilibrium,29,0.6170212765957447
13,ResolvedArchetype,Stable Compression Basin,9,0.19148936170212766
13,ResolvedArchetype,Sponsor Exhaustion Collapse,4,0.0851063829787234
13,ResolvedArchetype,Directional Continuation / Sponsor Release,3,0.06382978723404255
13,ResolvedArchetype,Unstable Rotational Balance,2,0.0425531914893617
14,DominantPressure,CompressionPressure,36,0.7659574468085106
14,DominantPressure,RotationalPressure,8,0.1702127659574468
14,DominantPressure,DirectionalReleasePressure,3,0.06382978723404255
14,MacroState,Unresolved,39,0.8297872340425532
14,MacroState,Degrading,3,0.06382978723404255
14,MacroState,Balance,3,0.06382978723404255
14,MacroState,Directional,2,0.0425531914893617
14,ResolvedArchetype,Pure Unresolved Compression Equilibrium,28,0.5957446808510638
14,ResolvedArchetype,Stable Compression Basin,9,0.19148936170212766
14,ResolvedArchetype,Directional Continuation / Sponsor Release,4,0.0851063829787234
14,ResolvedArchetype,Unstable Rotational Balance,3,0.06382978723404255
14,ResolvedArchetype,Sponsor Exhaustion Collapse,3,0.06382978723404255
15,DominantPressure,CompressionPressure,35,0.7446808510638298
15,DominantPressure,RotationalPressure,9,0.19148936170212766
