Candidate,ValidationMode,DatasetCode,RegimeYear,TimeBlock,RegimeWeek,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeBlock,ContributionRankBestToWorst
CCRRR,Reference,CanonicalOriginal,CanonicalOriginal,B03_2026-W16,2026-W16,21,0.4416785195949493,0.2852664576802508,2.4446164806427433,9.275248911493936,0.6666666666666666,0.29441025347398153,0.07781596829153396,False,1
CCRRR,Reference,CanonicalOriginal,CanonicalOriginal,B02_2026-W15,2026-W15,15,0.6073598178208681,0.9749303621169916,2.0611552154330828,9.110397267313022,0.6,0.2891776160739478,0.0764329228941762,False,2
CCRRR,Reference,CanonicalOriginal,CanonicalOriginal,B08_2026-W21,2026-W21,10,0.7019477439916326,0.8896652024768632,3.8942103265827095,7.019477439916326,0.8,0.2228086978646699,0.05889086525869715,False,3
CCRRR,Reference,CanonicalOriginal,CanonicalOriginal,B06_2026-W19,2026-W19,18,0.383476776598036,0.5277832273702523,2.148068117776441,6.902581978764648,0.6111111111111112,0.21909826133881277,0.05791015481251915,False,4
CCRRR,Reference,CanonicalOriginal,CanonicalOriginal,B05_2026-W18,2026-W18,17,0.34632356801733316,-0.9478357380688124,1.3659739857785396,5.887500656294664,0.35294117647058826,0.18687806409162566,0.04939399133740547,False,5
CCRRR,Reference,122023,2023,B03_2023-W44,2023-W44,1,4.46078431372549,4.46078431372549,inf,4.46078431372549,1.0,0.1415919565101087,0.037424359607436695,False,6
CCRRR,Reference,LegacyGenerated,LegacyGenerated,B07_2024-W35,2024-W35,1,4.2765556253928345,4.2765556253928345,inf,4.2765556253928345,1.0,0.1357442627881663,0.03587874785011559,False,7
CCRRR,Reference,092024,2024,B07_2024-W35,2024-W35,2,1.9040770692019935,1.9040770692019935,9.130106851037086,3.808154138403987,0.5,0.12087650001135418,0.031949029563626954,False,8
CCRRR,Reference,122023,2023,B01_2023-W42,2023-W42,1,3.414634146341464,3.414634146341464,inf,3.414634146341464,1.0,0.10838558772255977,0.028647539812071618,False,9
CCRRR,Reference,092020,2020,B14_2020-W34,2020-W34,1,2.834710743801653,2.834710743801653,inf,2.834710743801653,1.0,0.08997795278290188,0.023782193174566892,False,10
CCRRR,Reference,CanonicalOriginal,CanonicalOriginal,B01_2026-W14,2026-W14,6,0.432063315425448,0.7592260318298927,2.507627398736058,2.592379892552688,0.6666666666666666,0.08228600963166603,0.021749125381261426,False,11
CCRRR,Reference,122023,2023,B04_2023-W45,2023-W45,1,2.0267260579064588,2.0267260579064588,inf,2.0267260579064588,1.0,0.06433131208922534,0.017003495233668342,False,12
CCRRR,Reference,092022,2022,B04_2022-W32,2022-W32,1,2.014953271028037,2.014953271028037,inf,2.014953271028037,1.0,0.06395762625048992,0.016904725829291603,False,13
