Candidate,ValidationMode,Instrument,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeContributionDriver
CCRRR,Reference,ES,48,0.33383811702438004,0.1799604482531311,1.6659845559246433,16.024229617170242,0.5625,0.4776322986039517,0.4776322986039517,Neither instrument net-negative
CCRRR,Reference,NQ,145,0.12086255929696002,0.1201716738197424,1.1994491371451157,17.525071098059204,0.5103448275862069,0.5223677013960483,0.5223677013960483,Neither instrument net-negative
CCRRR,Spacing_10,ES,47,0.3056002695322915,0.1707317073170731,1.5969508699570298,14.363212668017702,0.5531914893617021,0.5430053000315174,0.5430053000315174,Neither instrument net-negative
CCRRR,Spacing_10,NQ,125,0.09670494285670174,0.0,1.159829199722936,12.088117857087717,0.496,0.45699469996848263,0.45699469996848263,Neither instrument net-negative
CCRRR,Spacing_20,ES,46,0.2958809673037976,0.1533270187070802,1.5656683240884492,13.61052449597469,0.5434782608695652,0.5915606695995057,0.5915606695995057,Neither instrument net-negative
CCRRR,Spacing_20,NQ,108,0.08701204378484988,-0.1014492753623188,1.1369812293839217,9.397300728763787,0.49074074074074076,0.40843933040049435,0.40843933040049435,Neither instrument net-negative
PriorSlope_DominantPressureValue_Q3,Reference,ES,451,0.24661168844991557,0.0250447227191413,1.4276686929827855,111.22187149091192,0.5011086474501109,0.5555944141962524,0.5555944141962524,Neither instrument net-negative
PriorSlope_DominantPressureValue_Q3,Reference,NQ,789,0.1127547466622418,0.0949152542372881,1.2066246897576915,88.96349511650878,0.5196451204055766,0.44440558580374767,0.44440558580374767,Neither instrument net-negative
PriorSlope_DominantPressureValue_Q3,Spacing_10,ES,375,0.2854841619013457,0.0534351145038167,1.508730045742054,107.05656071300463,0.504,0.6257061780431971,0.6257061780431971,Neither instrument net-negative
PriorSlope_DominantPressureValue_Q3,Spacing_10,NQ,634,0.10101043583017191,0.0886288628862886,1.1827406787662584,64.040616316329,0.5220820189274448,0.3742938219568029,0.3742938219568029,Neither instrument net-negative
PriorSlope_DominantPressureValue_Q3,Spacing_20,ES,344,0.28249237841879654,0.01252236135957065,1.4951715489866177,97.17737817606601,0.5,0.6490241716362125,0.6490241716362125,Neither instrument net-negative
PriorSlope_DominantPressureValue_Q3,Spacing_20,NQ,576,0.09123448617093441,0.0886288628862886,1.1666052877630575,52.55106403445822,0.5225694444444444,0.35097582836378743,0.35097582836378743,Neither instrument net-negative
RRCCC,Reference,ES,122,0.25247419235611857,-0.03171007927519815,1.43428788090838,30.80185146744647,0.45901639344262296,0.5482701941684753,0.5482701941684753,Neither instrument net-negative
RRCCC,Reference,NQ,318,0.07980568183417716,0.06037826456355505,1.1432358467324706,25.378206823268336,0.5157232704402516,0.45172980583152467,0.45172980583152467,Neither instrument net-negative
RRCCC,Spacing_10,ES,115,0.17422789769016675,0.0,1.3065404149027726,20.036208234369177,0.4608695652173913,0.48023863545348494,0.48023863545348494,Neither instrument net-negative
RRCCC,Spacing_10,NQ,268,0.08091473947906296,0.06860771627126766,1.1414837019752249,21.685150180388874,0.5149253731343284,0.5197613645465151,0.5197613645465151,Neither instrument net-negative
RRCCC,Spacing_20,ES,109,0.2178369607928542,0.0,1.3999878786034636,23.744228726421106,0.45871559633027525,0.8925699331102678,0.8925699331102678,Neither instrument net-negative
RRCCC,Spacing_20,NQ,235,0.012161126269547365,0.0382513661202185,1.0207291655751403,2.857864673343631,0.5063829787234042,0.10743006688973226,0.10743006688973226,Neither instrument net-negative
