Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,ContributionRankBestToWorst,ContributionStatus,PassFailApplicability
CCRRR,Reference,DatasetRegime,CanonicalOriginal,CanonicalOriginal,129,0.23417026873001132,0.1689800844900422,1.4367415846345741,30.20796466617146,0.5348837209302325,0.9588459155289842,0.41988512320969273,1,Positive,Descriptive contribution only
CCRRR,Reference,DatasetRegime,122023,2023,7,0.859930524336968,0.5291338582677165,2.364423098614656,6.019513670358776,0.5714285714285714,0.19106835432570404,0.08367012697056889,2,Positive,Descriptive contribution only
CCRRR,Reference,DatasetRegime,LegacyGenerated,LegacyGenerated,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.15074549991567715,0.06601247581107052,3,Positive,Descriptive contribution only
CCRRR,Reference,DatasetRegime,092022,2022,4,1.111642524648148,0.9773655913978495,inf,4.446570098592592,1.0,0.14114077609218756,0.0618065021705653,4,Positive,Descriptive contribution only
CCRRR,Reference,DatasetRegime,092024,2024,5,0.7672567046684728,0.3036144578313253,4.153559650066754,3.836283523342364,0.6,0.12176936870186578,0.05332363162056341,5,Positive,Descriptive contribution only
CCRRR,Reference,DatasetRegime,092020,2020,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.07822561774613153,0.03425552804004816,6,Positive,Descriptive contribution only
CCRRR,Reference,DatasetRegime,062023,2023,3,-0.5957838389477951,-0.8527498521584861,0.37346363702691454,-1.7873515168433851,0.3333333333333333,-0.05673320663867883,0.024843855591146373,7,Negative,Descriptive contribution only
CCRRR,Reference,DatasetRegime,062016,2016,6,-0.3407995072907107,-0.37280585106382974,0.21166477110367082,-2.044797043744264,0.16666666666666666,-0.06490491216958975,0.028422300811708136,8,Negative,Descriptive contribution only
CCRRR,Reference,DatasetRegime,062019,2019,7,-0.31888286518541076,-0.2871794871794871,0.48565777656866266,-2.2321800562978753,0.42857142857142855,-0.07085272885343778,0.03102689003785967,9,Negative,Descriptive contribution only
CCRRR,Reference,DatasetRegime,062021,2021,6,-0.40109249368429295,0.0060287081339713,0.43311853705037123,-2.4065549621057576,0.5,-0.0763876488009534,0.03345066898552953,10,Negative,Descriptive contribution only
CCRRR,Reference,DatasetRegime,122017,2017,19,-0.18758195725671567,-0.3043478260869565,0.7057739339491907,-3.564057187877598,0.42105263157894735,-0.11312849823130004,0.04953973589403172,11,Negative,Descriptive contribution only
CCRRR,Reference,DatasetRegime,032024,2024,4,-0.993801652892562,-2.0,0.33746556473829203,-3.975206611570248,0.25,-0.12617899501042507,0.05525463685914405,12,Negative,Descriptive contribution only
CCRRR,Reference,DatasetRegime,122022,2022,4,-1.052325581395349,-2.0,0.29844961240310075,-4.209302325581396,0.25,-0.13360954260616542,0.058508523998071556,13,Negative,Descriptive contribution only
CCRRR,Reference,YearAggregate,CanonicalOriginal,CanonicalOriginal,129,0.23417026873001132,0.1689800844900422,1.4367415846345741,30.20796466617146,0.5348837209302325,0.9588459155289842,0.5778384254337416,1,Positive,Descriptive contribution only
CCRRR,Reference,YearAggregate,LegacyGenerated,LegacyGenerated,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.15074549991567715,0.09084519306153738,2,Positive,Descriptive contribution only
CCRRR,Reference,YearAggregate,2023,2023,10,0.42321621535153914,0.058684576192681775,1.582580173761364,4.232162153515391,0.5,0.13433514768702523,0.08095566655989303,3,Positive,Descriptive contribution only
CCRRR,Reference,YearAggregate,2020,2020,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.07822561774613153,0.04714184735518127,4,Positive,Descriptive contribution only
CCRRR,Reference,YearAggregate,2022,2022,8,0.029658471626399563,0.49247508044894434,1.0395446288351995,0.2372677730111965,0.625,0.007531233486022133,0.0045386188006401856,5,Positive,Descriptive contribution only
CCRRR,Reference,YearAggregate,2024,2024,9,-0.01543589869198709,-0.4684014869888475,0.9807492245202067,-0.1389230882278838,0.4444444444444444,-0.004409626308559289,0.0026574150044570734,6,Negative,Descriptive contribution only
CCRRR,Reference,YearAggregate,2016,2016,6,-0.3407995072907107,-0.37280585106382974,0.21166477110367082,-2.044797043744264,0.16666666666666666,-0.06490491216958975,0.03911426397462434,7,Negative,Descriptive contribution only
CCRRR,Reference,YearAggregate,2019,2019,7,-0.31888286518541076,-0.2871794871794871,0.48565777656866266,-2.2321800562978753,0.42857142857142855,-0.07085272885343778,0.04269865326147571,8,Negative,Descriptive contribution only
CCRRR,Reference,YearAggregate,2021,2021,6,-0.40109249368429295,0.0060287081339713,0.43311853705037123,-2.4065549621057576,0.5,-0.0763876488009534,0.04603421466459205,9,Negative,Descriptive contribution only
CCRRR,Reference,YearAggregate,2017,2017,19,-0.18758195725671567,-0.3043478260869565,0.7057739339491907,-3.564057187877598,0.42105263157894735,-0.11312849823130004,0.0681757018838573,10,Negative,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,CanonicalOriginal,CanonicalOriginal,108,0.21398143033377254,0.09567044112192635,1.4059314445521998,23.109994476047433,0.5185185185185185,0.9468773799317354,0.35638584625478437,1,Positive,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,122023,2023,7,0.859930524336968,0.5291338582677165,2.364423098614656,6.019513670358776,0.5714285714285714,0.24663533946579397,0.09282864501229285,2,Positive,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,LegacyGenerated,LegacyGenerated,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.19458568990062322,0.07323819032333864,3,Positive,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,092022,2022,4,1.111642524648148,0.9773655913978495,inf,4.446570098592592,1.0,0.18218769584744016,0.06857183151474192,4,Positive,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,092024,2024,5,0.7672567046684728,0.3036144578313253,4.153559650066754,3.836283523342364,0.6,0.15718264645292893,0.059160427379448245,5,Positive,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,092020,2020,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.10097539101033179,0.038005132384426855,6,Positive,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,062023,2023,3,-0.5957838389477951,-0.8527498521584861,0.37346363702691454,-1.7873515168433851,0.3333333333333333,-0.07323250219898511,0.027563259850417236,7,Negative,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,062016,2016,6,-0.3407995072907107,-0.37280585106382974,0.21166477110367082,-2.044797043744264,0.16666666666666666,-0.08378072393221428,0.03153340108364746,8,Negative,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,062019,2019,7,-0.31888286518541076,-0.2871794871794871,0.48565777656866266,-2.2321800562978753,0.42857142857142855,-0.09145829980331094,0.034423088208925874,9,Negative,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,062021,2021,6,-0.40109249368429295,0.0060287081339713,0.43311853705037123,-2.4065549621057576,0.5,-0.09860289925824989,0.037112173593015906,10,Negative,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,122017,2017,19,-0.18758195725671567,-0.3043478260869565,0.7057739339491907,-3.564057187877598,0.42105263157894735,-0.14602881603810738,0.05496234706238005,11,Negative,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,032024,2024,4,-0.993801652892562,-2.0,0.33746556473829203,-3.975206611570248,0.25,-0.1628746915085685,0.06130280012703751,12,Negative,Descriptive contribution only
CCRRR,Spacing_10,DatasetRegime,122022,2022,4,-1.052325581395349,-2.0,0.29844961240310075,-4.209302325581396,0.25,-0.17246620986941735,0.06491285720554314,13,Negative,Descriptive contribution only
CCRRR,Spacing_10,YearAggregate,CanonicalOriginal,CanonicalOriginal,108,0.21398143033377254,0.09567044112192635,1.4059314445521998,23.109994476047433,0.5185185185185185,0.9468773799317354,0.5115143976241583,1,Positive,Descriptive contribution only
CCRRR,Spacing_10,YearAggregate,LegacyGenerated,LegacyGenerated,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.19458568990062322,0.10511749891308456,2,Positive,Descriptive contribution only
CCRRR,Spacing_10,YearAggregate,2023,2023,10,0.42321621535153914,0.058684576192681775,1.582580173761364,4.232162153515391,0.5,0.17340283726680886,0.09367427053463492,3,Positive,Descriptive contribution only
CCRRR,Spacing_10,YearAggregate,2020,2020,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.10097539101033179,0.054548104540460586,4,Positive,Descriptive contribution only
CCRRR,Spacing_10,YearAggregate,2022,2022,8,0.029658471626399563,0.49247508044894434,1.0395446288351995,0.2372677730111965,0.625,0.009721485978022798,0.005251662094218087,5,Positive,Descriptive contribution only
CCRRR,Spacing_10,YearAggregate,2024,2024,9,-0.01543589869198709,-0.4684014869888475,0.9807492245202067,-0.1389230882278838,0.4444444444444444,-0.0056920450556395856,0.0030749102889066357,6,Negative,Descriptive contribution only
CCRRR,Spacing_10,YearAggregate,2016,2016,6,-0.3407995072907107,-0.37280585106382974,0.21166477110367082,-2.044797043744264,0.16666666666666666,-0.08378072393221428,0.04525934132864395,7,Negative,Descriptive contribution only
CCRRR,Spacing_10,YearAggregate,2019,2019,7,-0.31888286518541076,-0.2871794871794871,0.48565777656866266,-2.2321800562978753,0.42857142857142855,-0.09145829980331094,0.049406858927174925,8,Negative,Descriptive contribution only
