EntryId,File,EntryBarIndex,EntryTime,EntryDirectionSign,ObservedHorizon,HorizonSignedMove,MaxFavorableMove,MaxAdverseMove,EntrySignedReturn,EntryDirectionalMFE,EntryDirectionalMAE,RollingEntropy,RollingDirectionalPresence
0,xApvaV01StateLog_ES.csv,50,2026-04-06 10:45:00,-1.0,5,4.0,9.0,-1.0,4.0,9.0,0.0,1.1567796494427114,0.0
1,xApvaV01StateLog_ES.csv,175,2026-04-07 13:40:00,1.0,5,167.25,178.25,-1.25,167.25,178.25,-1.25,1.2954618442339936,0.0
2,xApvaV01StateLog_ES.csv,237,2026-04-08 11:20:00,-1.0,5,8.25,9.0,-18.25,8.25,9.0,-6.25,0.9709505944517832,0.0
3,xApvaV01StateLog_ES.csv,249,2026-04-08 12:20:00,1.0,5,9.0,12.5,-4.0,9.0,12.5,-4.0,0.9999999999971146,0.0
4,xApvaV01StateLog_ES.csv,342,2026-04-09 12:35:00,1.0,5,-4.75,4.5,-5.25,-4.75,3.75,-5.25,1.1567796494427114,0.0
5,xApvaV01StateLog_ES.csv,378,2026-04-10 08:05:00,1.0,5,1.25,9.25,-2.5,1.25,9.25,-2.5,1.1567796494427114,0.0
6,xApvaV01StateLog_ES.csv,629,2026-04-14 14:00:00,1.0,5,7.5,20.5,-0.5,7.5,20.5,-0.25,0.8812908992278072,0.0
7,xApvaV01StateLog_ES.csv,775,2026-04-16 11:10:00,-1.0,5,-2.75,7.5,-6.25,-2.75,7.5,-5.25,0.9999999999971146,0.0
8,xApvaV01StateLog_ES.csv,851,2026-04-17 10:00:00,-1.0,5,24.0,29.5,-2.75,24.0,29.5,-2.75,0.9999999999971146,0.0
9,xApvaV01StateLog_ES.csv,878,2026-04-17 12:15:00,-1.0,5,-8.5,2.0,-9.75,-8.5,0.75,-9.75,0.8812908992278072,0.0
10,xApvaV01StateLog_ES.csv,883,2026-04-17 12:40:00,1.0,5,2.0,4.0,-4.25,2.0,4.0,-3.25,0.9709505944517832,0.0
11,xApvaV01StateLog_ES.csv,926,2026-04-20 08:45:00,1.0,5,-0.75,5.25,-4.75,-0.75,3.5,-4.75,1.1567796494427114,0.0
12,xApvaV01StateLog_ES.csv,1027,2026-04-21 09:40:00,-1.0,5,5.75,10.75,-6.75,5.75,10.75,-1.25,0.9709505944517832,0.0
