Check,Scope,Candidate,Expected,Actual,Status,Detail
CrossEraReferenceCount,Reference,RRCCC,329,329,PASS,handoff_count=329
CrossEraReferenceCount,Reference,CCRRR,153,153,PASS,handoff_count=153
CrossEraReferenceCount,Reference,PriorSlope_DominantPressureValue_Q3,786,786,PASS,handoff_count=786
InstrumentCountsEqualEvaluableCount,Reference,CCRRR,153,153,PASS,ES_Count=32;NQ_Count=121
InstrumentCountsEqualEvaluableCount,Reference,PriorSlope_DominantPressureValue_Q3,786,786,PASS,ES_Count=270;NQ_Count=516
InstrumentCountsEqualEvaluableCount,Reference,RRCCC,329,329,PASS,ES_Count=82;NQ_Count=247
InstrumentCountsEqualEvaluableCount,Spacing_10,CCRRR,132,132,PASS,ES_Count=31;NQ_Count=101
InstrumentCountsEqualEvaluableCount,Spacing_10,PriorSlope_DominantPressureValue_Q3,603,603,PASS,ES_Count=215;NQ_Count=388
InstrumentCountsEqualEvaluableCount,Spacing_10,RRCCC,272,272,PASS,ES_Count=75;NQ_Count=197
InstrumentCountsEqualEvaluableCount,Spacing_20,CCRRR,115,115,PASS,ES_Count=30;NQ_Count=85
InstrumentCountsEqualEvaluableCount,Spacing_20,PriorSlope_DominantPressureValue_Q3,541,541,PASS,ES_Count=194;NQ_Count=347
InstrumentCountsEqualEvaluableCount,Spacing_20,RRCCC,235,235,PASS,ES_Count=70;NQ_Count=165
NoUnevaluablePolicyOutcomeEntries,AllModes,AllCandidates,0,0,PASS,NormalizedPolicyOutcome must be present before fixed-rule summarization
