Metric,Value
BaseCount,1672
BaseMean,0.1042941036632138
BaseMedian,0.0
BaseTStat,2.3636456825620913
BaseProfitFactor,1.1859906524704262
D1Count,53
D1Mean,1.1902273161393155
D1Median,-0.0935412026726058
D1TStat,1.8870542930639072
D1WinRate,0.49056603773584906
D1ProfitFactor,3.0484269281460867
D1StopRate,0.1320754716981132
D1_ES_Count,53
D1_NQ_Count,0
D1InstrumentCount,1
D1InstrumentPositiveFraction,1.0
D1InstrumentMedianMean,1.1902273161393155
D1WeekCount,1
D1WeekPositiveFraction,1.0
D1WeekMedianMean,1.1902273161393155
BestTriplet_DirPresenceTriplet,D1 > D1 > D1
BestTriplet_Count,53
BestTriplet_Mean,1.1902273161393155
BestTriplet_Median,-0.0935412026726058
BestTriplet_TStat,1.8870542930639072
BestTriplet_WinRate,0.49056603773584906
BestTriplet_ProfitFactor,3.0484269281460867
BestTriplet_ES_Count,53
BestTriplet_NQ_Count,0
BestD1Intersection_IsRotCompComp,False
BestD1Intersection_EntropyDeltaQuartile,Q2
BestD1Intersection_Count,27
BestD1Intersection_Mean,2.557227013083451
BestD1Intersection_Median,0.0977312390924956
BestD1Intersection_TStat,2.201917540832366
BestD1Intersection_WinRate,0.5185185185185185
BestD1Intersection_ProfitFactor,6.373834699099254
BestD1Intersection_ES_Count,27
BestD1Intersection_NQ_Count,0
