Metric,Value
entry_count,364.0
family_count,2.0
positive_family_fraction,0.5
positive_instrument_fraction,0.6666666666666666
IndexFutures_count,256.0
IndexFutures_mean,0.2591099065935348
IndexFutures_median,0.0696559876173154
IndexFutures_tstat,1.91305264205348
IndexFutures_profit_factor,1.479949676340812
IndexFutures_instruments,"ES,NQ"
FXFutures_count,108.0
FXFutures_mean,-0.2710588459858744
FXFutures_median,-0.2886904761898276
FXFutures_tstat,-1.9397925312426783
FXFutures_profit_factor,0.6274551383072315
FXFutures_instruments,6E
