Group,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveFraction,MaxSignedReturn,MinSignedReturn,Top5SharePositiveSum,Top10SharePositiveSum,Mean_DirectionalMFE,Median_DirectionalMFE,Mean_DirectionalMAE,Median_DirectionalMAE,SequenceColumn
RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,47,4.159574468085107,0.75,1.050840386993258,0.5106382978723404,167.25,-32.25,0.6662087912087912,0.7657967032967034,11.930851063829786,4.25,-6.127659574468085,-4.75,PriorDominantPressureSeq
CompressionPressure > CompressionPressure > RotationalPressure > RotationalPressure > RotationalPressure,20,2.55,2.125,1.0602559671067187,0.65,29.5,-17.5,0.28162291169451076,0.4606205250596659,10.9625,7.125,-5.5,-3.125,PriorDominantPressureSeq
CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,272,1.5652573529411764,0.25,1.213653548745983,0.5036764705882353,162.0,-46.25,0.541050235734027,0.6594049748008454,9.643382352941176,5.5,-7.213235294117647,-5.75,PriorDominantPressureSeq
RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure,33,-0.6363636363636364,-2.0,-0.26704995555339833,0.3939393939393939,40.0,-37.75,0.38308457711442784,0.5854063018242123,7.886363636363637,3.5,-8.568181818181818,-6.25,PriorDominantPressureSeq
Stable Compression Basin > Stable Compression Basin > Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance,9,6.638888888888889,6.25,1.860133412962643,0.7777777777777778,29.5,-8.25,0.4169611307420495,0.4169611307420495,14.5,7.75,-3.888888888888889,-2.75,PriorResolvedArchetypeSeq
Stable Compression Basin > Stable Compression Basin > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium,17,6.470588235294118,-2.75,0.6512611605279914,0.4117647058823529,162.0,-22.25,0.8254777070063695,0.8738853503184714,15.25,4.5,-9.735294117647058,-7.5,PriorResolvedArchetypeSeq
Unstable Rotational Balance > Unstable Rotational Balance > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,37,4.3108108108108105,0.0,0.8501064946107102,0.4864864864864865,167.25,-32.25,0.6180193596425912,0.7937453462397617,13.871621621621621,4.25,-7.175675675675675,-5.25,PriorResolvedArchetypeSeq
Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse,6,3.2083333333333335,1.125,0.8428625130144867,0.6666666666666666,21.5,-5.25,0.8431372549019608,0.8431372549019608,7.375,4.875,-4.375,-4.375,PriorResolvedArchetypeSeq
Stable Compression Basin > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,76,2.8092105263157894,-0.625,0.9043529665432057,0.4605263157894737,155.25,-46.25,0.6779418770843259,0.7803716055264411,10.361842105263158,4.25,-7.855263157894737,-5.625,PriorResolvedArchetypeSeq
Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse,28,1.1428571428571428,2.125,0.5633090872306613,0.5714285714285714,17.0,-32.25,0.25616698292220114,0.3586337760910816,7.348214285714286,4.75,-7.473214285714286,-4.0,PriorResolvedArchetypeSeq
Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium,151,0.859271523178808,1.0,0.6735015081740727,0.5364238410596026,143.0,-32.25,0.40213645761543765,0.5458304617505169,9.102649006622517,6.5,-6.375827814569536,-5.75,PriorResolvedArchetypeSeq
Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,17,-0.5588235294117647,-1.0,-0.36819311438589186,0.4117647058823529,13.0,-13.25,0.36619718309859156,0.528169014084507,6.514705882352941,5.0,-4.897058823529412,-3.75,PriorResolvedArchetypeSeq
Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance,17,-1.3676470588235294,-1.25,-0.35442976581331986,0.4117647058823529,40.0,-37.75,0.5015673981191222,0.6238244514106583,9.058823529411764,5.25,-10.014705882352942,-7.25,PriorResolvedArchetypeSeq
Stable Compression Basin > Stable Compression Basin > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse,6,-1.7916666666666667,-4.0,-0.40541149155400624,0.16666666666666666,18.75,-11.25,1.0,1.0,7.125,3.75,-9.291666666666666,-9.125,PriorResolvedArchetypeSeq
Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance,8,-3.625,-0.25,-0.9372969610507896,0.5,5.75,-26.75,0.4423076923076923,0.4423076923076923,5.09375,5.0,-9.03125,-4.625,PriorResolvedArchetypeSeq
Balance > Balance > Unresolved > Unresolved > Unresolved,36,3.0902777777777777,-0.25,0.5916397832577165,0.4722222222222222,167.25,-37.75,0.6851239669421487,0.8338842975206612,12.840277777777779,4.0,-8.416666666666666,-7.875,PriorMacroStateSeq
