Metric,Value
AllEntries_Count,375
AllEntries_MeanSignedReturn,1.718
AllEntries_MedianSignedReturn,0.25
AllEntries_TStat,1.5827551227254144
AllEntries_PositiveFraction,0.5013333333333333
AllEntries_Top5SharePositiveSum,0.5370541917554423
BestPath_SequenceColumn,PriorDominantPressureSeq
BestPath_Group,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure
BestPath_Count,47
BestPath_MeanSignedReturn,4.159574468085107
BestPath_MedianSignedReturn,0.75
BestPath_TStat,1.050840386993258
BestPath_PositiveFraction,0.5106382978723404
