ValidationMode,Dataset,Regime,TimeBlock,RegimeWeek,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,ES_Count,NQ_Count,PositiveContribution,NegativeContribution,PositiveCount,NegativeCount,Top1PctWinContributionShare,Top5PctWinContributionShare,Top10PctWinContributionShare,NetContributionShare,AbsoluteNetContributionShare
Reference,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B02_2026-W15,2026-W15,55,0.6654556959153837,0.3100775193798449,1.5753399097475722,0.5636363636363636,2.4158371038634723,-2.0,-0.7783972783972785,0.9442614284167417,2.126447736737899,16.06518010291595,36.6000632753461,0.12727272727272726,15,40,62.45053941802769,-25.850476142681593,31,23,0.2572464585994976,0.5633116493043194,0.678210578310401,0.1642551082093188,0.10577324861728617
Reference,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,2022 | tightening / bear trend,B05_2022-W33,2022-W33,9,3.6536497824115637,0.4768856447688564,1.021076788427212,0.5555555555555556,6.221263033648957,-2.0,-2.0,3.07514450867052,8.957089397089401,31.769230769230766,32.88284804170407,0.3333333333333333,6,3,39.1807203821296,-6.297872340425532,5,4,0.8108383526230614,0.8108383526230614,0.8108383526230614,0.147572853158397,0.09503059147721422
Reference,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B05_2026-W18,2026-W18,58,0.5635373843029753,0.45438007060135005,1.9709420887518052,0.6551724137931034,2.3612772384562986,-2.0,-0.4426954146653282,1.1774008050603795,2.6117897001479107,12.237037037037036,32.685168289572566,0.1206896551724138,18,40,56.695830751421894,-24.01066246184933,38,20,0.21583662986947483,0.3602986547238124,0.5342791662607363,0.14668569870642578,0.09445930203950187
Reference,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B07_2026-W20,2026-W20,54,0.22606956548201393,0.43646180785040134,1.084077393399919,0.5740740740740741,1.4302590170386018,-2.0,-0.9780361594225613,1.1388184658923413,1.9949415672707873,4.153262518968134,12.207756536028752,0.16666666666666666,11,43,40.580797082750166,-28.373040546721416,31,23,0.1023455135811903,0.24138674792575884,0.42227313540721273,0.05478641814723638,0.03528010477551446
Reference,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,2022 | tightening / bear trend,B01_2022-W42,2022-W42,9,1.2902221509788525,0.1926140477914554,1.0073479336243443,0.6666666666666666,3.4573028115370015,-2.0,-0.725506072874494,1.5296628254374731,4.425466217470888,10.61744966442953,11.611999358809673,0.2222222222222222,5,4,16.337505431684164,-4.725506072874494,6,3,0.6498819363107029,0.6498819363107029,0.6498819363107029,0.052112757206422805,0.03355838174057169
Reference,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B08_2026-W21,2026-W21,48,0.21793212339536563,-0.1544728091620827,0.8021613568036786,0.4583333333333333,1.3586357130369506,-2.0,-1.2557323619631902,1.306704575615484,2.4708113804004235,5.644348452123831,10.460741922977551,0.14583333333333334,17,31,39.62889652307388,-29.16815460009632,22,26,0.1424301191136477,0.3858490315697415,0.5371529350980873,0.04694610180266654,0.03023127713786472
Reference,tables/apva_forward_signed_return_dataset_es_nq_092024_generated.csv,2024 | modern mixed regime,B01_2024-W29,2024-W29,11,0.9249400975709186,0.1772899957788096,1.287600475483438,0.6363636363636364,7.47795193113588,-0.6618181818181819,-0.26593475583744497,0.9481353343618993,1.236749116607774,7.865724381625442,10.174341073280104,0.0,6,5,11.744951843696253,-1.5706107704161487,7,4,0.6697110798157194,0.6697110798157194,0.775011564063474,0.0456607815505023,0.029403585992870008
Reference,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B06_2026-W19,2026-W19,57,-0.17317463862432914,-0.1292613636363636,-1.036415921526616,0.45614035087719296,0.7142705811877069,-2.0,-0.9904200442151804,0.6363636363636364,1.3062869566649646,2.524296675191816,-9.870954401586761,0.21052631578947367,14,43,24.67555621890831,-34.54651062049508,26,30,0.10229948426684321,0.2808756068071455,0.45986521381895096,-0.04429923170253189,0.028526806255885048
Reference,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,2022 | tightening / bear trend,B06_2022-W34,2022-W34,14,0.6493630739702131,0.7908617547513669,1.6306556303348043,0.7142857142857143,2.854525211196396,-1.9700598802395208,-0.05400566424688303,1.5223404255319148,2.393956092270716,2.924050632911392,9.091083035582983,0.0,6,8,13.993191122707948,-4.902108087124963,10,4,0.20896238801214437,0.20896238801214437,0.3943560683048437,0.04079929634316908,0.02627299791502938
Reference,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B03_2026-W16,2026-W16,50,0.17501869420807503,-0.085967521626954,0.7027257172256678,0.48,1.3466825288298743,-2.0,-0.7042962792437628,0.8793912127883603,1.482352941176471,7.962085308056872,8.750934710403751,0.16,5,45,33.992860630178214,-25.241925919774456,24,26,0.2342281632216703,0.44252071756553885,0.5524964602237011,0.03927276619650761,0.025289977937843395
Reference,tables/apva_forward_signed_return_dataset_generated.csv,generated | legacy generated regime,B02_2024-W30,2024-W30,8,0.9881612064543688,0.4594415515419712,1.259633564498485,0.875,4.952644825817474,-2.0,0.2697748960117445,1.1236819309854498,2.947475119098155,5.822822822822823,7.90528965163495,0.125,0,8,9.905289651634948,-2.0,7,1,0.5878498284865115,0.5878498284865115,0.5878498284865115,0.03547764924302656,0.022846085303827555
Reference,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B05_2021-W20,2021-W20,9,0.7931268760304213,0.3373493975903615,1.5664693419962699,0.7777777777777778,6.73228460855861,-0.8888888888888888,0.0534351145038167,1.1097560975609757,1.805147906262006,4.394160583941606,7.138141884273792,0.0,8,1,8.383394409526318,-1.2452525252525253,7,2,0.5241505253466759,0.5241505253466759,0.5241505253466759,0.03203481531696273,0.020629047838268133
Reference,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,2020 | COVID / crisis,B14_2020-W34,2020-W34,7,0.984972486612166,1.222707423580786,1.9649048014016577,0.5714285714285714,8.641321196423215,-0.6363636363636364,-0.13297101449275361,1.8698474521259332,2.5161627785333196,2.834710743801653,6.894807406285162,0.0,7,0,7.797113071634305,-0.9023056653491435,4,3,0.3635590144401339,0.3635590144401339,0.3635590144401339,0.03094276990948925,0.01992581740820529
Reference,tables/apva_forward_signed_return_dataset_es_nq_092024_generated.csv,2024 | modern mixed regime,B05_2024-W33,2024-W33,6,1.1162830698453174,0.9613066460994376,2.5863590514702666,0.8333333333333334,47.42461818476697,-0.1442704039571311,0.3531894600551509,1.9613770628413265,2.3166709555669924,2.4741379310344827,6.697698419071904,0.0,2,4,6.841968823029036,-0.1442704039571311,5,1,0.3616119855306717,0.3616119855306717,0.3616119855306717,0.030058176957281118,0.019356177466537394
Reference,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,2022 | tightening / bear trend,B02_2022-W30,2022-W30,6,1.0696037028164411,1.5560999685915555,1.6628749867998656,0.8333333333333334,4.208811108449323,-2.0,1.0832756299614446,2.011695315133131,2.131352979945391,2.216194331983806,6.417622216898647,0.16666666666666666,1,5,8.417622216898646,-2.0,5,1,0.26328032725616085,0.26328032725616085,0.26328032725616085,0.028801240690566745,0.018546764391445463
Reference,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B07_2021-W22,2021-W22,6,-1.0571477249350216,-1.1187596899224808,-3.5565949771119594,0.0,0.0,-2.0,-1.5328425357873212,-0.4803140275514739,-0.2796773499132593,-0.1669980119284294,-6.34288634961013,0.16666666666666666,3,3,0.0,-6.34288634961013,0,6,,,,-0.028465838320460415,0.018330779642679696
Reference,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B02_2021-W17,2021-W17,17,0.36766757596636523,0.1346153846153846,0.9052665294025345,0.5882352941176471,1.766695064100525,-2.0,-0.5934897804693414,1.9649122807017545,2.5645161290322585,3.172151898734177,6.250348791428209,0.11764705882352941,9,8,14.402675686555709,-8.152326895127498,10,7,0.22024740178626998,0.22024740178626998,0.4397406675779573,0.02805054486814455,0.01806334846163564
Reference,tables/apva_forward_signed_return_dataset_es_nq_092024_generated.csv,2024 | modern mixed regime,B02_2024-W30,2024-W30,16,0.36934218200281155,0.33307510888464253,0.7664027274232581,0.6875,1.764658572365701,-2.0,-0.6170852784535472,0.8126563744732314,1.9430346610113327,5.822822822822823,5.909474912044985,0.1875,8,8,13.6377279201323,-7.728253008087317,11,5,0.42696429030726224,0.42696429030726224,0.5861466767475035,0.026520758552678343,0.017078231651320518
Reference,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,2021 | 2021 observed regime,B01_2021-W16,2021-W16,3,1.946383370959553,0.1613559322033898,1.0257820767305916,0.6666666666666666,96.1990009474682,-0.0613362541073384,0.05000983904802571,2.950243183492999,4.623575534266765,5.739130434782608,5.839150112878659,0.0,1,2,5.900486366985998,-0.0613362541073384,2,1,0.9726537912016546,0.9726537912016546,0.9726537912016546,0.026205152336099904,0.016874994776831534
Reference,tables/apva_forward_signed_return_dataset_es_nq_092022_generated.csv,2022 | tightening / bear trend,B03_2022-W31,2022-W31,9,0.5950447870863856,1.2156862745098038,1.3759068085704798,0.7777777777777778,2.856800339265911,-2.0,0.2231075697211155,1.5227127319257838,1.6557986633623907,1.7098405289770515,5.355403083777471,0.1111111111111111,5,4,8.23961361009326,-2.8842105263157896,7,2,0.20751464933774955,0.20751464933774955,0.20751464933774955,0.024034174651903516,0.015476978210792967
Reference,tables/apva_forward_signed_return_dataset_es_nq_092020_generated.csv,2020 | COVID / crisis,B13_2020-W33,2020-W33,4,1.2563336874324846,1.0369655172413792,1.2163980662154195,0.75,6.373069966787144,-0.9352818371607516,0.018179540709812037,2.275119663964052,3.2420591970303803,3.886685552407932,5.0253347497299385,0.0,4,0,5.960616586890691,-0.9352818371607516,3,1,0.6520609899579853,0.6520609899579853,0.6520609899579853,0.022552881859659448,0.014523089150677047
Reference,tables/apva_forward_signed_return_dataset_generated.csv,generated | legacy generated regime,B07_2024-W35,2024-W35,4,-1.2380645161290322,-2.0,-1.624894157493649,0.25,0.17462365591397852,-2.0,-2.0,-1.2380645161290322,0.13341935483871026,1.047741935483871,-4.952258064516129,0.75,0,4,1.047741935483871,-6.0,1,3,1.0,1.0,1.0,-0.02222492562780621,0.014311899395755117
Reference,tables/apva_forward_signed_return_dataset_v1.csv,canonical | original regime,B01_2026-W14,2026-W14,11,-0.4487787703188518,-0.322,-1.2123773043274726,0.2727272727272727,0.38194258337891784,-2.0,-1.4550898203592815,0.19152463610626558,0.8065433854907539,1.7887563884156727,-4.93656647350737,0.2727272727272727,0,11,3.0506630957057346,-7.987229569213105,3,8,0.5863500269608976,0.5863500269608976,0.85073300213311,-0.02215450432935845,0.01426655109828132
Reference,tables/apva_forward_signed_return_dataset_es_nq_122022_generated.csv,2022 | tightening / bear trend,B02_2022-W43,2022-W43,9,-0.5310965874980248,-0.5720771850170261,-1.217885224375679,0.3333333333333333,0.3577745313610511,-2.0,-2.0,0.448,0.7872215216477514,1.641025641025641,-4.7798692874822235,0.3333333333333333,7,2,2.6627961328289196,-7.442665420311143,3,6,0.6162791138209431,0.6162791138209431,0.6162791138209431,-0.02145127294276154,0.013813700230500676
