ValidationMode,Regime,Instrument,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,ES_Count,NQ_Count,PositiveContribution,NegativeContribution,PositiveCount,NegativeCount,Top1PctWinContributionShare,Top5PctWinContributionShare,Top10PctWinContributionShare,NetContributionShare,AbsoluteNetContributionShare
Reference,2020 | COVID / crisis,ES,33,0.7904312303881403,0.4516129032258064,2.813384546809772,0.6666666666666666,3.6811713261844368,-2.0,-0.4454545454545455,1.7379310344827583,2.8564449111912698,4.720930232558139,26.08423060280863,0.06060606060606061,33,0,35.81290043754424,-9.72866983473562,22,11,0.13182205783056258,0.240349585758274,0.41067853472938376,0.11706176811741159,0.11706176811741159
Reference,2020 | COVID / crisis,NQ,28,0.2973487955837335,-0.0839637773443167,0.7526569226338807,0.42857142857142855,1.5198273760570231,-2.0,-0.8505734785135033,0.797094942501811,2.610845325290824,6.2093308778391645,8.325766276344538,0.17857142857142858,0,28,24.342172221519753,-16.016405945175215,12,16,0.25508532358298697,0.4744004917756226,0.6196441040351347,0.03736467968260739,0.03736467968260739
Reference,2021 | 2021 observed regime,ES,37,0.4663648158428826,0.2661596958174905,1.5099647861914771,0.5945945945945946,2.1193177738820914,-2.0,-0.4890829694323144,1.0327868852459017,2.5645161290322567,5.739999999999999,17.255498186186657,0.08108108108108109,37,0,32.671583402398305,-15.416085216211654,22,15,0.17568784252980663,0.35134906972215985,0.5826035765351852,0.07743985851759409,0.07743985851759409
Reference,2021 | 2021 observed regime,NQ,29,0.04077875508590322,-0.0613362541073384,0.14832445625602658,0.4827586206896552,1.0793600699874344,-2.0,-0.8638297872340426,0.651595744680851,1.3353045535186274,4.515,1.1825838974911935,0.13793103448275862,0,29,16.084081560969068,-14.901497663477873,14,15,0.2807123293229539,0.4779353965344494,0.6050762477215724,0.005307243448943932,0.005307243448943932
Reference,2022 | tightening / bear trend,ES,65,0.582668069874824,-0.2814070351758794,1.0333387561873884,0.47692307692307695,1.763322786169837,-2.0,-2.0,1.1578947368421053,2.905418522039325,31.769230769230766,37.87342454186356,0.2923076923076923,65,0,87.48995011671626,-49.61652557485271,31,34,0.3631186293608456,0.6099307864963092,0.7174086804083913,0.16996974566903786,0.16996974566903786
Reference,2022 | tightening / bear trend,NQ,73,0.2596670952035468,0.423419930205506,1.4103224806242503,0.589041095890411,1.4983895268294969,-2.0,-0.8961038961038961,1.4872318692543411,1.9921733493114353,5.4855769230769225,18.955697949858916,0.1917808219178082,0,73,56.98959900401133,-38.03390105415241,43,30,0.0962557557685361,0.24222723514241856,0.3923620864671934,0.08507007746171161,0.08507007746171161
Reference,2024 | modern mixed regime,ES,40,0.31447716370643775,-0.08502024291497975,1.0948190325092735,0.475,1.7385240789009087,-2.0,-0.6939442815249267,0.6804308562154804,2.486298606016141,7.865724381625442,12.57908654825751,0.075,40,0,29.611823743472645,-17.032737195215137,19,20,0.2656278265657071,0.39100704043931517,0.5811026611261436,0.05645288661427555,0.05645288661427555
Reference,2024 | modern mixed regime,NQ,42,0.17865086065786623,0.28231029243515265,0.7651770469240772,0.6190476190476191,1.3846153346003374,-2.0,-0.5207940283815929,0.9371081585438362,1.6401403123693865,5.822822822822823,7.503336147630382,0.19047619047619047,0,42,27.012012668360562,-19.50867652073018,26,16,0.21556419709676625,0.37017760969525854,0.49478284771403824,0.03367374754486042,0.03367374754486042
Reference,canonical | original regime,ES,95,0.5015941145691246,0.3673469387755102,1.6380161897587706,0.5684210526315789,1.8504069053663263,-2.0,-1.3152198046181172,1.1057468601272362,1.7567268010847794,16.06518010291595,47.651440884066844,0.2,95,0,103.68513555819486,-56.033694674128036,54,40,0.15494197906409757,0.5316293485266401,0.6554879605659308,0.213851886535252,0.213851886535252
Reference,canonical | original regime,NQ,302,0.12553014700502954,0.04737931469678795,1.5015495490025161,0.5099337748344371,1.2496229533841412,-2.0,-0.7852916888556255,0.9794617271733976,1.9453615127919912,5.644348452123831,37.91010439551892,0.152317880794702,0,302,189.77956944899717,-151.86946505347828,154,146,0.10562273604409876,0.30363901905907276,0.47837165233597256,0.17013435886344513,0.17013435886344513
