ValidationMode,ValidationModeRule,Dataset,Candidate,CandidateRule,Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection,InTargetState,TargetEntry,PriorPressureSeq,PriorSlope_DominantPressureValue,NormalizedPolicyOutcome,DisasterStopped,PositiveOutcome,RegimeWeek,TimeBlock,Overlaps_CCRRR,Overlaps_RRCCC,OverlapClass,RegimeCode,Regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,175,2021-04-21 06:40:00,Unresolved,Balance->Balance->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.9709505944517832,0.4444444444444444,0.6,0.0,0.0,0.1103838173345075,0.0555555555555555,0.6615378100689858,0.3790621092029942,CompressionPressure,0.6615378100689858,4119.5,4123.0,4117.75,4120.25,Up,1,4119.25,5.25,2.875,5,4136.75,16.5,5.739130434782608,16.5,5.739130434782608,19.5,-1.75,6.782608695652174,-0.6086956521739131,1,1,True,True,RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure,0.0094490508727494,5.739130434782608,False,True,2021-W16,B01_2021-W16,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,445,2021-04-26 07:25:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,4182.75,4184.75,4182.0,4184.0,Up,1,4182.5,2.75,4.089285714285714,5,4182.0,-2.0,-0.4890829694323144,-2.0,-0.4890829694323144,0.25,-4.0,0.0611353711790393,-0.9781659388646288,0,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0277777777777777,-0.4890829694323144,False,False,2021-W17,B02_2021-W17,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,472,2021-04-26 09:40:00,Unresolved,Balance->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,4178.75,4180.25,4178.5,4179.75,Up,1,4178.75,1.75,1.8571428571428568,5,4180.0,0.25,0.1346153846153846,0.25,0.1346153846153846,2.25,-0.5,1.2115384615384617,-0.2692307692307692,1,1,True,True,CompressionPressure > CompressionPressure > RotationalPressure > CompressionPressure > CompressionPressure,0.0439449665204183,0.1346153846153846,False,True,2021-W17,B02_2021-W17,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,475,2021-04-26 09:55:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,4180.75,4181.25,4179.75,4181.25,Up,1,4180.75,1.5,1.8928571428571428,5,4178.25,-3.0,-1.5849056603773586,-3.0,-1.5849056603773586,0.0,-3.25,0.0,-1.7169811320754718,0,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0547908258548532,-1.5849056603773586,False,False,2021-W17,B02_2021-W17,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,482,2021-04-26 10:30:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,4177.5,4179.0,4177.0,4178.0,Down,-1,4177.5,2.0,1.7857142857142858,5,4180.5,2.5,1.4,-2.5,-1.4,1.25,-2.75,0.7,-1.5399999999999998,0,1,True,True,RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.054240198501599,-1.4,False,False,2021-W17,B02_2021-W17,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,539,2021-04-27 08:00:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,4175.5,4176.75,4175.0,4175.25,Up,1,4175.5,1.75,4.160714285714286,5,4176.25,1.0,0.2403433476394849,1.0,0.2403433476394849,2.5,-2.0,0.6008583690987125,-0.4806866952789699,1,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0477736024440772,0.2403433476394849,False,True,2021-W17,B02_2021-W17,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,571,2021-04-27 10:40:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,4177.0,4179.0,4177.0,4178.5,Down,-1,4177.0,2.0,2.0357142857142856,5,4174.5,-4.0,-1.9649122807017545,4.0,1.9649122807017545,4.0,-0.75,1.9649122807017545,-0.368421052631579,1,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0517269196318966,1.9649122807017545,False,True,2021-W17,B02_2021-W17,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,632,2021-04-28 08:30:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,4182.75,4183.25,4181.25,4183.0,Down,-1,4182.75,2.0,2.2142857142857144,5,4176.0,-7.0,-3.161290322580645,7.0,3.161290322580645,7.0,0.0,3.161290322580645,0.0,1,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0277777777777777,3.161290322580645,False,True,2021-W17,B02_2021-W17,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,667,2021-04-28 11:25:00,Unresolved,Degrading->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.4444444444444444,0.6,0.0,0.0,0.085538424773057,0.0555555555555555,0.6412558569575977,0.4500489450928527,CompressionPressure,0.6412558569575977,4180.5,4183.0,4180.25,4181.5,Up,1,4180.75,2.75,3.0,5,4188.0,6.5,2.1666666666666665,6.5,2.1666666666666665,12.25,-5.75,4.083333333333333,-1.9166666666666667,1,1,True,True,RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure > CompressionPressure,0.0122246863239814,2.1666666666666665,False,True,2021-W17,B02_2021-W17,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,823,2021-04-30 09:55:00,Unresolved,Unresolved->Unresolved->Balance->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,4178.75,4179.25,4176.5,4176.75,Down,-1,4178.75,2.75,2.946428571428572,5,4177.0,0.25,0.0848484848484848,-0.25,-0.0848484848484848,2.0,-3.75,0.6787878787878787,-1.2727272727272727,0,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > RotationalPressure,0.0212203091689233,-0.0848484848484848,False,False,2021-W17,B02_2021-W17,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
Reference,no de-clustering,tables/apva_forward_signed_return_dataset_es_nq_062021_generated.csv,PriorSlope_DominantPressureValue_Q3,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343 (frozen prior Q3 interval),ES,xApvaV01StateLog_ES062021.csv,899,2021-05-03 09:00:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,0.0976912025508348,0.0416666666666666,0.6690336347353755,0.4083822784261861,CompressionPressure,0.6690336347353755,4188.5,4193.0,4188.0,4192.0,Down,-1,4188.75,5.0,4.0,5,4189.75,-2.25,-0.5625,2.25,0.5625,4.5,-0.25,1.125,-0.0625,1,1,True,True,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,0.0277777777777777,0.5625,False,True,2021-W18,B03_2021-W18,False,False,BaseOnly_NeitherGrammar,2021,2021 | 2021 observed regime
