Metric,Value
report_scope,diagnostic-only summary of frozen PriorSlope_DominantPressureValue_Q3
frozen_rule,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343
candidate_rules_changed,False
thresholds_changed,False
reference_count,786
reference_mean,0.28349173737615463
reference_median,0.17276516956322455
reference_profit_factor,1.5465854948249114
reference_stop_rate,0.16666666666666666
spacing_20_count,541
spacing_20_mean,0.2898786784353014
spacing_20_median,0.1346153846153846
spacing_20_profit_factor,1.5726589080018647
spacing_20_stop_rate,0.16820702402957485
reference_positive_regime_fraction,1.0
reference_max_regime_absolute_contribution_share,0.3839862453986971
reference_positive_instrument_fraction,1.0
reference_max_instrument_absolute_contribution_share,0.6347761454535711
reference_max_block_absolute_contribution_share,0.10577324861728617
reference_top_5_pct_win_contribution_share,0.39129090295942964
spacing_20_top_5_pct_win_contribution_share,0.41523755038343996
reference_overlap_ccrrr_count,14
reference_overlap_rrccc_count,68
reference_base_only_count,704
spacing_20_overlap_ccrrr_count,9
spacing_20_overlap_rrccc_count,52
spacing_20_base_only_count,480
entry_rows_all_modes,1930
input_reconciliation_check_count,12
input_reconciliation_all_pass,True
