Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection
ES,xApvaV01StateLog_ES.csv,4,2026-04-06 06:55:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.3660254037844386,-1.4428232973175177e-12,0.0,1.0,0.0,0.0,0.2799999999999999,0.0,1.0,0.0,CompressionPressure,1.0,6634.25,6643.25,6632.0,6639.5,Up,1,,,,5,6646.75,7.25,,7.25,,21.5,-15.5,,,1,1
ES,xApvaV01StateLog_ES.csv,5,2026-04-06 07:00:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.3660254037844386,-1.4428232973175177e-12,0.0,1.0,0.0,0.0,0.2799999999999999,0.0,1.0,0.0,CompressionPressure,1.0,6639.5,6649.25,6636.0,6649.25,Up,1,6639.5,13.25,,5,6650.75,1.5,,1.5,,11.75,-25.25,,,1,1
ES,xApvaV01StateLog_ES.csv,6,2026-04-06 07:05:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.3660254037844386,-1.4428232973175177e-12,0.0,1.0,0.0,0.0,0.2799999999999999,0.0,1.0,0.0,CompressionPressure,1.0,6649.0,6661.0,6627.0,6627.75,Up,1,6649.25,34.0,,5,6648.25,20.5,,20.5,,26.0,-3.75,,,1,1
ES,xApvaV01StateLog_ES.csv,7,2026-04-06 07:10:00,Unknown,Unknown->Unknown->Unknown->Unknown,Stable Compression Basin,Soft,0.3660254037844386,-1.4428232973175177e-12,0.0,1.0,0.0,0.0,0.2799999999999999,0.0,1.0,0.0,CompressionPressure,1.0,6628.0,6635.75,6624.0,6635.25,Up,1,6627.75,11.75,,5,6648.75,13.5,,13.5,,19.25,-7.25,,,1,1
ES,xApvaV01StateLog_ES.csv,8,2026-04-06 07:15:00,Unresolved,Unknown->Unknown->Unknown->Unresolved,Stable Compression Basin,Exact,1.0,-1.4428232973175177e-12,0.0,1.0,0.0,0.0,0.2799999999999999,0.0,1.0,0.0,CompressionPressure,1.0,6635.25,6645.25,6628.0,6644.75,Up,1,6635.25,17.25,,5,6634.75,-10.0,,-10.0,,9.75,-13.25,,,0,1
ES,xApvaV01StateLog_ES.csv,9,2026-04-06 07:20:00,Unresolved,Unknown->Unknown->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,-1.4428232973175177e-12,0.0,1.0,0.0,0.0,0.2799999999999999,0.0,1.0,0.0,CompressionPressure,1.0,6644.75,6649.5,6639.75,6646.75,Up,1,6644.75,9.75,,5,6640.75,-6.0,,-6.0,,7.75,-15.25,,,0,1
ES,xApvaV01StateLog_ES.csv,10,2026-04-06 07:25:00,Unresolved,Unknown->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,-1.4428232973175177e-12,0.0,1.0,0.0,0.0,0.2799999999999999,0.0,1.0,0.0,CompressionPressure,1.0,6646.75,6653.75,6646.5,6650.75,Up,1,6646.75,7.25,,5,6631.75,-19.0,,-19.0,,3.75,-20.75,,,0,1
ES,xApvaV01StateLog_ES.csv,20,2026-04-06 08:15:00,Unresolved,Degrading->Balance->Degrading->Unresolved,Stable Compression Basin,Exact,1.0,1.7219280948815914,0.4444444444444444,0.4,0.7,0.0,0.0878888888888888,0.0555555555555555,0.538888888888889,0.5166666666666666,CompressionPressure,0.538888888888889,6641.25,6641.25,6634.0,6638.75,Up,1,6641.25,7.25,10.607142857142858,5,6633.5,-5.25,-0.4949494949494949,-5.25,-0.4949494949494949,2.25,-12.25,0.2121212121212121,-1.1548821548821548,0,1
ES,xApvaV01StateLog_ES.csv,21,2026-04-06 08:20:00,Unresolved,Balance->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.8464393446652445,0.4444444444444444,0.4,0.6,0.0,0.0808888888888888,0.0555555555555555,0.538888888888889,0.5166666666666666,CompressionPressure,0.538888888888889,6638.75,6641.0,6635.0,6637.25,Down,-1,6638.75,6.0,10.196428571428571,5,6634.75,-2.5,-0.2451838879159369,2.5,0.2451838879159369,10.75,-2.0,1.054290718038529,-0.1961471103327495,1,1
ES,xApvaV01StateLog_ES.csv,28,2026-04-06 08:55:00,Unresolved,Balance->Balance->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.360964047439353,0.5555555555555556,0.5,0.0,0.0,0.0567039678957023,0.0694444444444444,0.5677175248128182,0.5060442187106917,CompressionPressure,0.5677175248128182,6638.25,6643.5,6636.25,6642.5,Up,1,6638.0,7.25,7.607142857142857,5,6639.5,-3.0,-0.3943661971830986,-3.0,-0.3943661971830986,1.5,-6.75,0.1971830985915493,-0.8873239436619719,0,1
ES,xApvaV01StateLog_ES.csv,44,2026-04-06 10:15:00,Unresolved,Balance->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.5709505944488975,0.5555555555555556,0.6,0.0,0.0,0.0522935395569507,0.0694444444444444,0.5962600322913884,0.5519787758690297,CompressionPressure,0.5962600322913884,6636.25,6636.5,6618.75,6624.25,Down,-1,6636.25,17.75,6.517857142857143,5,6635.75,11.5,1.7643835616438357,-11.5,-1.7643835616438357,2.25,-19.75,0.3452054794520547,-3.0301369863013696,0,1
ES,xApvaV01StateLog_ES.csv,49,2026-04-06 10:40:00,Unresolved,Unresolved->Unresolved->Degrading->Unresolved,Stable Compression Basin,Exact,1.0,1.2954618442339936,0.6666666666666666,0.6,0.0,0.0,0.0612328692175015,0.0833333333333333,0.5857003014020421,0.533382278426186,CompressionPressure,0.5857003014020421,6637.5,6640.75,6634.0,6635.75,Up,1,6637.75,6.75,7.928571428571429,5,6626.75,-9.0,-1.135135135135135,-9.0,-1.135135135135135,0.25,-9.75,0.0315315315315315,-1.2297297297297296,0,1
ES,xApvaV01StateLog_ES.csv,50,2026-04-06 10:45:00,Unresolved,Unresolved->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.1567796494427114,0.5555555555555556,0.7,0.0,0.0,0.0956701692006535,0.0694444444444444,0.6638123830209416,0.4613788816489264,CompressionPressure,0.6638123830209416,6635.5,6636.0,6631.5,6635.0,Down,-1,6635.75,4.5,7.875,5,6631.0,-4.0,-0.5079365079365079,4.0,0.5079365079365079,9.0,0.0,1.1428571428571428,0.0,1,1
ES,xApvaV01StateLog_ES.csv,51,2026-04-06 10:50:00,Unresolved,Degrading->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,0.7219280948844771,0.4444444444444444,0.8,0.0,0.0,0.1527829357909628,0.0555555555555555,0.7604350496252757,0.324588437422646,CompressionPressure,0.7604350496252757,6635.0,6635.0,6629.5,6632.0,Down,-1,6635.0,5.5,7.821428571428571,5,6637.25,5.25,0.6712328767123288,-5.25,-0.6712328767123288,6.0,-10.5,0.767123287671233,-1.3424657534246576,0,1
ES,xApvaV01StateLog_ES.csv,52,2026-04-06 10:55:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.1567796494427114,0.5555555555555556,0.7,0.0,0.0,0.0956701692006535,0.0694444444444444,0.6638123830209416,0.4613788816489264,CompressionPressure,0.6638123830209416,6632.0,6633.75,6628.0,6629.5,Down,-1,6632.0,5.75,7.910714285714286,5,6643.25,13.75,1.7381489841986455,-13.75,-1.7381489841986455,3.5,-15.5,0.4424379232505643,-1.959367945823928,0,1
ES,xApvaV01StateLog_ES.csv,53,2026-04-06 11:00:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.3709505944503406,0.5555555555555556,0.6,0.0,0.0,0.0676060395568402,0.0694444444444444,0.6087600322912982,0.5082287758693453,CompressionPressure,0.6087600322912982,6629.5,6632.25,6627.5,6628.25,Down,-1,6629.5,4.75,8.0,5,6647.75,19.5,2.4375,-19.5,-2.4375,2.25,-22.0,0.28125,-2.75,0,1
ES,xApvaV01StateLog_ES.csv,54,2026-04-06 11:05:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.4854752972230063,0.4444444444444444,0.5,0.0,0.0,0.0593238531119191,0.0555555555555555,0.5877133494791177,0.4916143879341992,CompressionPressure,0.5877133494791177,6628.5,6630.25,6626.0,6626.75,Down,-1,6628.25,4.25,7.785714285714286,5,6646.25,19.5,2.5045871559633026,-19.5,-2.5045871559633026,0.25,-23.5,0.0321100917431192,-3.018348623853211,0,1
ES,xApvaV01StateLog_ES.csv,55,2026-04-06 11:10:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.360964047439353,0.3333333333333333,0.5,0.0,0.0,0.0810095234512578,0.0416666666666666,0.6232730803683738,0.4227108853773584,CompressionPressure,0.6232730803683738,6626.75,6632.75,6626.5,6631.0,Down,-1,6626.75,6.25,7.857142857142857,5,6643.25,12.25,1.559090909090909,-12.25,-1.559090909090909,0.5,-19.25,0.0636363636363636,-2.45,0,1
ES,xApvaV01StateLog_ES.csv,56,2026-04-06 11:15:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.360964047439353,0.3333333333333333,0.5,0.0,0.0,0.0810095234512578,0.0416666666666666,0.6232730803683738,0.4227108853773584,CompressionPressure,0.6232730803683738,6631.0,6642.5,6630.5,6637.25,Up,1,6631.0,12.0,7.839285714285714,5,6643.0,5.75,0.7334851936218678,5.75,0.7334851936218678,13.0,-0.5,1.6583143507972664,-0.0637813211845102,1,1
ES,xApvaV01StateLog_ES.csv,57,2026-04-06 11:20:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.0,0.0,0.1098439803286126,0.0277777777777777,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,6637.5,6645.0,6636.75,6643.25,Up,1,6637.25,8.25,8.017857142857142,5,6642.5,-0.75,-0.0935412026726058,-0.75,-0.0935412026726058,7.0,-2.25,0.8730512249443207,-0.2806236080178174,0,1
ES,xApvaV01StateLog_ES.csv,58,2026-04-06 11:25:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,0.8812908992278072,0.1111111111111111,0.7,0.0,0.0,0.1653733877500932,0.0138888888888888,0.7921415410204843,0.2344490508727494,CompressionPressure,0.7921415410204843,6643.25,6650.25,6641.75,6647.75,Up,1,6643.25,8.5,7.357142857142857,5,6645.0,-2.75,-0.3737864077669903,-2.75,-0.3737864077669903,2.5,-6.75,0.3398058252427184,-0.9174757281553398,0,1
