Metric,Value
base_count,256.0
base_mean,0.2591099065935348
base_median,0.0696559876173154
base_tstat,1.91305264205348
base_profit_factor,1.479949676340812
base_win_rate,0.51953125
base_stop_rate,0.17578125
safe_numeric_features,"RollingEntropy,RollingDirectionalPresence,RollingVelocity,DominantPressureValue,BarIndex"
safe_categorical_features,"Instrument,DominantPressure,ResolvedArchetype,MacroState"
best_feature,Instrument
best_gate_type,category
best_gate,ES
best_direction,equals
best_count,47.0
best_mean,0.7401852690212744
best_median,-0.0634201585503963
best_tstat,1.3280072768278672
best_profit_factor,2.3136500852763047
best_win_rate,0.48936170212765956
