File,StateRunId,RunLength,EntryBarIndex,MeanSignedReturn,MaxSignedReturn,EntrySignedReturn,BestMFE,WorstMAE
xApvaV01StateLog_ES.csv,1.0,1,49,-9.0,-9.0,-9.0,0.25,-9.75
xApvaV01StateLog_ES.csv,2.0,1,50,4.0,4.0,4.0,9.0,0.0
xApvaV01StateLog_ES.csv,3.0,1,52,-13.75,-13.75,-13.75,3.5,-15.5
xApvaV01StateLog_ES.csv,4.0,1,57,-0.75,-0.75,-0.75,7.0,-2.25
xApvaV01StateLog_ES.csv,5.0,1,58,-2.75,-2.75,-2.75,2.5,-6.75
xApvaV01StateLog_ES.csv,6.0,1,80,-2.75,-2.75,-2.75,1.75,-5.25
xApvaV01StateLog_ES.csv,7.0,1,134,-11.75,-11.75,-11.75,8.0,-21.25
xApvaV01StateLog_ES.csv,8.0,1,147,-14.0,-14.0,-14.0,1.25,-17.25
xApvaV01StateLog_ES.csv,9.0,1,148,-12.0,-12.0,-12.0,1.75,-13.0
xApvaV01StateLog_ES.csv,10.0,1,172,-8.25,-8.25,-8.25,0.25,-18.25
xApvaV01StateLog_ES.csv,11.0,1,174,0.5,0.5,0.5,10.5,-5.75
xApvaV01StateLog_ES.csv,12.0,1,175,167.25,167.25,167.25,178.25,-1.25
xApvaV01StateLog_ES.csv,13.0,1,176,155.25,155.25,155.25,172.25,-4.25
xApvaV01StateLog_ES.csv,14.0,1,177,152.75,152.75,152.75,173.25,-3.25
xApvaV01StateLog_ES.csv,15.0,1,178,162.0,162.0,162.0,172.25,-3.75
xApvaV01StateLog_ES.csv,16.0,1,179,143.0,143.0,143.0,173.25,141.75
xApvaV01StateLog_ES.csv,17.0,1,180,14.0,14.0,14.0,20.75,-4.0
xApvaV01StateLog_ES.csv,18.0,1,181,3.5,3.5,3.5,14.75,-10.0
xApvaV01StateLog_ES.csv,19.0,1,182,2.0,2.0,2.0,11.25,-13.5
xApvaV01StateLog_ES.csv,20.0,1,183,12.0,12.0,12.0,21.5,0.0
xApvaV01StateLog_ES.csv,21.0,1,232,-8.25,-8.25,-8.25,10.0,-13.25
xApvaV01StateLog_ES.csv,22.0,1,236,-18.25,-18.25,-18.25,2.75,-20.5
xApvaV01StateLog_ES.csv,23.0,1,237,8.25,8.25,8.25,9.0,-6.25
xApvaV01StateLog_ES.csv,24.0,1,243,-5.0,-5.0,-5.0,10.25,-6.5
xApvaV01StateLog_ES.csv,25.0,1,248,4.5,4.5,4.5,7.0,-9.5
xApvaV01StateLog_ES.csv,26.0,1,249,9.0,9.0,9.0,12.5,-4.0
xApvaV01StateLog_ES.csv,27.0,1,256,2.75,2.75,2.75,9.5,-2.75
xApvaV01StateLog_ES.csv,28.0,1,272,-5.25,-5.25,-5.25,1.75,-9.0
xApvaV01StateLog_ES.csv,29.0,1,323,16.75,16.75,16.75,19.0,-0.75
xApvaV01StateLog_ES.csv,30.0,1,324,2.25,2.25,2.25,5.0,-7.75
xApvaV01StateLog_ES.csv,31.0,1,331,-3.0,-3.0,-3.0,5.5,-5.25
xApvaV01StateLog_ES.csv,32.0,1,332,-10.75,-10.75,-10.75,2.25,-11.0
xApvaV01StateLog_ES.csv,33.0,1,334,-6.25,-6.25,-6.25,1.0,-12.25
xApvaV01StateLog_ES.csv,34.0,1,335,-7.5,-7.5,-7.5,1.75,-11.5
xApvaV01StateLog_ES.csv,35.0,1,338,2.25,2.25,2.25,6.75,-4.5
xApvaV01StateLog_ES.csv,36.0,1,339,7.25,7.25,7.25,10.5,-0.75
xApvaV01StateLog_ES.csv,37.0,1,341,5.75,5.75,5.75,8.25,-0.5
xApvaV01StateLog_ES.csv,38.0,1,342,-4.75,-4.75,-4.75,3.75,-5.25
xApvaV01StateLog_ES.csv,39.0,1,343,-7.75,-7.75,-7.75,3.75,-7.75
xApvaV01StateLog_ES.csv,40.0,1,344,-9.5,-9.5,-9.5,2.5,-11.75
xApvaV01StateLog_ES.csv,41.0,1,345,-6.0,-6.0,-6.0,5.25,-9.0
xApvaV01StateLog_ES.csv,42.0,1,350,-3.25,-3.25,-3.25,2.25,-4.0
xApvaV01StateLog_ES.csv,43.0,1,353,-0.75,-0.75,-0.75,0.25,-3.5
xApvaV01StateLog_ES.csv,44.0,1,354,-1.75,-1.75,-1.75,0.75,-5.0
xApvaV01StateLog_ES.csv,45.0,1,355,9.5,9.5,9.5,19.0,-5.0
xApvaV01StateLog_ES.csv,46.0,1,356,7.0,7.0,7.0,19.0,-5.0
xApvaV01StateLog_ES.csv,47.0,1,367,-9.75,-9.75,-9.75,4.25,-14.25
xApvaV01StateLog_ES.csv,48.0,1,368,-2.25,-2.25,-2.25,3.0,-7.5
xApvaV01StateLog_ES.csv,49.0,1,377,6.25,6.25,6.25,7.25,-4.5
xApvaV01StateLog_ES.csv,50.0,1,378,1.25,1.25,1.25,9.25,-2.5
xApvaV01StateLog_ES.csv,51.0,1,379,-6.0,-6.0,-6.0,6.0,-7.75
xApvaV01StateLog_ES.csv,52.0,1,382,-17.5,-17.5,-17.5,0.0,-19.25
xApvaV01StateLog_ES.csv,53.0,1,385,11.5,11.5,11.5,13.5,-3.0
xApvaV01StateLog_ES.csv,54.0,1,386,11.0,11.0,11.0,13.75,-2.75
xApvaV01StateLog_ES.csv,55.0,1,460,-1.0,-1.0,-1.0,3.25,-6.75
xApvaV01StateLog_ES.csv,56.0,1,461,5.5,5.5,5.5,7.0,-2.75
xApvaV01StateLog_ES.csv,57.0,1,498,-2.0,-2.0,-2.0,0.75,-5.0
xApvaV01StateLog_ES.csv,58.0,1,504,0.0,-0.0,-0.0,1.5,-3.0
xApvaV01StateLog_ES.csv,59.0,1,505,0.5,0.5,0.5,1.75,-2.75
xApvaV01StateLog_ES.csv,60.0,1,539,30.0,30.0,30.0,33.75,10.0
xApvaV01StateLog_ES.csv,61.0,1,629,7.5,7.5,7.5,20.5,-0.25
xApvaV01StateLog_ES.csv,62.0,1,630,-1.0,-1.0,-1.0,5.75,-15.0
xApvaV01StateLog_ES.csv,63.0,1,632,10.5,10.5,10.5,13.75,0.0
xApvaV01StateLog_ES.csv,64.0,1,634,8.75,8.75,8.75,13.75,-0.25
xApvaV01StateLog_ES.csv,65.0,1,665,-11.75,-11.75,-11.75,1.5,-14.0
xApvaV01StateLog_ES.csv,66.0,1,668,-8.25,-8.25,-8.25,6.75,-10.25
xApvaV01StateLog_ES.csv,67.0,1,669,-4.75,-4.75,-4.75,9.75,-7.25
xApvaV01StateLog_ES.csv,68.0,1,755,11.25,11.25,11.25,18.5,-0.5
xApvaV01StateLog_ES.csv,69.0,1,758,7.5,7.5,7.5,12.5,-3.0
xApvaV01StateLog_ES.csv,70.0,1,759,13.25,13.25,13.25,13.75,-2.0
xApvaV01StateLog_ES.csv,71.0,1,760,7.5,7.5,7.5,11.0,-2.75
xApvaV01StateLog_ES.csv,72.0,1,775,-2.75,-2.75,-2.75,7.5,-5.25
xApvaV01StateLog_ES.csv,73.0,1,782,0.5,0.5,0.5,3.75,-4.25
xApvaV01StateLog_ES.csv,74.0,1,813,21.5,21.5,21.5,24.5,-1.0
xApvaV01StateLog_ES.csv,75.0,1,814,13.0,13.0,13.0,17.5,-2.25
xApvaV01StateLog_ES.csv,76.0,1,850,-12.25,-12.25,-12.25,0.75,-14.0
xApvaV01StateLog_ES.csv,77.0,1,851,24.0,24.0,24.0,29.5,-2.75
xApvaV01StateLog_ES.csv,78.0,1,865,-6.75,-6.75,-6.75,5.0,-7.75
xApvaV01StateLog_ES.csv,79.0,1,878,-8.5,-8.5,-8.5,0.75,-9.75
xApvaV01StateLog_ES.csv,80.0,1,879,-8.5,-8.5,-8.5,2.75,-9.25
xApvaV01StateLog_ES.csv,81.0,1,882,-2.5,-2.5,-2.5,1.75,-6.5
xApvaV01StateLog_ES.csv,82.0,1,883,2.0,2.0,2.0,4.0,-3.25
xApvaV01StateLog_ES.csv,83.0,1,884,-0.5,-0.5,-0.5,1.25,-6.0
xApvaV01StateLog_ES.csv,84.0,1,885,5.25,5.25,5.25,6.25,-1.75
xApvaV01StateLog_ES.csv,85.0,1,890,-0.25,-0.25,-0.25,1.0,-5.75
xApvaV01StateLog_ES.csv,86.0,1,909,9.5,9.5,9.5,11.5,-5.75
xApvaV01StateLog_ES.csv,87.0,1,910,8.5,8.5,8.5,16.0,-1.25
xApvaV01StateLog_ES.csv,88.0,1,911,11.75,11.75,11.75,25.0,-0.75
xApvaV01StateLog_ES.csv,89.0,1,912,15.0,15.0,15.0,22.0,-1.5
xApvaV01StateLog_ES.csv,90.0,1,913,18.0,18.0,18.0,20.5,-3.0
xApvaV01StateLog_ES.csv,91.0,1,914,16.0,16.0,16.0,20.0,-6.75
xApvaV01StateLog_ES.csv,92.0,1,916,8.5,8.5,8.5,16.5,0.25
xApvaV01StateLog_ES.csv,93.0,1,918,-15.75,-15.75,-15.75,5.75,-18.0
xApvaV01StateLog_ES.csv,94.0,1,919,-10.25,-10.25,-10.25,2.5,-19.75
xApvaV01StateLog_ES.csv,95.0,1,925,-4.75,-4.75,-4.75,4.5,-5.5
xApvaV01StateLog_ES.csv,96.0,1,926,-0.75,-0.75,-0.75,3.5,-4.75
xApvaV01StateLog_ES.csv,97.0,1,938,1.25,1.25,1.25,2.25,-4.25
xApvaV01StateLog_ES.csv,98.0,1,941,6.0,6.0,6.0,7.5,-4.0
xApvaV01StateLog_ES.csv,99.0,1,942,-5.75,-5.75,-5.75,0.5,-9.75
xApvaV01StateLog_ES.csv,100.0,1,943,1.5,1.5,1.5,2.0,-6.0
xApvaV01StateLog_ES.csv,101.0,1,944,-1.5,-1.5,-1.5,3.5,-4.5
xApvaV01StateLog_ES.csv,102.0,1,948,-1.0,-1.0,-1.0,0.5,-6.25
xApvaV01StateLog_ES.csv,103.0,1,949,1.75,1.75,1.75,4.25,-3.75
xApvaV01StateLog_ES.csv,104.0,1,950,2.25,2.25,2.25,3.0,-5.0
xApvaV01StateLog_ES.csv,105.0,1,951,2.25,2.25,2.25,3.0,-5.0
xApvaV01StateLog_ES.csv,106.0,1,952,3.75,3.75,3.75,4.5,-5.5
xApvaV01StateLog_ES.csv,107.0,1,953,8.75,8.75,8.75,8.75,-2.75
xApvaV01StateLog_ES.csv,108.0,1,954,-6.0,-6.0,-6.0,1.75,-9.0
xApvaV01StateLog_ES.csv,109.0,1,955,-1.25,-1.25,-1.25,6.5,-4.25
xApvaV01StateLog_ES.csv,110.0,1,956,-2.5,-2.5,-2.5,4.25,-2.75
xApvaV01StateLog_ES.csv,111.0,1,957,-2.75,-2.75,-2.75,2.25,-5.25
xApvaV01StateLog_ES.csv,112.0,1,992,-13.75,-13.75,-13.75,3.25,-15.25
xApvaV01StateLog_ES.csv,113.0,1,1023,-11.25,-11.25,-11.25,2.0,-13.5
xApvaV01StateLog_ES.csv,114.0,1,1026,13.5,13.5,13.5,14.75,-2.75
xApvaV01StateLog_ES.csv,115.0,1,1027,5.75,5.75,5.75,10.75,-1.25
xApvaV01StateLog_ES.csv,116.0,1,1028,4.25,4.25,4.25,11.5,-7.75
xApvaV01StateLog_ES.csv,117.0,1,1048,-1.25,-1.25,-1.25,1.75,-7.25
xApvaV01StateLog_ES.csv,118.0,1,1049,-13.25,-13.25,-13.25,0.75,-16.75
xApvaV01StateLog_ES.csv,119.0,1,1050,6.25,6.25,6.25,12.25,-6.75
xApvaV01StateLog_ES.csv,120.0,1,1056,11.25,11.25,11.25,12.0,-4.5
xApvaV01StateLog_ES.csv,121.0,1,1057,6.25,6.25,6.25,12.25,-5.25
xApvaV01StateLog_ES.csv,122.0,1,1062,-32.25,-32.25,-32.25,0.25,-47.5
xApvaV01StateLog_ES.csv,123.0,1,1069,-1.5,-1.5,-1.5,13.25,-14.0
xApvaV01StateLog_ES.csv,124.0,1,1070,-1.0,-1.0,-1.0,5.5,-4.75
xApvaV01StateLog_ES.csv,125.0,1,1071,-0.75,-0.75,-0.75,8.75,-1.5
xApvaV01StateLog_ES.csv,126.0,1,1084,-11.75,-11.75,-11.75,4.5,-12.5
xApvaV01StateLog_ES.csv,127.0,1,1085,9.5,9.5,9.5,13.5,-6.5
xApvaV01StateLog_ES.csv,128.0,1,1109,0.75,0.75,0.75,2.5,-5.5
xApvaV01StateLog_ES.csv,129.0,1,1110,7.75,7.75,7.75,9.0,-2.5
xApvaV01StateLog_ES.csv,130.0,1,1116,2.75,2.75,2.75,3.75,-5.0
xApvaV01StateLog_ES.csv,131.0,1,1117,1.0,1.0,1.0,2.25,-7.0
xApvaV01StateLog_ES.csv,132.0,1,1143,0.0,0.0,0.0,1.0,-7.75
xApvaV01StateLog_ES.csv,133.0,1,1178,-5.75,-5.75,-5.75,0.75,-10.75
xApvaV01StateLog_ES.csv,134.0,1,1179,-7.75,-7.75,-7.75,0.5,-10.0
