Metric,Value
base_count,2039.0
base_mean_signed_return,0.42790583619421285
base_median_signed_return,0.0
base_t_stat,1.417939816898459
surface_cell_count,22.0
x_col,RollingEntropy
y_col,RollingDirectionalPresence
best_cell,XQ1|YQ2
best_x_bin,XQ1
best_y_bin,YQ2
best_count,149.0
best_mean_signed_return,2.454697986577181
best_median_signed_return,0.5
best_t_stat,2.3820229208978696
best_positive_row_fraction,0.5302013422818792
best_x_mean,-1.4428232973175175e-12
best_y_mean,0.0
best_WeekRegimeCount,3.0
best_WeeklyPositiveFraction,1.0
best_WeeklyMeanOfMeans,8.69646432146432
best_WeeklyMedianOfMeans,0.6468253968253969
best_WeeklyMinMean,0.31756756756756754
best_WeeklyMaxMean,25.125
