XBin,YBin,SurfaceCell,RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,TStat,PositiveRowFraction,ZeroRowFraction,NegativeRowFraction,XMean,XMin,XMax,YMean,YMin,YMax
XQ1,YQ1,XQ1|YQ1,2026-W15,128,-1.09375,-0.875,10.807596118391347,-1.1449695691076993,0.46875,0.0078125,0.5234375,-1.4428232973175173e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,0.0,0.0
XQ1,YQ1,XQ1|YQ1,2026-W16,81,0.8364197530864198,0.25,8.036164400483912,0.9367376527693335,0.5061728395061729,0.037037037037037035,0.4567901234567901,-1.4428232973175179e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,0.0,0.0
XQ1,YQ2,XQ1|YQ2,2026-W16,12,25.125,16.625,25.106930408663153,3.4665947474926857,0.9166666666666666,0.0,0.08333333333333333,-1.4428232973175177e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,0.0,0.0
XQ1,YQ2,XQ1|YQ2,2026-W17,74,0.31756756756756754,0.125,9.261728707954884,0.294957841739998,0.5,0.02702702702702703,0.47297297297297297,-1.4428232973175175e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,0.0,0.0
XQ1,YQ2,XQ1|YQ2,2026-W18,63,0.6468253968253969,0.0,7.525311444717073,0.6822332155629508,0.49206349206349204,0.015873015873015872,0.49206349206349204,-1.442823297317517e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,0.0,0.0
XQ1,YQ3,XQ1|YQ3,2026-W18,50,-3.56,-2.5,9.492956572627724,-2.6517556693375886,0.3,0.0,0.7,-1.4428232973175175e-12,-1.4428232973175177e-12,-1.4428232973175177e-12,0.0,0.0,0.0
XQ2,YQ1,XQ2|YQ1,2026-W15,18,2.1944444444444446,-0.375,9.788031240017348,0.9511861024266995,0.4444444444444444,0.05555555555555555,0.5,0.6095136498631076,0.4689955935863958,0.7219280948844771,0.0,0.0,0.0
XQ2,YQ1,XQ2|YQ1,2026-W16,12,-1.0208333333333333,-2.25,8.065399114661833,-0.4384495235155794,0.4166666666666667,0.0,0.5833333333333334,0.6165395526769433,0.4689955935863958,0.7219280948844771,0.0,0.0,0.0
XQ2,YQ2,XQ2|YQ2,2026-W17,16,-3.78125,-2.375,13.676279647623472,-1.105929418650654,0.375,0.0,0.625,0.500612156248656,0.4689955935863958,0.7219280948844771,0.0,0.0,0.0
XQ2,YQ3,XQ2|YQ3,2026-W18,23,4.967391304347826,3.0,13.790293100382836,1.7275029350434503,0.6086956521739131,0.0,0.391304347826087,0.18352001488075487,-1.4428232973175177e-12,0.4689955935863958,0.0,0.0,0.0
XQ2,YQ3,XQ2|YQ3,2026-W19,76,-2.3453947368421053,-0.5,13.379833525699738,-1.528171276715829,0.4605263157894737,0.02631578947368421,0.5131578947368421,0.055538951870801226,-1.4428232973175177e-12,0.4689955935863958,0.0,0.0,0.0
XQ2,YQ3,XQ2|YQ3,2026-W20,5,8.85,10.5,5.33151010502653,3.711744179611691,1.0,0.0,0.0,0.1875982374336926,-1.4428232973175177e-12,0.4689955935863958,0.0,0.0,0.0
XQ2,YQ4,XQ2|YQ4,2026-W20,128,0.009765625,-0.625,8.784123694398554,0.012577855048973437,0.4453125,0.015625,0.5390625,0.04030430882251204,-1.4428232973175177e-12,0.4689955935863958,0.0,0.0,0.0
XQ2,YQ4,XQ2|YQ4,2026-W21,94,-1.4893617021276595,0.375,11.35544460463086,-1.2716276597161487,0.5,0.010638297872340425,0.48936170212765956,0.04989314825258257,-1.4428232973175177e-12,0.4689955935863958,0.0,0.0,0.0
XQ2,YQ5,XQ2|YQ5,2026-W21,24,-2.8229166666666665,-2.875,7.079317382449333,-1.9534949617809898,0.3333333333333333,0.041666666666666664,0.625,0.07816593226319694,-1.4428232973175177e-12,0.4689955935863958,0.0,0.0,0.0
XQ3,YQ1,XQ3|YQ1,2026-W15,54,13.203703703703704,-0.75,46.82688597563053,2.072036359996389,0.48148148148148145,0.0,0.5185185185185185,1.163202375060616,0.8812908992278072,1.2954618442339936,0.0,0.0,0.0
XQ3,YQ1,XQ3|YQ1,2026-W16,19,3.75,0.5,9.319930853343877,1.7538618360470806,0.5789473684210527,0.05263157894736842,0.3684210526315789,1.1357085725048248,0.8812908992278072,1.2954618442339936,0.0,0.0,0.0
XQ3,YQ2,XQ3|YQ2,2026-W16,12,2.2083333333333335,-0.375,11.782032417150612,0.6492845033787986,0.4166666666666667,0.0,0.5833333333333334,1.055798022031521,0.8812908992278072,1.2954618442339936,0.0,0.0,0.0
XQ3,YQ2,XQ3|YQ2,2026-W17,78,-0.8076923076923077,-0.625,9.705059856239261,-0.7350130159707379,0.47435897435897434,0.01282051282051282,0.5128205128205128,1.0563497882966646,0.7219280948844771,1.2954618442339936,0.0,0.0,0.0
XQ3,YQ2,XQ3|YQ2,2026-W18,11,6.0227272727272725,3.75,17.892894729981002,1.1163719945664738,0.6363636363636364,0.0,0.36363636363636365,0.9089088650819398,0.7219280948844771,1.1567796494427114,0.0,0.0,0.0
XQ3,YQ3,XQ3|YQ3,2026-W18,20,1.0125,2.0,7.902978702262903,0.5729532907814285,0.6,0.0,0.4,0.8560924818171245,0.7219280948844771,1.1567796494427114,0.0,0.0,0.0
XQ3,YQ3,XQ3|YQ3,2026-W19,35,-0.5285714285714286,-1.0,8.72344108536006,-0.35846757167231347,0.42857142857142855,0.02857142857142857,0.5428571428571428,0.9327145928327542,0.7219280948844771,1.1567796494427114,0.0,0.0,0.0
XQ3,YQ3,XQ3|YQ3,2026-W20,19,-2.4342105263157894,-3.75,9.763822860033116,-1.0867134567696874,0.3684210526315789,0.0,0.631578947368421,0.9372458424287835,0.7219280948844771,1.1567796494427114,0.0,0.0,0.0
XQ3,YQ4,XQ3|YQ4,2026-W20,34,-2.4338235294117645,-1.5,11.529985417401454,-1.2308348542335785,0.47058823529411764,0.0,0.5294117647058824,0.8689737240756347,0.7219280948844771,1.1567796494427114,0.0,0.0,0.0
XQ3,YQ4,XQ3|YQ4,2026-W21,26,-0.11538461538461539,-2.5,11.702185857614545,-0.05027679551267058,0.46153846153846156,0.0,0.5384615384615384,0.8866461105516177,0.7219280948844771,1.1567796494427114,0.0,0.0,0.0
XQ3,YQ5,XQ3|YQ5,2026-W15,24,-3.3541666666666665,-2.875,4.185194314398719,-3.9262200167475965,0.20833333333333334,0.08333333333333333,0.7083333333333334,1.2011127577205494,0.9219280948830342,1.2954618442339936,0.3666666666666667,0.1,1.0
XQ3,YQ5,XQ3|YQ5,2026-W16,27,-0.6666666666666666,-1.5,5.05451055227674,-0.6853485771391641,0.4074074074074074,0.0,0.5925925925925926,1.2019935104839063,0.8812908992278072,1.2954618442339936,0.39999999999999997,0.1,0.9
XQ3,YQ5,XQ3|YQ5,2026-W17,8,0.40625,0.125,5.404920872950606,0.21259303261563967,0.5,0.125,0.375,1.1855568406155763,0.9709505944517832,1.2954618442339936,0.275,0.1,0.9
XQ3,YQ5,XQ3|YQ5,2026-W18,5,2.9,3.5,9.683426562947643,0.6696593496729605,0.6,0.0,0.4,0.9305754665779625,0.7219280948844771,1.1567796494427114,0.3,0.1,0.7
XQ3,YQ5,XQ3|YQ5,2026-W19,8,1.46875,1.625,5.598847936342414,0.741983419929214,0.625,0.0,0.375,0.9529784909169782,0.7219280948844771,1.1567796494427114,0.23750000000000002,0.1,0.6
XQ3,YQ5,XQ3|YQ5,2026-W20,8,2.96875,5.0,9.128485146585307,0.9198561307547594,0.625,0.0,0.375,0.9210390338930423,0.7219280948844771,0.9999999999971146,0.5875,0.1,1.0
XQ3,YQ5,XQ3|YQ5,2026-W21,19,-0.35526315789473684,-2.5,11.22197614228491,-0.1379931826615869,0.3157894736842105,0.10526315789473684,0.5789473684210527,0.919687733522238,0.7219280948844771,1.1567796494427114,0.2578947368421053,0.0,1.0
XQ4,YQ1,XQ4|YQ1,2026-W15,33,-1.553030303030303,-3.0,9.088702975689271,-0.9816009931882415,0.3939393939393939,0.0,0.6060606060606061,1.3925349060855976,1.3567796494412687,1.4854752972230063,0.0,0.0,0.0
XQ4,YQ1,XQ4|YQ1,2026-W16,19,2.1710526315789473,1.25,5.881381068665234,1.6090436772715988,0.5263157894736842,0.0,0.47368421052631576,1.4209942759696086,1.360964047439353,1.4854752972230063,0.0,0.0,0.0
XQ4,YQ2,XQ4|YQ2,2026-W16,10,0.55,0.625,12.727267316016166,0.13665562841631446,0.6,0.0,0.4,1.411767202053913,1.360964047439353,1.4854752972230063,0.0,0.0,0.0
XQ4,YQ2,XQ4|YQ2,2026-W17,64,1.38671875,0.0,12.352216053949688,0.898118196082938,0.5,0.0,0.5,1.3870510197912904,1.2954618442339936,1.4854752972230063,0.0,0.0,0.0
XQ4,YQ2,XQ4|YQ2,2026-W18,28,-0.5535714285714286,1.5,8.376100575241491,-0.34971221268281616,0.6428571428571429,0.0,0.35714285714285715,1.3669799207376496,1.2954618442339936,1.4854752972230063,0.0,0.0,0.0
XQ4,YQ3,XQ4|YQ3,2026-W18,23,-1.4891304347826086,2.5,10.607265483038876,-0.6732761325597374,0.5652173913043478,0.0,0.43478260869565216,1.3276573802896863,1.2954618442339936,1.3709505944503406,0.0,0.0,0.0
XQ4,YQ3,XQ4|YQ3,2026-W19,62,-1.1491935483870968,-1.375,16.104580073351,-0.561874883266095,0.45161290322580644,0.0,0.5483870967741935,1.3247923639372137,1.2954618442339936,1.3709505944503406,0.0,0.0,0.0
XQ4,YQ3,XQ4|YQ3,2026-W20,10,2.4,0.5,10.343543343017851,0.7337395061555178,0.5,0.0,0.5,1.3282129458366732,1.2954618442339936,1.360964047439353,0.0,0.0,0.0
XQ4,YQ4,XQ4|YQ4,2026-W20,27,1.4166666666666667,2.0,8.116933865975218,0.9068961326671234,0.5185185185185185,0.0,0.48148148148148145,1.3187754004151855,1.2954618442339936,1.3709505944503406,0.0,0.0,0.0
XQ4,YQ4,XQ4|YQ4,2026-W21,30,-1.3083333333333333,0.625,14.030859359562266,-0.5107339907261026,0.5,0.0,0.5,1.334058086514214,1.2954618442339936,1.3709505944503406,0.0,0.0,0.0
XQ4,YQ5,XQ4|YQ5,2026-W15,11,-4.590909090909091,-4.75,8.622117436622462,-1.7659609734034964,0.2727272727272727,0.09090909090909091,0.6363636363636364,1.4637447560815227,1.360964047439353,1.4854752972230063,0.5545454545454546,0.3,1.0
XQ4,YQ5,XQ4|YQ5,2026-W16,12,-1.8125,-0.5,6.863213036313107,-0.9148316020815327,0.5,0.0,0.5,1.43539484689955,1.3567796494412687,1.4854752972230063,0.45833333333333326,0.1,0.8
XQ4,YQ5,XQ4|YQ5,2026-W17,15,-1.9666666666666666,-2.0,3.2097322244045454,-2.373053798577948,0.26666666666666666,0.0,0.7333333333333333,1.4193021900306524,1.2954618442339936,1.4854752972230063,0.45333333333333337,0.1,0.8
XQ4,YQ5,XQ4|YQ5,2026-W18,15,-2.65,-1.75,6.620989352053059,-1.5501317585214274,0.4,0.0,0.6,1.3045822812622352,1.2954618442339936,1.3709505944503406,0.4266666666666667,0.3,0.9
XQ4,YQ5,XQ4|YQ5,2026-W19,17,-0.14705882352941177,2.25,20.45976593362748,-0.02963567934050796,0.5882352941176471,0.0,0.4117647058823529,1.3416428761455153,1.2954618442339936,1.3709505944503406,0.3176470588235294,0.1,0.6
XQ4,YQ5,XQ4|YQ5,2026-W20,6,1.25,1.25,6.1339220731926485,0.49916874422979124,0.6666666666666666,0.0,0.3333333333333333,1.3407944042060642,1.2954618442339936,1.3709505944503406,0.3166666666666667,0.1,1.0
XQ4,YQ5,XQ4|YQ5,2026-W21,26,5.653846153846154,4.25,10.833069030306445,2.661210021339404,0.8076923076923077,0.0,0.19230769230769232,1.3288202033760537,1.2954618442339936,1.3709505944503406,0.1,0.0,0.7
XQ5,YQ1,XQ5|YQ1,2026-W15,23,-2.2065217391304346,-1.75,7.433665808454039,-1.423538101667403,0.34782608695652173,0.043478260869565216,0.6086956521739131,1.6503802841015829,1.5219280948830345,1.9709505944488976,0.0,0.0,0.0
XQ5,YQ1,XQ5|YQ1,2026-W16,21,-0.13095238095238096,-0.5,12.865802308741538,-0.04664296743789136,0.47619047619047616,0.0,0.5238095238095238,1.6744720401969622,1.5219280948830345,1.8464393446652445,0.0,0.0,0.0
XQ5,YQ2,XQ5|YQ2,2026-W17,25,1.19,-0.25,12.352521672381986,0.481683024552236,0.4,0.08,0.52,1.6529448233398576,1.5219280948830345,1.8464393446652445,0.0,0.0,0.0
XQ5,YQ2,XQ5|YQ2,2026-W18,5,0.6,2.75,4.942165517260627,0.27146820190747606,0.6,0.0,0.4,1.51966541611394,1.4854752972230063,1.5709505944503404,0.0,0.0,0.0
XQ5,YQ3,XQ5|YQ3,2026-W18,19,-2.3815789473684212,1.0,12.192429464930685,-0.8514350636599676,0.5263157894736842,0.0,0.47368421052631576,1.542635268809136,1.4854752972230063,1.5709505944503404,0.0,0.0,0.0
XQ5,YQ3,XQ5|YQ3,2026-W19,53,-1.5518867924528301,0.75,10.78954694575402,-1.0471159207686385,0.5094339622641509,0.03773584905660377,0.4528301886792453,1.5513340448602688,1.4854752972230063,1.9709505944488976,0.0,0.0,0.0
XQ5,YQ3,XQ5|YQ3,2026-W20,12,7.75,6.875,13.50336658359348,1.9881551279172336,0.75,0.08333333333333333,0.16666666666666666,1.5391299797038727,1.4854752972230063,1.7219280948815914,0.0,0.0,0.0
XQ5,YQ4,XQ5|YQ4,2026-W20,30,-0.375,-0.5,9.647616732680131,-0.21289813303702604,0.5,0.0,0.5,1.5644093427888095,1.4854752972230063,1.8464393446652445,0.0,0.0,0.0
