Metric,Value
cell_count,22.0
coherent_positive_cell_count,3.0
coherent_positive_cell_fraction,0.13636363636363635
best_cell,XQ3|YQ1
best_x_bin,XQ3
best_y_bin,YQ1
best_count,73.0
best_mean_signed_return,10.743150684931509
best_t_stat,2.257463023600308
best_neighbor_weighted_mean,0.4412280701754385
best_neighbor_median,0.5333066394874781
best_neighbor_positive_mean_fraction,0.75
best_isolation_penalty,10.209844045444031
best_coherence_score,15.024303776169866
top_coherent_cell,XQ3|YQ1
top_coherent_mean_signed_return,10.743150684931509
top_coherent_neighbor_weighted_mean,0.4412280701754385
top_coherent_neighbor_positive_mean_fraction,0.75
top_coherent_coherence_score,15.024303776169866
