Metric,Value
entry_count,1672.0
base_mean,0.1042941036632138
base_median,0.0
base_tstat,2.3636456825620913
base_profit_factor,1.1859906524704262
base_win_rate,0.4988038277511962
base_stop_rate,0.17643540669856458
best_pressure_prev,RotationalPressure
best_pressure_entry,CompressionPressure
best_pressure_next,CompressionPressure
best_pressure_count,294.0
best_pressure_mean,0.11438403863592231
best_pressure_median,-0.018042705276461547
best_pressure_tstat,1.1367209669808787
best_pressure_profit_factor,1.2070192557446062
best_context_cols,"Prev_DirPresenceBin,DirPresenceBin,Next_DirPresenceBin"
best_context_prev,D1
best_context_entry,D1
best_context_next,D1
best_context_count,53.0
best_context_mean,1.1902273161393155
best_context_median,-0.0935412026726058
best_context_tstat,1.8870542930639072
best_context_profit_factor,3.0484269281460867
best_delta_feature,DeltaPrevToEntry_RollingEntropy
best_delta_gate,Q2
best_delta_count,418.0
best_delta_mean,0.29109075579776517
best_delta_median,0.0803239570721615
best_delta_tstat,2.4876928881803964
best_delta_profit_factor,1.5145148348809514
