Metric,Value
base_count,2039.0
base_mean_signed_return,0.42790583619421285
base_median_signed_return,0.0
base_t_stat,1.417939816898459
condition_col,RollingEntropy
condition_min,-1.4428232973175177e-12
condition_max,2.246439344663802
best_threshold,1.75
best_threshold_mode,ge
best_threshold_count,101.0
best_threshold_mean_signed_return,2.4554455445544554
best_threshold_median_signed_return,0.5
best_threshold_t_stat,1.4546055009031444
best_threshold_positive_row_fraction,0.5247524752475248
best_threshold_WeekRegimeCount,6.0
best_threshold_WeeklyPositiveFraction,0.8333333333333334
best_threshold_WeeklyMedianOfMeans,3.3583333333333334
best_threshold_WeeklyMeanOfMeans,2.725586669665617
best_threshold_WeeklyMinMean,-1.6805555555555556
best_threshold_WeeklyMaxMean,5.578947368421052
