Threshold,Mode,RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveRowFraction
0.0,ge,2026-W15,178,3.074438202247191,-1.625,1.5016595836209794,0.398876404494382
0.0,ge,2026-W16,168,1.3973214285714286,0.5,2.019727388791354,0.5178571428571429
0.0,ge,2026-W17,225,-0.1511111111111111,-0.75,-0.21520421186691993,0.4488888888888889
0.0,ge,2026-W18,164,-0.019817073170731708,1.625,-0.026287950248698,0.573170731707317
0.0,ge,2026-W19,214,-0.37383177570093457,-0.125,-0.42762016675240094,0.48598130841121495
0.0,ge,2026-W20,191,1.3481675392670156,0.75,1.3695538893857808,0.5235602094240838
0.0,ge,2026-W21,186,0.4032258064516129,0.75,0.4016718636201184,0.5268817204301075
0.05,ge,2026-W15,178,3.074438202247191,-1.625,1.5016595836209794,0.398876404494382
0.05,ge,2026-W16,168,1.3973214285714286,0.5,2.019727388791354,0.5178571428571429
0.05,ge,2026-W17,225,-0.1511111111111111,-0.75,-0.21520421186691993,0.4488888888888889
0.05,ge,2026-W18,164,-0.019817073170731708,1.625,-0.026287950248698,0.573170731707317
0.05,ge,2026-W19,214,-0.37383177570093457,-0.125,-0.42762016675240094,0.48598130841121495
0.05,ge,2026-W20,191,1.3481675392670156,0.75,1.3695538893857808,0.5235602094240838
0.05,ge,2026-W21,186,0.4032258064516129,0.75,0.4016718636201184,0.5268817204301075
0.1,ge,2026-W15,178,3.074438202247191,-1.625,1.5016595836209794,0.398876404494382
0.1,ge,2026-W16,168,1.3973214285714286,0.5,2.019727388791354,0.5178571428571429
0.1,ge,2026-W17,225,-0.1511111111111111,-0.75,-0.21520421186691993,0.4488888888888889
0.1,ge,2026-W18,164,-0.019817073170731708,1.625,-0.026287950248698,0.573170731707317
0.1,ge,2026-W19,214,-0.37383177570093457,-0.125,-0.42762016675240094,0.48598130841121495
0.1,ge,2026-W20,191,1.3481675392670156,0.75,1.3695538893857808,0.5235602094240838
0.1,ge,2026-W21,186,0.4032258064516129,0.75,0.4016718636201184,0.5268817204301075
0.15,ge,2026-W15,178,3.074438202247191,-1.625,1.5016595836209794,0.398876404494382
0.15,ge,2026-W16,168,1.3973214285714286,0.5,2.019727388791354,0.5178571428571429
0.15,ge,2026-W17,225,-0.1511111111111111,-0.75,-0.21520421186691993,0.4488888888888889
0.15,ge,2026-W18,164,-0.019817073170731708,1.625,-0.026287950248698,0.573170731707317
0.15,ge,2026-W19,214,-0.37383177570093457,-0.125,-0.42762016675240094,0.48598130841121495
0.15,ge,2026-W20,191,1.3481675392670156,0.75,1.3695538893857808,0.5235602094240838
0.15,ge,2026-W21,186,0.4032258064516129,0.75,0.4016718636201184,0.5268817204301075
0.2,ge,2026-W15,178,3.074438202247191,-1.625,1.5016595836209794,0.398876404494382
0.2,ge,2026-W16,168,1.3973214285714286,0.5,2.019727388791354,0.5178571428571429
0.2,ge,2026-W17,225,-0.1511111111111111,-0.75,-0.21520421186691993,0.4488888888888889
0.2,ge,2026-W18,164,-0.019817073170731708,1.625,-0.026287950248698,0.573170731707317
0.2,ge,2026-W19,214,-0.37383177570093457,-0.125,-0.42762016675240094,0.48598130841121495
0.2,ge,2026-W20,191,1.3481675392670156,0.75,1.3695538893857808,0.5235602094240838
0.2,ge,2026-W21,186,0.4032258064516129,0.75,0.4016718636201184,0.5268817204301075
0.25,ge,2026-W15,178,3.074438202247191,-1.625,1.5016595836209794,0.398876404494382
0.25,ge,2026-W16,168,1.3973214285714286,0.5,2.019727388791354,0.5178571428571429
0.25,ge,2026-W17,225,-0.1511111111111111,-0.75,-0.21520421186691993,0.4488888888888889
0.25,ge,2026-W18,164,-0.019817073170731708,1.625,-0.026287950248698,0.573170731707317
0.25,ge,2026-W19,214,-0.37383177570093457,-0.125,-0.42762016675240094,0.48598130841121495
0.25,ge,2026-W20,191,1.3481675392670156,0.75,1.3695538893857808,0.5235602094240838
0.25,ge,2026-W21,186,0.4032258064516129,0.75,0.4016718636201184,0.5268817204301075
0.3,ge,2026-W15,178,3.074438202247191,-1.625,1.5016595836209794,0.398876404494382
0.3,ge,2026-W16,168,1.3973214285714286,0.5,2.019727388791354,0.5178571428571429
0.3,ge,2026-W17,225,-0.1511111111111111,-0.75,-0.21520421186691993,0.4488888888888889
0.3,ge,2026-W18,164,-0.019817073170731708,1.625,-0.026287950248698,0.573170731707317
0.3,ge,2026-W19,214,-0.37383177570093457,-0.125,-0.42762016675240094,0.48598130841121495
0.3,ge,2026-W20,191,1.3481675392670156,0.75,1.3695538893857808,0.5235602094240838
0.3,ge,2026-W21,186,0.4032258064516129,0.75,0.4016718636201184,0.5268817204301075
0.35,ge,2026-W15,178,3.074438202247191,-1.625,1.5016595836209794,0.398876404494382
0.35,ge,2026-W16,168,1.3973214285714286,0.5,2.019727388791354,0.5178571428571429
0.35,ge,2026-W17,225,-0.1511111111111111,-0.75,-0.21520421186691993,0.4488888888888889
0.35,ge,2026-W18,164,-0.019817073170731708,1.625,-0.026287950248698,0.573170731707317
0.35,ge,2026-W19,214,-0.37383177570093457,-0.125,-0.42762016675240094,0.48598130841121495
0.35,ge,2026-W20,191,1.3481675392670156,0.75,1.3695538893857808,0.5235602094240838
0.35,ge,2026-W21,186,0.4032258064516129,0.75,0.4016718636201184,0.5268817204301075
0.4,ge,2026-W15,178,3.074438202247191,-1.625,1.5016595836209794,0.398876404494382
0.4,ge,2026-W16,168,1.3973214285714286,0.5,2.019727388791354,0.5178571428571429
0.4,ge,2026-W17,225,-0.1511111111111111,-0.75,-0.21520421186691993,0.4488888888888889
0.4,ge,2026-W18,164,-0.019817073170731708,1.625,-0.026287950248698,0.573170731707317
0.4,ge,2026-W19,214,-0.37383177570093457,-0.125,-0.42762016675240094,0.48598130841121495
0.4,ge,2026-W20,191,1.3481675392670156,0.75,1.3695538893857808,0.5235602094240838
0.4,ge,2026-W21,186,0.4032258064516129,0.75,0.4016718636201184,0.5268817204301075
0.45,ge,2026-W15,178,3.074438202247191,-1.625,1.5016595836209794,0.398876404494382
0.45,ge,2026-W16,168,1.3973214285714286,0.5,2.019727388791354,0.5178571428571429
0.45,ge,2026-W17,225,-0.1511111111111111,-0.75,-0.21520421186691993,0.4488888888888889
0.45,ge,2026-W18,164,-0.019817073170731708,1.625,-0.026287950248698,0.573170731707317
0.45,ge,2026-W19,214,-0.37383177570093457,-0.125,-0.42762016675240094,0.48598130841121495
0.45,ge,2026-W20,191,1.3481675392670156,0.75,1.3695538893857808,0.5235602094240838
0.45,ge,2026-W21,186,0.4032258064516129,0.75,0.4016718636201184,0.5268817204301075
0.5,ge,2026-W15,168,3.0907738095238093,-1.75,1.429102044835367,0.39880952380952384
0.5,ge,2026-W16,158,1.4256329113924051,0.5,1.9800835674150545,0.5253164556962026
0.5,ge,2026-W17,211,0.1943127962085308,-0.75,0.2744861598620376,0.4549763033175355
0.5,ge,2026-W18,152,-0.1825657894736842,1.75,-0.22894119902992166,0.5789473684210527
0.5,ge,2026-W19,205,-0.5280487804878049,0.0,-0.5859940952848434,0.4878048780487805
0.5,ge,2026-W20,177,1.2033898305084745,0.75,1.1517589947569322,0.519774011299435
0.5,ge,2026-W21,172,0.8968023255813954,1.25,0.8731806822215723,0.5406976744186046
0.55,ge,2026-W15,168,3.0907738095238093,-1.75,1.429102044835367,0.39880952380952384
0.55,ge,2026-W16,158,1.4256329113924051,0.5,1.9800835674150545,0.5253164556962026
0.55,ge,2026-W17,211,0.1943127962085308,-0.75,0.2744861598620376,0.4549763033175355
0.55,ge,2026-W18,152,-0.1825657894736842,1.75,-0.22894119902992166,0.5789473684210527
0.55,ge,2026-W19,205,-0.5280487804878049,0.0,-0.5859940952848434,0.4878048780487805
0.55,ge,2026-W20,177,1.2033898305084745,0.75,1.1517589947569322,0.519774011299435
0.55,ge,2026-W21,172,0.8968023255813954,1.25,0.8731806822215723,0.5406976744186046
0.6,ge,2026-W15,168,3.0907738095238093,-1.75,1.429102044835367,0.39880952380952384
0.6,ge,2026-W16,158,1.4256329113924051,0.5,1.9800835674150545,0.5253164556962026
0.6,ge,2026-W17,211,0.1943127962085308,-0.75,0.2744861598620376,0.4549763033175355
0.6,ge,2026-W18,152,-0.1825657894736842,1.75,-0.22894119902992166,0.5789473684210527
0.6,ge,2026-W19,205,-0.5280487804878049,0.0,-0.5859940952848434,0.4878048780487805
0.6,ge,2026-W20,177,1.2033898305084745,0.75,1.1517589947569322,0.519774011299435
0.6,ge,2026-W21,172,0.8968023255813954,1.25,0.8731806822215723,0.5406976744186046
0.65,ge,2026-W15,168,3.0907738095238093,-1.75,1.429102044835367,0.39880952380952384
0.65,ge,2026-W16,158,1.4256329113924051,0.5,1.9800835674150545,0.5253164556962026
0.65,ge,2026-W17,211,0.1943127962085308,-0.75,0.2744861598620376,0.4549763033175355
0.65,ge,2026-W18,152,-0.1825657894736842,1.75,-0.22894119902992166,0.5789473684210527
0.65,ge,2026-W19,205,-0.5280487804878049,0.0,-0.5859940952848434,0.4878048780487805
0.65,ge,2026-W20,177,1.2033898305084745,0.75,1.1517589947569322,0.519774011299435
0.65,ge,2026-W21,172,0.8968023255813954,1.25,0.8731806822215723,0.5406976744186046
0.7,ge,2026-W15,168,3.0907738095238093,-1.75,1.429102044835367,0.39880952380952384
0.7,ge,2026-W16,158,1.4256329113924051,0.5,1.9800835674150545,0.5253164556962026
0.7,ge,2026-W17,211,0.1943127962085308,-0.75,0.2744861598620376,0.4549763033175355
0.7,ge,2026-W18,152,-0.1825657894736842,1.75,-0.22894119902992166,0.5789473684210527
0.7,ge,2026-W19,205,-0.5280487804878049,0.0,-0.5859940952848434,0.4878048780487805
0.7,ge,2026-W20,177,1.2033898305084745,0.75,1.1517589947569322,0.519774011299435
0.7,ge,2026-W21,172,0.8968023255813954,1.25,0.8731806822215723,0.5406976744186046
0.75,ge,2026-W15,158,3.1867088607594938,-1.75,1.3899455755932066,0.3924050632911392
0.75,ge,2026-W16,150,1.4616666666666667,0.5,1.9759533267813623,0.52
0.75,ge,2026-W17,196,0.23979591836734693,-0.625,0.3337318626323953,0.45408163265306123
0.75,ge,2026-W18,140,-0.4375,1.75,-0.5159243869567682,0.5857142857142857
0.75,ge,2026-W19,197,-0.7182741116751269,-0.25,-0.7781427222077044,0.48223350253807107
0.75,ge,2026-W20,160,1.7359375,0.875,1.5710181787940891,0.54375
0.75,ge,2026-W21,160,1.103125,1.625,1.0217636253614535,0.56875
0.8,ge,2026-W15,158,3.1867088607594938,-1.75,1.3899455755932066,0.3924050632911392
0.8,ge,2026-W16,150,1.4616666666666667,0.5,1.9759533267813623,0.52
