Metric,Value
base_count,2039.0
base_mean_signed_return,0.42790583619421285
base_median_signed_return,0.0
base_t_stat,1.417939816898459
condition_col,CurrentDirectionalEmergence
condition_min,0.0
condition_max,1.0
best_threshold,1.0
best_threshold_mode,le
best_threshold_count,2039.0
best_threshold_mean_signed_return,0.42790583619421285
best_threshold_median_signed_return,0.0
best_threshold_t_stat,1.417939816898459
best_threshold_positive_row_fraction,0.48749386954389407
best_threshold_WeekRegimeCount,7.0
best_threshold_WeeklyPositiveFraction,0.42857142857142855
best_threshold_WeeklyMedianOfMeans,-0.03511705685618729
best_threshold_WeeklyMeanOfMeans,0.43962311924690906
best_threshold_WeeklyMinMean,-1.019572953736655
best_threshold_WeeklyMaxMean,2.314176245210728
