Metric,Value
base_count,2039.0
base_mean_signed_return,0.42790583619421285
base_median_signed_return,0.0
base_t_stat,1.417939816898459
condition_col,RollingDirectionalPresence
condition_min,0.0
condition_max,1.0
best_threshold,0.2
best_threshold_mode,le
best_threshold_count,1770.0
best_threshold_mean_signed_return,0.32161016949152543
best_threshold_median_signed_return,-0.25
best_threshold_t_stat,0.9728071759966462
best_threshold_positive_row_fraction,0.4853107344632768
best_threshold_WeekRegimeCount,7.0
best_threshold_WeeklyPositiveFraction,0.7142857142857143
best_threshold_WeeklyMedianOfMeans,0.10471698113207548
best_threshold_WeeklyMeanOfMeans,0.3647374415261398
best_threshold_WeeklyMinMean,-1.7148760330578512
best_threshold_WeeklyMaxMean,2.4514563106796117
