Metric,Value
base_count,2039.0
base_mean_signed_return,0.42790583619421285
base_median_signed_return,0.0
base_t_stat,1.417939816898459
condition_col,RollingEntropy
condition_min,-1.4428232973175177e-12
condition_max,2.246439344663802
best_threshold,0.0
best_threshold_mode,le
best_threshold_count,713.0
best_threshold_mean_signed_return,-0.1749649368863955
best_threshold_median_signed_return,-0.25
best_threshold_t_stat,-0.42469638746643495
best_threshold_positive_row_fraction,0.47545582047685836
best_threshold_WeekRegimeCount,7.0
best_threshold_WeeklyPositiveFraction,0.2857142857142857
best_threshold_WeeklyMedianOfMeans,-0.3090551181102362
best_threshold_WeeklyMeanOfMeans,-0.20850817880926423
best_threshold_WeeklyMinMean,-3.082089552238806
best_threshold_WeeklyMaxMean,3.9704301075268815
