Threshold,Mode,RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveRowFraction
0.0,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.0,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.0,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.0,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.0,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.0,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.0,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.02,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.02,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.02,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.02,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.02,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.02,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.02,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.04,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.04,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.04,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.04,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.04,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.04,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.04,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.06,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.06,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.06,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.06,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.06,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.06,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.06,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.08,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.08,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.08,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
