EntryId,File,EntryBarIndex,EntryTime,ExitHorizon,ObservedHorizon,HorizonSignedMove,MaxFavorableMove,MaxAdverseMove,EntryDirectionSign
0,xApvaV01StateLog_ES.csv,50,2026-04-06 10:45:00,3,3,6.75,7.5,-1.0,-1.0
0,xApvaV01StateLog_ES.csv,50,2026-04-06 10:45:00,4,4,8.25,9.0,-1.0,-1.0
0,xApvaV01StateLog_ES.csv,50,2026-04-06 10:45:00,5,5,4.0,9.0,-1.0,-1.0
0,xApvaV01StateLog_ES.csv,50,2026-04-06 10:45:00,6,6,-2.25,9.0,-7.5,-1.0
0,xApvaV01StateLog_ES.csv,50,2026-04-06 10:45:00,8,8,-12.75,9.0,-15.25,-1.0
0,xApvaV01StateLog_ES.csv,50,2026-04-06 10:45:00,10,10,-8.25,9.0,-15.25,-1.0
1,xApvaV01StateLog_ES.csv,175,2026-04-07 13:40:00,3,3,6.0,15.0,-1.25,1.0
1,xApvaV01StateLog_ES.csv,175,2026-04-07 13:40:00,4,4,5.0,15.0,-1.25,1.0
1,xApvaV01StateLog_ES.csv,175,2026-04-07 13:40:00,5,5,167.25,178.25,-1.25,1.0
1,xApvaV01StateLog_ES.csv,175,2026-04-07 13:40:00,6,6,161.25,178.25,-1.25,1.0
1,xApvaV01StateLog_ES.csv,175,2026-04-07 13:40:00,8,8,168.0,178.25,-1.25,1.0
1,xApvaV01StateLog_ES.csv,175,2026-04-07 13:40:00,10,10,153.25,178.25,-1.25,1.0
2,xApvaV01StateLog_ES.csv,237,2026-04-08 11:20:00,3,3,-0.25,5.0,-18.25,-1.0
2,xApvaV01StateLog_ES.csv,237,2026-04-08 11:20:00,4,4,2.75,5.0,-18.25,-1.0
2,xApvaV01StateLog_ES.csv,237,2026-04-08 11:20:00,5,5,8.25,9.0,-18.25,-1.0
2,xApvaV01StateLog_ES.csv,237,2026-04-08 11:20:00,6,6,10.25,10.5,-18.25,-1.0
2,xApvaV01StateLog_ES.csv,237,2026-04-08 11:20:00,8,8,19.0,20.0,-18.25,-1.0
2,xApvaV01StateLog_ES.csv,237,2026-04-08 11:20:00,10,10,11.75,20.5,-18.25,-1.0
3,xApvaV01StateLog_ES.csv,249,2026-04-08 12:20:00,3,3,7.25,7.75,-4.0,1.0
3,xApvaV01StateLog_ES.csv,249,2026-04-08 12:20:00,4,4,10.0,12.5,-4.0,1.0
3,xApvaV01StateLog_ES.csv,249,2026-04-08 12:20:00,5,5,9.0,12.5,-4.0,1.0
3,xApvaV01StateLog_ES.csv,249,2026-04-08 12:20:00,6,6,12.0,13.0,-4.0,1.0
3,xApvaV01StateLog_ES.csv,249,2026-04-08 12:20:00,8,8,21.25,23.0,-4.0,1.0
3,xApvaV01StateLog_ES.csv,249,2026-04-08 12:20:00,10,10,18.25,24.75,-4.0,1.0
4,xApvaV01StateLog_ES.csv,342,2026-04-09 12:35:00,3,3,-1.5,4.5,-4.25,1.0
4,xApvaV01StateLog_ES.csv,342,2026-04-09 12:35:00,4,4,2.0,4.5,-4.25,1.0
4,xApvaV01StateLog_ES.csv,342,2026-04-09 12:35:00,5,5,-4.75,4.5,-5.25,1.0
4,xApvaV01StateLog_ES.csv,342,2026-04-09 12:35:00,6,6,-7.75,4.5,-7.75,1.0
4,xApvaV01StateLog_ES.csv,342,2026-04-09 12:35:00,8,8,-7.5,4.5,-10.5,1.0
