Analysis,ValidationMode,Instrument,Proxy,Count,PearsonCorrelation,SpearmanCorrelation
CandidateMembershipWithinReferenceBase,Reference,All,DominantPressureValue,4005,0.05608194013438073,0.05387110819565851
CandidateMembershipWithinReferenceBase,Reference,All,PriorSlope_DominantPressureValue,4005,0.16749034355601325,0.23494223379962817
CandidateMembershipWithinReferenceBase,Reference,All,RollingEntropy,4005,0.07912622384019465,0.08179189149761426
CandidateMembershipWithinReferenceBase,Reference,All,RollingDirectionalPresence,4005,,
CandidateMembershipWithinReferenceBase,Reference,All,SponsorConfidence,4005,-0.027925195768683624,-0.02649956443638606
CandidateMembershipWithinReferenceBase,Reference,All,DominanceScore,4005,-0.01521011192934608,-0.019671461552939425
CandidateMembershipWithinReferenceBase,Reference,All,DegradationScore,4005,-0.042305714025222915,-0.04442163723296307
CandidateMembershipWithinReferenceBase,Reference,All,BalanceScore,4005,-0.04406556377428328,-0.052372576059661016
CandidateMembershipWithinReferenceBase,Reference,All,TransitionScore,4005,-0.010652741900179546,-0.0037781358377147055
CandidateMembershipWithinReferenceBase,Reference,All,AmbiguityScore,4005,-0.0242563436047093,-0.02884934946205168
CandidateMembershipWithinReferenceBase,Reference,All,Volume,211,0.006715300507656488,-0.054813657663615276
CandidateMembershipWithinReferenceBase,Reference,All,VolumeSMA,211,-0.026224645626224345,-0.0415756289501795
CandidateMembershipWithinReferenceBase,Reference,All,RelativeVolume,211,-0.008942443334420944,0.00537794205325705
CandidateMembershipWithinReferenceBase,Reference,All,VolumeZScore,211,0.026578992477034727,0.045712507452684924
CandidateMembershipWithinReferenceBase,Reference,All,SignedVolume,211,0.09902363724451137,0.11097304169884188
CandidateMembershipWithinReferenceBase,Reference,All,UpVolume,211,0.0819415858555025,0.09601172880361813
CandidateMembershipWithinReferenceBase,Reference,All,DownVolume,211,-0.0824675607739028,-0.13174987959629703
CandidateMembershipWithinReferenceBase,Reference,All,FlatVolume,211,0.04986492487814609,-0.0007183706900060984
CandidateMembershipWithinReferenceBase,Reference,All,UpDownVolumeDelta,211,0.09902363724451137,0.11097304169884188
CandidateMembershipWithinReferenceBase,Reference,All,SpyderDominantVolume,211,0.006175136830751134,-0.058329986885326465
CandidateMembershipWithinReferenceBase,Reference,All,SpyderNonDominantVolume,211,0.004920725138560917,-0.05181498241843117
CandidateMembershipWithinReferenceBase,Reference,All,SpyderDominantVolumeShare,211,-0.026383940031033497,-0.030823623585586477
CandidateMembershipWithinReferenceBase,Reference,All,SpyderNonDominantVolumeShare,211,0.026383940031033462,0.030823623585586477
OutcomeWithinPriorSlope_Q3,Reference,All,DominantPressureValue,815,-0.0021792415022503747,0.049129585614884015
OutcomeWithinPriorSlope_Q3,Reference,All,PriorSlope_DominantPressureValue,815,-0.035640265995683436,-0.018285608684480616
OutcomeWithinPriorSlope_Q3,Reference,All,RollingEntropy,815,0.03842323528785179,0.02288179122383192
OutcomeWithinPriorSlope_Q3,Reference,All,RollingDirectionalPresence,815,,
OutcomeWithinPriorSlope_Q3,Reference,All,SponsorConfidence,815,-0.056477236159355855,-0.01592038632452292
OutcomeWithinPriorSlope_Q3,Reference,All,DominanceScore,815,-0.019069199723065075,0.03070079278330883
OutcomeWithinPriorSlope_Q3,Reference,All,DegradationScore,815,0.01206842757244949,-0.04289397960646283
OutcomeWithinPriorSlope_Q3,Reference,All,BalanceScore,815,0.0330967026872843,-0.006880964999238124
OutcomeWithinPriorSlope_Q3,Reference,All,TransitionScore,815,-0.005505624979737877,-0.02293611391992406
OutcomeWithinPriorSlope_Q3,Reference,All,AmbiguityScore,815,0.008006177781249372,-0.01701693447513878
OutcomeWithinPriorSlope_Q3,Reference,All,Volume,36,-0.13320010768608379,-0.14931639890838513
OutcomeWithinPriorSlope_Q3,Reference,All,VolumeSMA,36,-0.11601531149056939,-0.02144162821694804
OutcomeWithinPriorSlope_Q3,Reference,All,RelativeVolume,36,-0.09173151224482513,-0.14492474011696205
OutcomeWithinPriorSlope_Q3,Reference,All,VolumeZScore,36,-0.10425947508662742,-0.12141644893934432
OutcomeWithinPriorSlope_Q3,Reference,All,SignedVolume,36,0.08694964592580215,0.047274915225319174
OutcomeWithinPriorSlope_Q3,Reference,All,UpVolume,36,0.004562077454010707,0.02540209626885794
OutcomeWithinPriorSlope_Q3,Reference,All,DownVolume,36,-0.13810219631561252,0.007697266511437845
OutcomeWithinPriorSlope_Q3,Reference,All,FlatVolume,36,-0.10806887760906755,-0.17146745734750835
OutcomeWithinPriorSlope_Q3,Reference,All,UpDownVolumeDelta,36,0.08694964592580215,0.047274915225319174
OutcomeWithinPriorSlope_Q3,Reference,All,SpyderDominantVolume,36,-0.12506492308301262,-0.1278747706914371
OutcomeWithinPriorSlope_Q3,Reference,All,SpyderNonDominantVolume,36,-0.0970098922276207,-0.21803294235065238
OutcomeWithinPriorSlope_Q3,Reference,All,SpyderDominantVolumeShare,36,-0.041881239480369724,0.05025221111355506
OutcomeWithinPriorSlope_Q3,Reference,All,SpyderNonDominantVolumeShare,36,0.04188123948036966,-0.05025221111355506
OutcomeWithinPriorSlope_Q3,Reference,ES,DominantPressureValue,280,-0.06330631967149071,0.030684467448531854
OutcomeWithinPriorSlope_Q3,Reference,ES,PriorSlope_DominantPressureValue,280,-0.0460647012607099,-0.01890964308259155
OutcomeWithinPriorSlope_Q3,Reference,ES,RollingEntropy,280,0.04111550994371497,0.017348887152039524
OutcomeWithinPriorSlope_Q3,Reference,ES,RollingDirectionalPresence,280,,
OutcomeWithinPriorSlope_Q3,Reference,ES,SponsorConfidence,280,-0.06383135816631448,-0.021708253233291844
OutcomeWithinPriorSlope_Q3,Reference,ES,DominanceScore,280,0.023569251659944265,0.05579527076235938
OutcomeWithinPriorSlope_Q3,Reference,ES,DegradationScore,280,0.036944583597210756,-0.02573959031012252
OutcomeWithinPriorSlope_Q3,Reference,ES,BalanceScore,280,0.040812806063384416,0.0016549707908600142
OutcomeWithinPriorSlope_Q3,Reference,ES,TransitionScore,280,-0.036567715371066505,-0.041268324347263394
OutcomeWithinPriorSlope_Q3,Reference,ES,AmbiguityScore,280,0.009793659016855825,-0.0013052382456570238
OutcomeWithinPriorSlope_Q3,Reference,ES,Volume,17,-0.14510606406054766,-0.1031944146797458
OutcomeWithinPriorSlope_Q3,Reference,ES,VolumeSMA,17,-0.0022115477789629774,0.0
OutcomeWithinPriorSlope_Q3,Reference,ES,RelativeVolume,17,-0.15348071660871018,-0.140049562779655
OutcomeWithinPriorSlope_Q3,Reference,ES,VolumeZScore,17,-0.0660529613742565,-0.009828039493309125
OutcomeWithinPriorSlope_Q3,Reference,ES,SignedVolume,17,0.25430015267145367,0.23832995771274623
OutcomeWithinPriorSlope_Q3,Reference,ES,UpVolume,17,0.1787398835494556,0.1439757745645821
OutcomeWithinPriorSlope_Q3,Reference,ES,DownVolume,17,-0.2544009924746764,-0.030258972169836668
OutcomeWithinPriorSlope_Q3,Reference,ES,FlatVolume,17,-0.2340258493344714,-0.2557828705118672
OutcomeWithinPriorSlope_Q3,Reference,ES,UpDownVolumeDelta,17,0.25430015267145367,0.23832995771274623
OutcomeWithinPriorSlope_Q3,Reference,ES,SpyderDominantVolume,17,-0.23623980984993354,-0.21130284910614613
OutcomeWithinPriorSlope_Q3,Reference,ES,SpyderNonDominantVolume,17,0.06633167527837248,0.09828039493309124
OutcomeWithinPriorSlope_Q3,Reference,ES,SpyderDominantVolumeShare,17,-0.16624096638389796,-0.15857433226151868
OutcomeWithinPriorSlope_Q3,Reference,ES,SpyderNonDominantVolumeShare,17,0.16624096638389776,0.15857433226151868
OutcomeWithinPriorSlope_Q3,Reference,NQ,DominantPressureValue,535,0.05099706892635117,0.059224496785554685
OutcomeWithinPriorSlope_Q3,Reference,NQ,PriorSlope_DominantPressureValue,535,-0.02032875806929622,-0.023002557261814233
OutcomeWithinPriorSlope_Q3,Reference,NQ,RollingEntropy,535,0.028772894537235357,0.027246038737190004
OutcomeWithinPriorSlope_Q3,Reference,NQ,RollingDirectionalPresence,535,,
OutcomeWithinPriorSlope_Q3,Reference,NQ,SponsorConfidence,535,-0.04125677741357091,-0.011279046747006943
OutcomeWithinPriorSlope_Q3,Reference,NQ,DominanceScore,535,-0.029471660453465907,0.013839785526329343
OutcomeWithinPriorSlope_Q3,Reference,NQ,DegradationScore,535,-0.014247191408066294,-0.05103466269185851
OutcomeWithinPriorSlope_Q3,Reference,NQ,BalanceScore,535,0.025188382192448264,-0.011453699619684886
OutcomeWithinPriorSlope_Q3,Reference,NQ,TransitionScore,535,0.018300937336028604,-0.012051456187797469
OutcomeWithinPriorSlope_Q3,Reference,NQ,AmbiguityScore,535,0.00108776022235133,-0.026623145630541092
OutcomeWithinPriorSlope_Q3,Reference,NQ,Volume,19,-0.0952381106076911,0.05726927816914768
OutcomeWithinPriorSlope_Q3,Reference,NQ,VolumeSMA,19,-0.10230068420709182,0.1691646370534824
OutcomeWithinPriorSlope_Q3,Reference,NQ,RelativeVolume,19,-0.07359146915210603,-0.16475930796354793
OutcomeWithinPriorSlope_Q3,Reference,NQ,VolumeZScore,19,-0.10089206855276371,-0.21145579631685296
OutcomeWithinPriorSlope_Q3,Reference,NQ,SignedVolume,19,-0.02970097995008488,0.0422911592633706
OutcomeWithinPriorSlope_Q3,Reference,NQ,UpVolume,19,-0.06166656836191926,0.06222283677179307
OutcomeWithinPriorSlope_Q3,Reference,NQ,DownVolume,19,-0.07867180251663748,-0.028983823272611314
OutcomeWithinPriorSlope_Q3,Reference,NQ,FlatVolume,19,,
OutcomeWithinPriorSlope_Q3,Reference,NQ,UpDownVolumeDelta,19,-0.02970097995008488,0.0422911592633706
OutcomeWithinPriorSlope_Q3,Reference,NQ,SpyderDominantVolume,19,-0.011202899785705024,0.14449479414984953
OutcomeWithinPriorSlope_Q3,Reference,NQ,SpyderNonDominantVolume,19,-0.4247394931531839,-0.3171836944752795
OutcomeWithinPriorSlope_Q3,Reference,NQ,SpyderDominantVolumeShare,19,0.041716445273876114,0.18774938351835485
OutcomeWithinPriorSlope_Q3,Reference,NQ,SpyderNonDominantVolumeShare,19,-0.04171644527387615,-0.18774938351835485
OutcomeWithinPriorSlope_Q3,Spacing_10,All,DominantPressureValue,632,-0.002935301215703711,0.05453353880379838
OutcomeWithinPriorSlope_Q3,Spacing_10,All,PriorSlope_DominantPressureValue,632,-0.018328059351276484,-0.002611847166840171
OutcomeWithinPriorSlope_Q3,Spacing_10,All,RollingEntropy,632,0.015550336606807788,0.008254248006316016
OutcomeWithinPriorSlope_Q3,Spacing_10,All,RollingDirectionalPresence,632,,
OutcomeWithinPriorSlope_Q3,Spacing_10,All,SponsorConfidence,632,-0.05112662792800868,-0.013795003056056562
OutcomeWithinPriorSlope_Q3,Spacing_10,All,DominanceScore,632,-0.030708778631239397,0.004862292354079694
OutcomeWithinPriorSlope_Q3,Spacing_10,All,DegradationScore,632,0.01727578871705518,-0.04034232360315585
OutcomeWithinPriorSlope_Q3,Spacing_10,All,BalanceScore,632,0.02652552106685175,-0.011433344214646661
OutcomeWithinPriorSlope_Q3,Spacing_10,All,TransitionScore,632,-0.014887656107325453,-0.02344131260082268
OutcomeWithinPriorSlope_Q3,Spacing_10,All,AmbiguityScore,632,0.00020486060427327843,-0.019644553236945552
OutcomeWithinPriorSlope_Q3,Spacing_10,All,Volume,34,-0.0955482784148637,-0.11719689762725731
OutcomeWithinPriorSlope_Q3,Spacing_10,All,VolumeSMA,34,-0.08629407285991901,0.03293769018282395
OutcomeWithinPriorSlope_Q3,Spacing_10,All,RelativeVolume,34,-0.07773778703653177,-0.11168174950362166
OutcomeWithinPriorSlope_Q3,Spacing_10,All,VolumeZScore,34,-0.07394865229641166,-0.06970534434039487
OutcomeWithinPriorSlope_Q3,Spacing_10,All,SignedVolume,34,0.03538660734292687,-0.04672556049191304
OutcomeWithinPriorSlope_Q3,Spacing_10,All,UpVolume,34,-0.013865981433586784,-0.04676289238937847
OutcomeWithinPriorSlope_Q3,Spacing_10,All,DownVolume,34,-0.07706279558999052,0.11373062249632615
OutcomeWithinPriorSlope_Q3,Spacing_10,All,FlatVolume,34,-0.11226465080707607,-0.1868083528748442
OutcomeWithinPriorSlope_Q3,Spacing_10,All,UpDownVolumeDelta,34,0.03538660734292687,-0.04672556049191304
OutcomeWithinPriorSlope_Q3,Spacing_10,All,SpyderDominantVolume,34,-0.08351611239769297,-0.09636189360463378
OutcomeWithinPriorSlope_Q3,Spacing_10,All,SpyderNonDominantVolume,34,-0.07948888405944687,-0.1824594837569457
OutcomeWithinPriorSlope_Q3,Spacing_10,All,SpyderDominantVolumeShare,34,-0.01868518619794602,0.08618735886558616
OutcomeWithinPriorSlope_Q3,Spacing_10,All,SpyderNonDominantVolumeShare,34,0.018685186197945992,-0.08618735886558616
OutcomeWithinPriorSlope_Q3,Spacing_10,ES,DominantPressureValue,226,-0.08569639910184275,-0.005682551438391023
OutcomeWithinPriorSlope_Q3,Spacing_10,ES,PriorSlope_DominantPressureValue,226,-0.05446500548709114,-0.05867248217522901
