ValidationMode,Cohort,Proxy,Count,AvailableCount,Mean,Median,Std,Q25,Q75,PositiveFraction
Reference,PriorSlope_Q3,DominantPressureValue,1157,1157,0.6811224327156489,0.6893155878467636,0.06243486328301478,0.6638123830209416,0.6968114125131533,1.0
Reference,PriorSlope_Q3,PriorSlope_DominantPressureValue,1157,1157,0.03253947943638656,0.0294344121526052,0.014120005592257573,0.0232730803683738,0.0470088727433749,1.0
Reference,PriorSlope_Q3,RollingEntropy,1157,1157,1.1922360251715332,1.2954618442339936,0.1593444383451145,1.1567796494427114,1.2954618442339936,1.0
Reference,PriorSlope_Q3,RollingDirectionalPresence,1157,1157,0.0,0.0,0.0,0.0,0.0,0.0
Reference,PriorSlope_Q3,SponsorConfidence,1157,1157,0.3754105445116681,0.2,0.20176112582863306,0.2,0.6,1.0
Reference,PriorSlope_Q3,DominanceScore,1157,1157,0.15712964563526363,0.137,0.1334774080943555,0.05,0.236,0.8530682800345721
Reference,PriorSlope_Q3,DegradationScore,1157,1157,0.7232437337942956,0.729,0.1816127655144633,0.594,0.871,1.0
Reference,PriorSlope_Q3,BalanceScore,1157,1157,0.5170267934312879,0.515,0.12324109971374671,0.435,0.588,1.0
Reference,PriorSlope_Q3,TransitionScore,1157,1157,0.1693180639585134,0.167,0.06058110289588999,0.127,0.214,0.9991356957649092
Reference,PriorSlope_Q3,AmbiguityScore,1157,1157,0.49566983578219537,0.474,0.1531138501406839,0.385,0.608,1.0
Reference,PriorSlope_Q3,Volume,1157,378,8225.222222222223,3833.0,15842.020183494682,380.75,9421.5,1.0
Reference,PriorSlope_Q3,VolumeSMA,1157,378,7270.309391534391,5287.45,7317.421549862561,886.7,11190.9,1.0
Reference,PriorSlope_Q3,RelativeVolume,1157,378,1.041216548117725,0.8523808649,0.9767456249849455,0.598764156225,1.144189059675,1.0
Reference,PriorSlope_Q3,VolumeZScore,1157,378,-0.07826899483730157,-0.30059859894999996,1.0513832736402275,-0.78214793325,0.2800560069,0.3492063492063492
Reference,PriorSlope_Q3,SignedVolume,1157,378,196.16931216931218,45.5,17767.148648295282,-2746.25,3770.0,0.5132275132275133
Reference,PriorSlope_Q3,UpVolume,1157,378,4062.4391534391534,45.5,13010.655538903135,0.0,3770.0,0.5132275132275133
Reference,PriorSlope_Q3,DownVolume,1157,378,3866.2698412698414,0.0,10719.053971489435,0.0,2746.25,0.4312169312169312
Reference,PriorSlope_Q3,FlatVolume,1157,378,296.5132275132275,0.0,1733.5021071598057,0.0,0.0,0.05555555555555555
Reference,PriorSlope_Q3,UpDownVolumeDelta,1157,378,196.16931216931218,45.5,17767.148648295282,-2746.25,3770.0,0.5132275132275133
Reference,PriorSlope_Q3,SpyderDominantVolume,1157,378,5380.264864778982,2244.42791005295,10901.461030023673,232.97120596210002,5798.549019607824,1.0
Reference,PriorSlope_Q3,SpyderNonDominantVolume,1157,378,2844.9573574432447,1302.60344827585,5596.697420913492,120.234848484825,3435.572355289425,0.9656084656084656
Reference,PriorSlope_Q3,SpyderDominantVolumeShare,1157,378,0.6284128778510581,0.6,0.1388006912770773,0.5333333333,0.71012443435,1.0
Reference,PriorSlope_Q3,SpyderNonDominantVolumeShare,1157,378,0.3715871221489418,0.4,0.1388006912770773,0.28987556565,0.4666666667,0.9656084656084656
Reference,Base_NotPriorSlope_Q3,DominantPressureValue,4551,4551,0.6701075572985677,0.6690336347353755,0.09187113787478712,0.6412558569575977,0.7088082076871509,1.0
Reference,Base_NotPriorSlope_Q3,PriorSlope_DominantPressureValue,4551,4551,-0.04973133545618564,-0.0194444444444443,0.20024715779565264,-0.1278886005207385,0.07372319323516,0.34014502307185235
Reference,Base_NotPriorSlope_Q3,RollingEntropy,4551,4551,1.1357853699974967,1.1567796494427114,0.16902211626508823,0.9709505944517832,1.2954618442339936,1.0
Reference,Base_NotPriorSlope_Q3,RollingDirectionalPresence,4551,4551,0.0,0.0,0.0,0.0,0.0,0.0
Reference,Base_NotPriorSlope_Q3,SponsorConfidence,4551,4551,0.39810964623159745,0.45,0.21058382804575068,0.2,0.6,1.0
Reference,Base_NotPriorSlope_Q3,DominanceScore,4551,4551,0.1692291803999121,0.151,0.13739584423937715,0.06,0.25,0.8659635245001098
Reference,Base_NotPriorSlope_Q3,DegradationScore,4551,4551,0.7465664689079323,0.759,0.1853983994401764,0.609,0.906,1.0
Reference,Base_NotPriorSlope_Q3,BalanceScore,4551,4551,0.5329402329158427,0.544,0.11932968804571892,0.4615,0.593,1.0
Reference,Base_NotPriorSlope_Q3,TransitionScore,4551,4551,0.17278642056690835,0.169,0.06309565457737545,0.127,0.216,0.996923753021314
Reference,Base_NotPriorSlope_Q3,AmbiguityScore,4551,4551,0.5075803120193364,0.492,0.1507411247152883,0.405,0.612,1.0
Reference,Base_NotPriorSlope_Q3,Volume,4551,1536,7277.345052083333,4057.5,10658.643077192577,478.5,9686.75,1.0
Reference,Base_NotPriorSlope_Q3,VolumeSMA,4551,1536,7236.224707031251,5208.725,7152.158701569278,909.075,11376.5,1.0
Reference,Base_NotPriorSlope_Q3,RelativeVolume,4551,1536,1.0230234923188801,0.83932520305,0.857473514391408,0.57861273085,1.2308574022,1.0
Reference,Base_NotPriorSlope_Q3,VolumeZScore,4551,1536,-0.08644084957363281,-0.31922621409999996,1.0523076624066314,-0.80536405405,0.400365681175,0.3671875
Reference,Base_NotPriorSlope_Q3,SignedVolume,4551,1536,-161.08658854166666,0.0,12645.121589993601,-3411.25,3483.5,0.478515625
Reference,Base_NotPriorSlope_Q3,UpVolume,4551,1536,3375.1451822916665,0.0,7517.9343376550405,0.0,3483.5,0.478515625
Reference,Base_NotPriorSlope_Q3,DownVolume,4551,1536,3536.2317708333335,0.0,8915.919537381526,0.0,3411.25,0.4440104166666667
Reference,Base_NotPriorSlope_Q3,FlatVolume,4551,1536,365.9680989583333,0.0,2557.701897990002,0.0,0.0,0.07747395833333333
Reference,Base_NotPriorSlope_Q3,UpDownVolumeDelta,4551,1536,-161.08658854166666,0.0,12645.121589993601,-3411.25,3483.5,0.478515625
Reference,Base_NotPriorSlope_Q3,SpyderDominantVolume,4551,1536,4771.439664325954,2334.76219512195,8035.793190001627,290.419021739125,5910.18707044675,1.0
Reference,Base_NotPriorSlope_Q3,SpyderNonDominantVolume,4551,1536,2505.9053877573815,1332.8255755756,3606.964721223517,102.5625,3504.03846153845,0.9557291666666666
Reference,Base_NotPriorSlope_Q3,SpyderDominantVolumeShare,4551,1536,0.6261033793228515,0.6,0.1453357593910643,0.53125,0.7078525641,1.0
Reference,Base_NotPriorSlope_Q3,SpyderNonDominantVolumeShare,4551,1536,0.3738966206771484,0.4,0.1453357593910643,0.2921474359,0.46875,0.9557291666666666
Spacing_10,PriorSlope_Q3,DominantPressureValue,552,552,0.6748257425100802,0.6893155878467636,0.043517512647633094,0.6638123830209416,0.6968114125131533,1.0
Spacing_10,PriorSlope_Q3,PriorSlope_DominantPressureValue,552,552,0.03138647217480024,0.0293800161457843,0.013659222880056106,0.0222222222222222,0.0434822545132497,1.0
Spacing_10,PriorSlope_Q3,RollingEntropy,552,552,1.2381343356197154,1.2954618442339936,0.12241831275646846,1.2954618442339936,1.2954618442339936,1.0
Spacing_10,PriorSlope_Q3,RollingDirectionalPresence,552,552,0.0,0.0,0.0,0.0,0.0,0.0
Spacing_10,PriorSlope_Q3,SponsorConfidence,552,552,0.366304347826087,0.2,0.20343359712302284,0.2,0.6,1.0
Spacing_10,PriorSlope_Q3,DominanceScore,552,552,0.14558876811594204,0.1315,0.11508227665427728,0.056,0.216,0.8641304347826086
Spacing_10,PriorSlope_Q3,DegradationScore,552,552,0.7415253623188406,0.7515000000000001,0.17402154593079658,0.61325,0.891,1.0
Spacing_10,PriorSlope_Q3,BalanceScore,552,552,0.5298605072463768,0.52,0.11976980536755565,0.4515,0.60775,1.0
Spacing_10,PriorSlope_Q3,TransitionScore,552,552,0.1776195652173913,0.174,0.060689296913732795,0.13575,0.22025,1.0
Spacing_10,PriorSlope_Q3,AmbiguityScore,552,552,0.5160489130434783,0.4845,0.1524549362435447,0.4,0.66,1.0
Spacing_10,PriorSlope_Q3,Volume,552,218,8973.422018348623,4197.0,18587.156569572904,505.0,10221.25,1.0
Spacing_10,PriorSlope_Q3,VolumeSMA,552,218,7387.868119266055,5668.35,6983.316818214155,1142.0125,11639.275000000001,1.0
Spacing_10,PriorSlope_Q3,RelativeVolume,552,218,1.0753240125018348,0.8690000067,1.0797746101124543,0.593324062975,1.15207734425,1.0
Spacing_10,PriorSlope_Q3,VolumeZScore,552,218,-0.04945216027752294,-0.30243721884999997,1.0663582855453138,-0.7936801129750001,0.32580654929999997,0.3669724770642202
Spacing_10,PriorSlope_Q3,SignedVolume,552,218,1220.711009174312,48.5,20519.089860969736,-2490.0,4398.5,0.5137614678899083
Spacing_10,PriorSlope_Q3,UpVolume,552,218,4939.894495412844,48.5,16215.942422721542,0.0,4398.5,0.5137614678899083
Spacing_10,PriorSlope_Q3,DownVolume,552,218,3719.183486238532,0.0,11007.369411766796,0.0,2490.0,0.43577981651376146
Spacing_10,PriorSlope_Q3,FlatVolume,552,218,314.3440366972477,0.0,1935.5732943672012,0.0,0.0,0.05045871559633028
Spacing_10,PriorSlope_Q3,UpDownVolumeDelta,552,218,1220.711009174312,48.5,20519.089860969736,-2490.0,4398.5,0.5137614678899083
Spacing_10,PriorSlope_Q3,SpyderDominantVolume,552,218,5849.319099471383,2429.0884615384502,12724.158415706763,262.595454545475,6224.43226600985,1.0
Spacing_10,PriorSlope_Q3,SpyderNonDominantVolume,552,218,3124.102918877244,1465.06408544725,6528.613812835524,195.874999999975,3682.696774193575,0.9724770642201835
Spacing_10,PriorSlope_Q3,SpyderDominantVolumeShare,552,218,0.6246710724256881,0.6,0.1396381152403805,0.5333333333,0.7053376906,1.0
Spacing_10,PriorSlope_Q3,SpyderNonDominantVolumeShare,552,218,0.37532892757431197,0.4,0.1396381152403805,0.2946623094,0.4666666667,0.9724770642201835
Spacing_10,Base_NotPriorSlope_Q3,DominantPressureValue,2309,2309,0.6754504522087422,0.6810304299093731,0.0964871282005766,0.6412558569575977,0.7365859854649287,1.0
Spacing_10,Base_NotPriorSlope_Q3,PriorSlope_DominantPressureValue,2309,2309,-0.08102474555114163,-0.0285425074785701,0.22790020982092704,-0.1739332275534366,0.0735383321447794,0.35036812472932005
Spacing_10,Base_NotPriorSlope_Q3,RollingEntropy,2309,2309,1.127329119984699,1.1567796494427114,0.17286984217973966,0.9219280948830342,1.2954618442339936,1.0
Spacing_10,Base_NotPriorSlope_Q3,RollingDirectionalPresence,2309,2309,0.0,0.0,0.0,0.0,0.0,0.0
