DataScope,Breakdown,ValidationMode,Regime,Instrument,Cohort,Field,Count,AvailableCount,Mean,Median,Std,Q25,Q75,PositiveFraction
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,PriorSlope_Q3,Volume,378,378,8225.222222222223,3833.0,15842.020183494682,380.75,9421.5,1.0
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,PriorSlope_Q3,VolumeSMA,378,378,7270.309391534391,5287.45,7317.421549862561,886.7,11190.9,1.0
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,PriorSlope_Q3,RelativeVolume,378,378,1.041216548117725,0.8523808649,0.9767456249849455,0.598764156225,1.144189059675,1.0
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,PriorSlope_Q3,VolumeZScore,378,378,-0.07826899483730157,-0.30059859894999996,1.0513832736402275,-0.78214793325,0.2800560069,0.3492063492063492
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,PriorSlope_Q3,SignedVolume,378,378,196.16931216931218,45.5,17767.148648295282,-2746.25,3770.0,0.5132275132275133
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,PriorSlope_Q3,UpVolume,378,378,4062.4391534391534,45.5,13010.655538903135,0.0,3770.0,0.5132275132275133
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,PriorSlope_Q3,DownVolume,378,378,3866.2698412698414,0.0,10719.053971489435,0.0,2746.25,0.4312169312169312
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,PriorSlope_Q3,FlatVolume,378,378,296.5132275132275,0.0,1733.5021071598057,0.0,0.0,0.05555555555555555
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,PriorSlope_Q3,UpDownVolumeDelta,378,378,196.16931216931218,45.5,17767.148648295282,-2746.25,3770.0,0.5132275132275133
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,Base_NotPriorSlope_Q3,Volume,1536,1536,7277.345052083333,4057.5,10658.643077192577,478.5,9686.75,1.0
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,Base_NotPriorSlope_Q3,VolumeSMA,1536,1536,7236.224707031251,5208.725,7152.158701569278,909.075,11376.5,1.0
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,Base_NotPriorSlope_Q3,RelativeVolume,1536,1536,1.0230234923188801,0.83932520305,0.857473514391408,0.57861273085,1.2308574022,1.0
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,Base_NotPriorSlope_Q3,VolumeZScore,1536,1536,-0.08644084957363281,-0.31922621409999996,1.0523076624066314,-0.80536405405,0.400365681175,0.3671875
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,Base_NotPriorSlope_Q3,SignedVolume,1536,1536,-161.08658854166666,0.0,12645.121589993601,-3411.25,3483.5,0.478515625
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,Base_NotPriorSlope_Q3,UpVolume,1536,1536,3375.1451822916665,0.0,7517.9343376550405,0.0,3483.5,0.478515625
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,Base_NotPriorSlope_Q3,DownVolume,1536,1536,3536.2317708333335,0.0,8915.919537381526,0.0,3411.25,0.4440104166666667
VolumeAvailableSubset,AllAvailableRows,Reference,All,All,Base_NotPriorSlope_Q3,FlatVolume,1536,1536,365.9680989583333,0.0,2557.701897990002,0.0,0.0,0.07747395833333333
