SourceType,SourcePath,Field,FeatureFamily,Present,ColumnName
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,DominantPressureValue,NumericStateProxy,True,DominantPressureValue
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,PriorSlope_DominantPressureValue,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,RollingEntropy,NumericStateProxy,True,RollingEntropy
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,RollingDirectionalPresence,NumericStateProxy,True,RollingDirectionalPresence
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,SponsorConfidence,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,DominanceScore,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,DegradationScore,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,BalanceScore,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,TransitionScore,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,AmbiguityScore,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,MacroState,CategoricalStateProxy,True,MacroState
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,SponsorState,CategoricalStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,SequencePhase,CategoricalStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,Volume,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,VolumeSMA,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,RelativeVolume,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,VolumeZScore,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,SignedVolume,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,UpVolume,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,DownVolume,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,FlatVolume,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,UpDownVolumeDelta,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,SpyderDominantVolume,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,SpyderNonDominantVolume,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,SpyderDominantVolumeShare,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,SpyderNonDominantVolumeShare,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,BarDirection,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,SpyderNonDominantColor,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_032024_generated.csv,SpyderSplitMethod,ExplicitVolume,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_062016_generated.csv,DominantPressureValue,NumericStateProxy,True,DominantPressureValue
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_062016_generated.csv,PriorSlope_DominantPressureValue,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_062016_generated.csv,RollingEntropy,NumericStateProxy,True,RollingEntropy
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_062016_generated.csv,RollingDirectionalPresence,NumericStateProxy,True,RollingDirectionalPresence
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_062016_generated.csv,SponsorConfidence,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_062016_generated.csv,DominanceScore,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_062016_generated.csv,DegradationScore,NumericStateProxy,False,
CanonicalDataset,tables/apva_forward_signed_return_dataset_es_nq_062016_generated.csv,BalanceScore,NumericStateProxy,False,
