Metric,Value
report_scope,diagnostic-only participation-state description of frozen PriorSlope_DominantPressureValue_Q3
frozen_rule,0.004718046888521732 <= PriorSlope_DominantPressureValue <= 0.05505235072964343
candidate_rules_changed,False
thresholds_changed,False
explicit_volume_present,True
explicit_volume_fields_found,"BarDirection,DownVolume,FlatVolume,RelativeVolume,SignedVolume,SpyderDominantVolume,SpyderDominantVolumeShare,SpyderNonDominantColor,SpyderNonDominantVolume,SpyderNonDominantVolumeShare,SpyderSplitMethod,UpDownVolumeDelta,UpVolume,Volume,VolumeSMA,VolumeZScore"
available_numeric_participation_proxies,"DominantPressureValue,PriorSlope_DominantPressureValue,RollingEntropy,RollingDirectionalPresence,SponsorConfidence,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,Volume,VolumeSMA,RelativeVolume,VolumeZScore,SignedVolume,UpVolume,DownVolume,FlatVolume,UpDownVolumeDelta,SpyderDominantVolume,SpyderNonDominantVolume,SpyderDominantVolumeShare,SpyderNonDominantVolumeShare"
available_categorical_participation_proxies,"MacroState,SponsorState,SequencePhase"
reference_count,1324
prior_slope_direction,rising_positive_by_frozen_rule
reference_prior_slope_min,0.0047180468885217
reference_prior_slope_max,0.0550523507296434
reference_entropy_mean,1.1985706976181392
reference_entropy_median,1.2954618442339936
reference_base_not_prior_entropy_mean,1.1348516752342552
reference_prior_minus_base_not_prior_entropy_mean,0.06371902238388394
reference_es_mean_outcome,0.22105526329123704
reference_nq_mean_outcome,0.1066658935123791
reference_positive_regime_instrument_fraction,0.6842105263157895
reference_macrostate_category_count,2
reference_max_macrostate_entry_share,0.9780966767371602
reference_sponsorstate_category_count,10
reference_max_sponsorstate_entry_share,0.5332326283987915
reference_sequencephase_category_count,4
reference_max_sequencephase_entry_share,0.3648036253776435
strongest_membership_proxy_by_absolute_spearman,PriorSlope_DominantPressureValue
strongest_membership_proxy_spearman,0.2443169211036124
strongest_nondefinitional_membership_proxy,RollingEntropy
strongest_nondefinitional_membership_proxy_spearman,0.15816404014014698
strongest_reference_outcome_proxy_within_candidate,VolumeZScore
strongest_reference_outcome_proxy_spearman,0.07174485457367008
