Cluster,Transition,MeanPriorRunLength,MeanEntropicCompression,MeanExpansionPressure,MeanIncubationQuality,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct
0,Unknown->Unresolved,3.0,0.214,0.297,0.541,20.5,0.0,0.0
1,Balance->Degrading,2.0,0.707,0.494,0.33,1.5,50.0,0.0
1,Balance->Unresolved,1.4,0.693,0.284,0.092,7.26,21.05,0.0
1,Degrading->Balance,1.6,0.576,0.461,0.41,1.0,100.0,0.0
1,Degrading->Unresolved,2.06,0.573,0.479,0.367,5.53,29.41,0.0
1,Unresolved->Balance,4.26,0.697,0.308,0.124,1.63,63.16,0.0
1,Unresolved->Degrading,7.27,0.612,0.408,0.267,1.82,63.64,0.0
2,Unresolved->Directional,13.75,0.472,0.394,0.378,3.13,25.0,75.0
3,Degrading->Directional,1.67,0.503,0.574,0.594,1.67,66.67,33.33
3,Directional->Degrading,2.7,0.333,0.612,0.741,2.2,70.0,0.0
3,Directional->Unresolved,3.0,0.315,0.451,0.59,2.0,0.0,0.0
3,Unresolved->Unknown,4.0,0.13,0.447,0.763,3.0,0.0,0.0
