Instrument,ResolvedArchetype,Rows,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,MeanEntropy,MeanVelocity
6E,Directional Continuation / Sponsor Release,297,0.4030214408558821,0.23428030303030303,0.2541875794339864,0.34949423890959236,1.1870752026577227,0.27424242424242423
6E,Pure Unresolved Compression Equilibrium,2766,0.17024095264740371,0.02483028038884872,0.7921800360124305,0.24712111923648056,0.8085637398398465,0.19864224311078976
6E,Sponsor Exhaustion Collapse,901,0.11510266453623089,0.14829543452601168,0.18890106378408197,0.43032600019645206,1.3703469895785174,0.38646213202262036
6E,Stable Compression Basin,1647,0.08208372582381214,0.057255616272009716,0.609554176510659,0.47176934800909115,1.4221884154791145,0.458544154354719
6E,Unstable Rotational Balance,456,0.0756889878228637,0.05864400584795322,0.1471507438140911,0.7320484200424939,1.5016189717890511,0.4710038986354776
ES,Directional Continuation / Sponsor Release,214,0.44758941548624065,0.23228262683578105,0.27395313194493176,0.3290209183539413,1.1122283294997042,0.2582610146862483
ES,Pure Unresolved Compression Equilibrium,1474,0.18677594475562634,0.021221543796170663,0.8215644602053517,0.21116693413276919,0.6949052435441616,0.16983265490728175
ES,Sponsor Exhaustion Collapse,392,0.1312859869995561,0.1470592403628118,0.19719092704232502,0.4212227700910915,1.347529366549932,0.37670068027210885
ES,Stable Compression Basin,732,0.08383011134214527,0.05741879174256223,0.6059174925967549,0.4722456672289053,1.4385107675875684,0.459471766848816
ES,Unstable Rotational Balance,333,0.08283912524008862,0.05809976643309976,0.14983463820274515,0.7253618827401751,1.4934955540841641,0.4647981314647981
NQ,Directional Continuation / Sponsor Release,612,0.4313748324441102,0.23097766884531593,0.27220489943333365,0.3284239195214585,1.122103525117115,0.2478213507625272
NQ,Pure Unresolved Compression Equilibrium,4067,0.17840982495191515,0.023041144168510778,0.8051269567558575,0.23081190084224545,0.7620447047532285,0.18432915334808622
NQ,Sponsor Exhaustion Collapse,1406,0.10852544750533626,0.15170697012802276,0.17323777368053475,0.448640528011917,1.42170625492721,0.41378220325588744
NQ,Stable Compression Basin,2565,0.08262206043080131,0.058160060645440756,0.6077632127309298,0.47282334067024884,1.426669797017041,0.4654537578514187
NQ,Unstable Rotational Balance,1188,0.0854362922885313,0.05709642723531612,0.1636710766699384,0.7119915328149612,1.4105992472052034,0.45707070707070707
