Instrument,HorizonBars,ForecastQuality,Rows,TotalSupport,MeanFutureDirectionalProbability,MeanBaseline,MeanDirectionalLift,MeanDirectionalEdge
6E,5,ModerateNegativeLift,1,1300,0.0276923076923076,0.048498845265588855,0.5709890109890098,-0.020806537573281256
6E,5,ModeratePositiveLift,1,137,0.0802919708029197,0.048498845265588855,1.6555439694125842,0.03179312553733084
6E,5,Neutral,4,3337,0.045650320769853474,0.048498845265588855,0.9412661377784085,-0.0028485244957353814
6E,5,StrongNegativeLift,2,1075,0.011969904240766,0.048498845265588855,0.24680802553579448,-0.03652894102482286
6E,5,StrongPositiveLift,1,158,0.1455696202531645,0.048498845265588855,3.001506931886681,0.09707077498757564
6E,10,Neutral,5,4854,0.04087375233212804,0.048208684167079414,0.8478504036839025,-0.007334931834951375
6E,10,StrongNegativeLift,3,990,0.012513600610619534,0.048208684167079414,0.2595715030771319,-0.03569508355645988
6E,10,StrongPositiveLift,1,158,0.1139240506329113,0.048208684167079414,2.363143748916246,0.0657153664658319
6E,20,ModerateNegativeLift,1,726,0.0275482093663911,0.04828840747478085,0.5704932261594763,-0.020740198108389753
6E,20,ModeratePositiveLift,1,156,0.0897435897435897,0.04828840747478085,1.858491394450299,0.04145518226880885
6E,20,Neutral,6,4971,0.04423894469556699,0.04828840747478085,0.9161400636099101,-0.00404946277921387
6E,20,StrongNegativeLift,1,139,0.014388489208633,0.04828840747478085,0.29796984330343773,-0.033899918266147855
ES,5,ModerateNegativeLift,1,549,0.0455373406193078,0.06815286624203817,0.6681647174982551,-0.02261552562273037
ES,5,Neutral,1,1408,0.0901988636363636,0.06815286624203817,1.3234786533559901,0.02204599739432543
ES,5,StrongNegativeLift,5,941,0.026548273303017438,0.06815286624203817,0.3895400849134337,-0.04160459293902073
ES,5,StrongPositiveLift,2,212,0.1751013099613608,0.06815286624203817,2.5692435199938,0.10694844371932262
ES,10,ModerateNegativeLift,3,801,0.0365718999386126,0.06730462519936199,0.5433787028793867,-0.030732725260749393
ES,10,ModeratePositiveLift,1,131,0.1145038167938931,0.06730462519936199,1.7012770883831996,0.047199191594531106
ES,10,Neutral,3,2020,0.06658966033966031,0.06730462519936199,0.9893771808759961,-0.0007149648597016903
ES,10,StrongNegativeLift,1,72,0.0138888888888888,0.06730462519936199,0.20635860979462758,-0.053415736310473194
ES,10,StrongPositiveLift,1,81,0.1604938271604938,0.06730462519936199,2.3845883798490446,0.0931892019611318
ES,20,ModerateNegativeLift,1,66,0.0454545454545454,0.06719999999999997,0.6764069264069259,-0.021745454545454568
ES,20,Neutral,6,2826,0.06715147669386189,0.06719999999999997,0.9992779269919928,-4.852330613808534e-05
ES,20,StrongNegativeLift,2,203,0.02533927056827815,0.06719999999999997,0.37707247869461546,-0.04186072943172182
NQ,5,ModerateNegativeLift,1,1968,0.0386178861788617,0.06223939794569302,0.6204733248312867,-0.02362151176683132
NQ,5,ModeratePositiveLift,1,3869,0.1013181700697854,0.06223939794569302,1.6278783763009816,0.03907877212409238
NQ,5,Neutral,1,243,0.0699588477366255,0.06223939794569302,1.124028349336992,0.0077194497909324825
NQ,5,StrongNegativeLift,5,3304,0.01879863055910318,0.06223939794569302,0.30203747432624467,-0.04344076738658984
NQ,5,StrongPositiveLift,1,367,0.1580381471389645,0.06223939794569302,2.5391978771526786,0.09579874919327147
NQ,10,ModerateNegativeLift,3,1888,0.0338072003759311,0.062271062271062216,0.542903864860541,-0.028463861895131115
NQ,10,ModeratePositiveLift,1,3864,0.1037784679089026,0.062271062271062216,1.6665601023017904,0.04150740563784039
NQ,10,Neutral,3,2578,0.046592533153777003,0.062271062271062216,0.7482212677047725,-0.015678529117285216
NQ,10,StrongNegativeLift,2,1416,0.025355979308504098,0.062271062271062216,0.40718719713068385,-0.03691508296255812
NQ,20,Neutral,8,9592,0.05898127967570525,0.062334487675697665,0.9462062154511021,-0.0033532079999924157
NQ,20,StrongNegativeLift,1,144,0.0277777777777777,0.062334487675697665,0.44562454611474117,-0.034556709897919966
