Instrument,HorizonBars,SignificanceClass,Rows,TotalSupport,MeanLift,MeanEdge,MeanZScore
6E,5,NotSignificant,2,259,0.8004096722621902,-0.00967990042146415,-0.5179766441303969
6E,5,SignificantNegative,3,2375,0.35486835402019956,-0.03128813987430893,-3.7433749396495277
6E,5,SignificantPositive,2,2803,2.22573321209511,0.0594466453902939,5.452254592704049
6E,5,WeakEvidence,2,570,1.1849148418491495,0.008968156302152752,0.19501963201521244
6E,10,NotSignificant,1,433,0.8623018760479608,-0.0066382453680032,-0.644857479430896
6E,10,SignificantNegative,3,2169,0.3678915226917989,-0.030473117941884533,-3.095620380680911
6E,10,SignificantPositive,2,2799,1.9002383976202708,0.04339930858595325,4.457165717984415
6E,10,WeakEvidence,3,601,0.5382190124010849,-0.022261853785518104,-1.3524434276682202
6E,20,NotSignificant,4,1033,0.8647515520034988,-0.0065309321671867,-0.40196776409913726
6E,20,SignificantNegative,1,726,0.5704932261594763,-0.0207401981083897,-2.6067962625466023
6E,20,SignificantPositive,2,2797,1.5330266954979086,0.0257390102671389,2.408992137997408
6E,20,WeakEvidence,2,1436,0.5641210102016918,-0.0210479022690765,-1.6206178042650525
ES,5,SignificantNegative,3,1171,0.4257523446078009,-0.039136623647748496,-2.908376411080226
ES,5,SignificantPositive,3,1620,2.153988564447863,0.07864762827765687,3.913901604771427
ES,5,WeakEvidence,3,319,0.44620270274734025,-0.0377428731248627,-1.48277551236352
ES,10,NotSignificant,2,612,0.8720248945367429,-0.00861331650805325,-0.5995338708363658
ES,10,SignificantNegative,2,620,0.5277621445497629,-0.0317837918660286,-2.2345506134376585
ES,10,SignificantPositive,3,1620,1.7699824072622488,0.05182337733088816,2.58743881332953
ES,10,WeakEvidence,2,253,0.39048521466663083,-0.041023164180331896,-1.673192403368064
ES,20,NotSignificant,6,1484,0.920011490303681,-0.0053752278515925836,-0.2295521574466685
ES,20,SignificantNegative,1,131,0.3407851690294436,-0.0442992366412213,-2.0251303631799638
ES,20,WeakEvidence,2,1480,0.7826826674482921,-0.014603724747474749,0.0974237729017613
NQ,5,NotSignificant,1,243,1.124028349336992,0.0077194497909324,0.49809341552895847
NQ,5,SignificantNegative,5,5079,0.32623373433466385,-0.04193480673112836,-4.702148067303787
NQ,5,SignificantPositive,2,4236,2.08353812672683,0.06743876065868185,8.82899244089226
NQ,5,WeakEvidence,1,193,0.4994920247891907,-0.0311513150441386,-1.7913331238318275
NQ,10,NotSignificant,1,243,0.8591140159767606,-0.008773119884231,-0.5659465339613166
NQ,10,SignificantNegative,4,4935,0.517921875528383,-0.030019516908488926,-4.171548462608411
NQ,10,SignificantPositive,1,3864,1.6665601023017904,0.0415074056378403,10.677322288252011
NQ,10,WeakEvidence,3,704,0.5856494246223386,-0.025802050481392797,-1.5470798423184007
NQ,20,NotSignificant,4,2998,0.8993157336074629,-0.006276102162582225,-0.4021163419357989
NQ,20,SignificantNegative,1,1223,0.7214526584686745,-0.0173631058277827,-2.511611553731775
NQ,20,SignificantPositive,1,3859,1.172319355314036,0.0107414387301069,2.7600164863916232
NQ,20,WeakEvidence,3,1656,0.8414131071703319,-0.009885432716618101,-0.6256830461271343
